"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	393.22
0.10139	394.35
0.102799	395.51
0.104227	396.68
0.105676	397.91
0.107145	399.14
0.108634	400.38
0.110143	401.64
0.111674	402.92
0.113226	404.22
0.1148	405.54
0.116395	406.88
0.118013	408.24
0.119653	409.65
0.121315	411.05
0.123001	412.46
0.124711	413.9
0.126444	415.36
0.128201	416.83
0.129983	418.32
0.131789	419.83
0.133621	421.39
0.135478	422.94
0.137361	424.5
0.13927	426.08
0.141205	427.69
0.143167	429.3
0.145157	430.95
0.147174	432.63
0.14922	434.3
0.151293	436
0.153396	437.71
0.155528	439.45
0.157689	441.2
0.159881	442.99
0.162103	444.78
0.164355	446.58
0.16664	448.41
0.168955	450.26
0.171303	452.15
0.173684	454.03
0.176098	455.94
0.178545	457.86
0.181027	459.81
0.183542	461.8
0.186093	463.79
0.188679	465.8
0.191301	467.83
0.19396	469.88
0.196656	471.98
0.199389	474.07
0.20216	476.19
0.204969	478.33
0.207818	480.53
0.210706	482.72
0.213634	484.92
0.216603	487.16
0.219613	489.45
0.222665	491.73
0.22576	494.05
0.228897	496.38
0.232078	498.77
0.235303	501.16
0.238574	503.57
0.241889	506.04
0.245251	508.51
0.248659	511.01
0.252115	513.56
0.255619	516.12
0.259171	518.7
0.262773	521.34
0.266425	523.99
0.270127	526.66
0.273881	529.4
0.277688	532.14
0.281547	534.89
0.285459	537.73
0.289427	540.56
0.293449	543.43
0.297527	546.36
0.301662	549.3
0.305854	552.29
0.310105	555.3
0.314414	558.37
0.318784	561.43
0.323214	564.55
0.327706	567.76
0.33226	570.94
0.336878	574.15
0.34156	577.44
0.346306	580.77
0.351119	584.11
0.355999	587.55
0.360946	590.95
0.365962	594.44
0.371048	597.96
0.376205	601.56
0.381433	605.17
0.386734	608.79
0.392109	612.51
0.397558	616.25
0.403083	620.08
0.408685	623.91
0.414365	627.76
0.420123	631.7
0.425962	635.66
0.431882	639.71
0.437884	643.82
0.443969	647.93
0.450139	652.12
0.456395	656.34
0.462737	660.62
0.469168	664.92
0.475689	669.31
0.482299	673.76
0.489002	678.27
0.495798	682.83
0.502688	687.45
0.509674	692.08
0.516757	696.81
0.523939	701.6
0.53122	706.45
0.538603	711.35
