"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	17.385
0.10139	17.435
0.102799	17.486
0.104227	17.538
0.105676	17.592
0.107145	17.646
0.108634	17.701
0.110143	17.757
0.111674	17.814
0.113226	17.871
0.1148	17.929
0.116395	17.989
0.118013	18.049
0.119653	18.11
0.121315	18.172
0.123001	18.235
0.124711	18.298
0.126444	18.363
0.128201	18.428
0.129983	18.494
0.131789	18.56
0.133621	18.629
0.135478	18.697
0.137361	18.766
0.13927	18.836
0.141205	18.907
0.143167	18.979
0.145157	19.051
0.147174	19.125
0.14922	19.199
0.151293	19.274
0.153396	19.35
0.155528	19.426
0.157689	19.504
0.159881	19.582
0.162103	19.661
0.164355	19.741
0.16664	19.822
0.168955	19.903
0.171303	19.986
0.173684	20.07
0.176098	20.154
0.178545	20.239
0.181027	20.325
0.183542	20.412
0.186093	20.5
0.188679	20.589
0.191301	20.679
0.19396	20.769
0.196656	20.861
0.199389	20.954
0.20216	21.048
0.204969	21.142
0.207818	21.239
0.210706	21.335
0.213634	21.433
0.216603	21.532
0.219613	21.632
0.222665	21.733
0.22576	21.835
0.228897	21.938
0.232078	22.043
0.235303	22.149
0.238574	22.255
0.241889	22.364
0.245251	22.473
0.248659	22.583
0.252115	22.696
0.255619	22.808
0.259171	22.923
0.262773	23.038
0.266425	23.155
0.270127	23.273
0.273881	23.394
0.277688	23.515
0.281547	23.637
0.285459	23.761
0.289427	23.886
0.293449	24.013
0.297527	24.141
0.301662	24.271
0.305854	24.403
0.310105	24.536
0.314414	24.67
0.318784	24.806
0.323214	24.944
0.327706	25.085
0.33226	25.225
0.336878	25.366
0.34156	25.511
0.346306	25.657
0.351119	25.805
0.355999	25.956
0.360946	26.106
0.365962	26.26
0.371048	26.415
0.376205	26.573
0.381433	26.732
0.386734	26.892
0.392109	27.055
0.397558	27.22
0.403083	27.388
0.408685	27.556
0.414365	27.726
0.420123	27.9
0.425962	28.074
0.431882	28.253
0.437884	28.433
0.443969	28.614
0.450139	28.798
0.456395	28.984
0.462737	29.172
0.469168	29.362
0.475689	29.555
0.482299	29.75
0.489002	29.948
0.495798	30.148
0.502688	30.351
0.509674	30.556
0.516757	30.764
0.523939	30.974
0.53122	31.187
0.538603	31.402
0.546088	31.62
0.553677	31.84
0.561372	32.063
0.569174	32.288
0.577084	32.518
0.585104	32.748
0.593235	32.983
0.601479	33.22
0.609838	33.458
0.618314	33.701
0.626907	33.949
0.635619	34.196
0.644452	34.446
0.653409	34.701
0.662489	34.959
0.671696	35.219
0.681031	35.484
0.690495	35.752
0.700092	36.022
0.709821	36.295
0.719686	36.572
0.729687	36.85
0.739828	37.135
0.75011	37.42
0.760534	37.71
0.771104	38.005
0.78182	38.3
0.792685	38.6
0.803702	38.906
0.814871	39.214
0.826196	39.523
0.837678	39.838
0.849319	40.159
0.861122	40.479
0.87309	40.807
0.885224	41.137
0.897526	41.47
0.909999	41.808
0.922646	42.148
0.935468	42.495
0.948469	42.845
0.96165	43.198
0.975014	43.555
0.988564	43.919
1.0023	44.919
1.01623	45.298
1.03036	45.682
1.04467	46.069
1.05919	46.458
1.07391	46.852
1.08884	47.253
1.10397	47.656
1.11931	48.062
1.13487	48.473
1.15064	48.891
1.16663	49.31
1.18284	49.736
1.19928	50.164
1.21595	50.599
1.23285	51.035
1.24998	51.48
1.26735	51.927
1.28496	52.379
1.30282	52.839
1.32093	53.302
1.33929	53.767
1.3579	54.239
1.37677	54.715
1.3959	55.197
1.4153	55.684
1.43497	56.174
1.45491	56.671
1.47513	57.171
1.49563	57.681
1.51642	58.19
1.53749	58.71
1.55886	59.229
1.58052	59.759
1.60249	60.293
1.62476	60.835
1.64734	61.377
1.67023	61.928
1.69345	62.482
1.71698	63.044
1.74084	63.611
1.76503	64.185
1.78956	64.766
1.81443	65.348
1.83965	65.942
1.86522	66.535
1.89114	67.141
1.91742	67.745
1.94407	68.359
1.97108	68.982
1.99848	69.606
2.02625	70.24
2.05441	70.878
2.08296	71.525
2.11191	72.178
2.14126	72.832
2.17102	73.498
2.20119	74.172
2.23178	74.846
2.2628	75.533
2.29424	76.224
2.32613	76.921
2.35845	77.625
2.39123	78.333
2.42446	79.054
2.45816	79.776
2.49232	80.507
2.52695	81.247
2.56207	81.989
2.59768	82.741
2.63378	83.5
2.67038	84.265
2.70749	85.039
2.74512	85.819
2.78327	86.606
2.82195	87.399
2.86117	88.201
2.90093	89.008
2.94125	89.824
2.98212	90.647
3.02357	91.475
3.06559	92.314
3.10819	93.157
3.15139	94.011
3.19518	94.869
3.23959	95.736
3.28461	96.611
3.33026	97.489
3.37654	98.375
3.42346	99.273
3.47104	100.18
3.51928	101.09
3.56819	102
3.61778	102.93
3.66805	103.86
3.71903	104.8
3.77071	105.74
3.82312	106.7
3.87625	107.66
3.93012	108.62
3.98474	109.6
4.04011	110.58
4.09626	111.57
4.15319	112.57
4.21091	113.57
4.26943	114.57
4.32876	115.59
4.38892	116.62
4.44991	117.65
4.51176	118.68
4.57446	119.72
4.63803	120.77
4.70249	121.82
4.76784	122.89
4.8341	123.96
4.90128	125.03
4.9694	126.11
5.03846	127.19
5.10848	128.28
5.17947	129.38
5.25146	130.47
5.32444	131.58
5.39843	132.69
5.47346	133.81
5.54952	134.93
5.62665	136.05
5.70484	137.18
5.78413	138.31
5.86451	139.45
5.94601	140.59
6.02865	141.73
6.11243	142.88
6.19738	144.02
6.2835	145.18
6.37083	146.33
6.45936	147.49
6.54913	148.65
6.64015	149.81
6.73243	150.97
6.82599	152.13
6.92086	153.29
7.01704	154.45
7.11456	155.61
7.21343	156.77
7.31368	157.94
7.41532	159.09
7.51837	160.25
7.62286	161.41
7.7288	162.56
7.83621	163.71
7.94511	164.86
8.05553	166
8.16748	167.14
8.28098	168.28
8.39607	169.41
8.51275	170.53
8.63106	171.66
8.75101	172.77
8.87262	173.88
8.99593	174.97
9.12095	176.07
9.2477	177.16
9.37622	178.23
9.50653	179.31
9.63864	180.37
9.7726	181.42
9.90841	182.45
10.0461	183.48
10.1857	184.5
10.3273	185.51
10.4708	186.51
10.6163	187.5
10.7639	188.48
10.9134	189.44
11.0651	190.4
11.2189	191.33
11.3748	192.26
11.5329	193.17
11.6932	194.07
11.8557	194.96
12.0204	195.83
12.1875	196.68
12.3569	197.52
12.5286	198.35
12.7027	199.17
12.8792	199.97
13.0582	200.76
13.2397	201.54
13.4237	202.29
13.6103	203.04
13.7994	203.76
13.9912	204.48
14.1856	205.18
14.3828	205.88
14.5826	206.57
14.7853	207.25
14.9908	207.94
15.1991	208.61
15.4103	209.28
15.6245	209.93
15.8416	210.57
16.0618	211.22
16.285	211.87
16.5113	212.51
16.7408	213.15
16.9735	213.8
17.2093	214.44
17.4485	215.09
17.691	215.75
17.9369	216.42
18.1861	217.09
18.4389	217.76
18.6951	218.44
18.9549	219.13
19.2184	219.84
19.4854	220.56
19.7562	221.28
20.0308	222.01
20.3092	222.75
20.5914	223.5
20.8776	224.27
21.1677	225.05
21.4619	225.85
21.7602	226.68
22.0626	227.53
22.3692	228.39
22.6801	229.28
22.9953	230.2
23.3148	231.13
23.6389	232.09
23.9674	233.07
24.3005	234.06
24.6382	235.09
24.9806	236.15
25.3277	237.23
25.6797	238.35
26.0366	239.5
26.3984	240.68
26.7653	241.9
27.1373	243.14
27.5144	244.42
27.8968	245.73
