"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	1884.2
0.10139	1889.6
0.102799	1895.2
0.104227	1900.8
0.105676	1906.7
0.107145	1912.6
0.108634	1918.5
0.110143	1924.5
0.111674	1930.7
0.113226	1936.9
0.1148	1943.2
0.116395	1949.7
0.118013	1956.2
0.119653	1962.9
0.121315	1969.6
0.123001	1976.4
0.124711	1983.3
0.126444	1990.3
0.128201	1997.3
0.129983	2004.5
0.131789	2011.7
0.133621	2019.1
0.135478	2026.6
0.137361	2034
0.13927	2041.6
0.141205	2049.3
0.143167	2057.1
0.145157	2064.9
0.147174	2073
0.14922	2081
0.151293	2089.1
0.153396	2097.3
0.155528	2105.6
0.157689	2114
0.159881	2122.6
0.162103	2131.2
0.164355	2139.8
0.16664	2148.6
0.168955	2157.4
0.171303	2166.4
0.173684	2175.5
0.176098	2184.6
0.178545	2193.8
0.181027	2203.1
0.183542	2212.7
0.186093	2222.2
0.188679	2231.8
0.191301	2241.6
0.19396	2251.4
0.196656	2261.4
0.199389	2271.5
0.20216	2281.6
0.204969	2291.9
0.207818	2302.4
0.210706	2312.9
0.213634	2323.4
0.216603	2334.2
0.219613	2345.1
0.222665	2356
0.22576	2367.1
0.228897	2378.3
0.232078	2389.7
0.235303	2401.2
0.238574	2412.7
0.241889	2424.5
0.245251	2436.4
0.248659	2448.3
0.252115	2460.6
0.255619	2472.8
0.259171	2485.2
0.262773	2497.8
0.266425	2510.5
0.270127	2523.3
0.273881	2536.4
0.277688	2549.5
0.281547	2562.7
0.285459	2576.3
0.289427	2589.8
0.293449	2603.5
0.297527	2617.6
0.301662	2631.6
0.305854	2646
0.310105	2660.4
0.314414	2675
0.318784	2689.7
0.323214	2704.7
0.327706	2720
0.33226	2735.3
0.336878	2750.6
0.34156	2766.4
0.346306	2782.3
0.351119	2798.3
0.355999	2814.7
0.360946	2831
0.365962	2847.7
0.371048	2864.6
0.376205	2881.8
0.381433	2899.1
0.386734	2916.4
0.392109	2934.2
0.397558	2952.1
0.403083	2970.4
0.408685	2988.7
0.414365	3007.2
0.420123	3026
0.425962	3045
0.431882	3064.4
0.437884	3084
0.443969	3103.7
0.450139	3123.8
0.456395	3144
0.462737	3164.4
0.469168	3185
0.475689	3206
0.482299	3227.3
0.489002	3248.9
0.495798	3270.7
0.502688	3292.8
0.509674	3315
0.516757	3337.6
0.523939	3360.5
0.53122	3383.7
0.538603	3407.1
0.546088	3430.8
