"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	1071.6
0.10139	1074.7
0.102799	1077.9
0.104227	1081.1
0.105676	1084.3
0.107145	1087.6
0.108634	1091
0.110143	1094.4
0.111674	1098
0.113226	1101.5
0.1148	1105.1
0.116395	1108.7
0.118013	1112.4
0.119653	1116.1
0.121315	1120
0.123001	1123.8
0.124711	1127.7
0.126444	1131.7
0.128201	1135.7
0.129983	1139.8
0.131789	1143.9
0.133621	1148
0.135478	1152.2
0.137361	1156.5
0.13927	1160.8
0.141205	1165.2
0.143167	1169.6
0.145157	1174
0.147174	1178.5
0.14922	1183
0.151293	1187.6
0.153396	1192.3
0.155528	1197
0.157689	1201.8
0.159881	1206.5
0.162103	1211.4
0.164355	1216.3
0.16664	1221.3
0.168955	1226.3
0.171303	1231.3
0.173684	1236.5
0.176098	1241.7
0.178545	1246.9
0.181027	1252.2
0.183542	1257.5
0.186093	1262.9
0.188679	1268.3
0.191301	1273.9
0.19396	1279.5
0.196656	1285
0.199389	1290.7
0.20216	1296.5
0.204969	1302.3
0.207818	1308.1
0.210706	1314.1
0.213634	1320.1
0.216603	1326.2
0.219613	1332.3
0.222665	1338.5
0.22576	1344.8
0.228897	1351.1
0.232078	1357.5
0.235303	1364
0.238574	1370.5
0.241889	1377.1
0.245251	1383.8
0.248659	1390.6
0.252115	1397.4
0.255619	1404.3
0.259171	1411.4
0.262773	1418.4
0.266425	1425.6
0.270127	1432.8
0.273881	1440.1
0.277688	1447.6
0.281547	1455.1
0.285459	1462.6
0.289427	1470.3
0.293449	1478.1
0.297527	1485.9
0.301662	1493.9
0.305854	1501.8
0.310105	1510
0.314414	1518.2
0.318784	1526.5
0.323214	1535
0.327706	1543.5
0.33226	1552.2
0.336878	1560.7
0.34156	1569.7
0.346306	1578.5
0.351119	1587.6
0.355999	1596.7
0.360946	1606
0.365962	1615.3
0.371048	1624.8
0.376205	1634.4
0.381433	1644
0.386734	1653.9
0.392109	1663.8
0.397558	1673.9
0.403083	1684.1
0.408685	1694.3
0.414365	1704.7
0.420123	1715.2
0.425962	1726
