"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	880.35
0.10139	882.89
0.102799	885.48
0.104227	888.11
0.105676	890.85
0.107145	893.59
0.108634	896.37
0.110143	899.19
0.111674	902.07
0.113226	904.97
0.1148	907.93
0.116395	910.93
0.118013	913.98
0.119653	917.11
0.121315	920.24
0.123001	923.41
0.124711	926.62
0.126444	929.89
0.128201	933.18
0.129983	936.52
0.131789	939.9
0.133621	943.37
0.135478	946.84
0.137361	950.33
0.13927	953.89
0.141205	957.48
0.143167	961.09
0.145157	964.77
0.147174	968.52
0.14922	972.27
0.151293	976.06
0.153396	979.9
0.155528	983.78
0.157689	987.7
0.159881	991.69
0.162103	995.69
0.164355	999.74
0.16664	1003.8
0.168955	1008
0.171303	1012.2
0.173684	1016.4
0.176098	1020.7
0.178545	1025
0.181027	1029.3
0.183542	1033.8
0.186093	1038.2
0.188679	1042.7
0.191301	1047.3
0.19396	1051.9
0.196656	1056.5
0.199389	1061.2
0.20216	1066
0.204969	1070.8
0.207818	1075.7
0.210706	1080.6
0.213634	1085.5
0.216603	1090.5
0.219613	1095.6
0.222665	1100.7
0.22576	1105.9
0.228897	1111.1
0.232078	1116.4
0.235303	1121.8
0.238574	1127.2
0.241889	1132.7
0.245251	1138.2
0.248659	1143.8
0.252115	1149.5
0.255619	1155.2
0.259171	1161
0.262773	1166.9
0.266425	1172.8
0.270127	1178.8
0.273881	1184.9
0.277688	1191
0.281547	1197.2
0.285459	1203.6
0.289427	1209.9
0.293449	1216.3
0.297527	1222.8
0.301662	1229.4
0.305854	1236.1
0.310105	1242.8
0.314414	1249.7
0.318784	1256.5
0.323214	1263.5
0.327706	1270.7
0.33226	1277.8
0.336878	1285
0.34156	1292.3
0.346306	1299.7
0.351119	1307.2
0.355999	1314.9
0.360946	1322.5
0.365962	1330.3
0.371048	1338.2
0.376205	1346.2
0.381433	1354.2
0.386734	1362.4
0.392109	1370.7
0.397558	1379
0.403083	1387.6
0.408685	1396.1
0.414365	1404.7
0.420123	1413.5
0.425962	1422.4
0.431882	1431.4
0.437884	1440.6
0.443969	1449.8
0.450139	1459.1
0.456395	1468.6
0.462737	1478.1
0.469168	1487.7
0.475689	1497.5
0.482299	1507.5
0.489002	1517.5
0.495798	1527.7
0.502688	1538
0.509674	1548.4
0.516757	1558.9
0.523939	1569.6
0.53122	1580.4
0.538603	1591.3
0.546088	1602.4
0.553677	1613.6
0.561372	1624.9
0.569174	1636.3
0.577084	1648
0.585104	1659.7
0.593235	1671.7
0.601479	1683.7
0.609838	1695.8
0.618314	1708.2
0.626907	1720.8
0.635619	1733.3
0.644452	1746
0.653409	1759
0.662489	1772.1
0.671696	1785.3
0.681031	1798.8
0.690495	1812.4
0.700092	1826.1
0.709821	1840.1
0.719686	1854.1
0.729687	1868.3
0.739828	1882.8
0.75011	1897.3
0.760534	1912
0.771104	1927.1
0.78182	1942
0.792685	1957.3
0.803702	1972.9
0.814871	1988.6
0.826196	2004.3
0.837678	2020.4
0.849319	2036.7
0.861122	2053
0.87309	2069.7
0.885224	2086.5
0.897526	2103.5
0.909999	2120.7
0.922646	2138
0.935468	2155.7
0.948469	2173.5
0.96165	2191.5
0.975014	2209.7
0.988564	2228.3
1.0023	2279.1
1.01623	2298.4
1.03036	2318
1.04467	2337.8
1.05919	2357.6
1.07391	2377.7
1.08884	2398.2
1.10397	2418.7
1.11931	2439.5
1.13487	2460.5
1.15064	2481.9
1.16663	2503.2
1.18284	2525
1.19928	2546.9
1.21595	2569.2
1.23285	2591.4
1.24998	2614.2
1.26735	2637
1.28496	2660.2
1.30282	2683.7
1.32093	2707.4
1.33929	2731.2
1.3579	2755.4
1.37677	2779.8
1.3959	2804.5
1.4153	2829.5
1.43497	2854.6
1.45491	2880.1
1.47513	2905.7
1.49563	2931.9
1.51642	2958
1.53749	2984.7
1.55886	3011.4
1.58052	3038.5
1.60249	3066
1.62476	3093.8
1.64734	3121.7
1.67023	3150.1
1.69345	3178.6
1.71698	3207.5
1.74084	3236.7
1.76503	3266.2
1.78956	3296.2
1.81443	3326.2
1.83965	3356.8
1.86522	3387.4
1.89114	3418.7
1.91742	3449.9
1.94407	3481.6
1.97108	3513.8
1.99848	3546
2.02625	3578.8
2.05441	3611.9
2.08296	3645.3
2.11191	3679.2
2.14126	3713.1
2.17102	3747.6
2.20119	3782.6
2.23178	3817.6
2.2628	3853.2
2.29424	3889.2
2.32613	3925.4
2.35845	3962
2.39123	3998.9
2.42446	4036.5
2.45816	4074.1
2.49232	4112.3
2.52695	4151
2.56207	4189.7
2.59768	4229.1
2.63378	4268.8
2.67038	4308.8
2.70749	4349.4
2.74512	4390.3
2.78327	4431.7
2.82195	4473.3
2.86117	4515.5
2.90093	4558
2.94125	4601.1
2.98212	4644.4
3.02357	4688.1
3.06559	4732.5
3.10819	4777.2
3.15139	4822.3
3.19518	4867.8
3.23959	4913.8
3.28461	4960.4
3.33026	5007.1
3.37654	5054.3
3.42346	5102.3
3.47104	5150.6
3.51928	5199.2
3.56819	5248.3
3.61778	5298
3.66805	5348.1
3.71903	5398.6
3.77071	5449.5
3.82312	5500.9
3.87625	5552.7
3.93012	5605.1
3.98474	5658.1
4.04011	5711.3
4.09626	5765.2
4.15319	5819.5
4.21091	5874.1
4.26943	5929.5
4.32876	5985.4
4.38892	6041.5
4.44991	6098.3
4.51176	6155.5
4.57446	6212.9
4.63803	6271.2
4.70249	6329.8
4.76784	6389.1
4.8341	6448.7
4.90128	6508.8
4.9694	6569.4
5.03846	6630.5
5.10848	6692.1
5.17947	6754.4
5.25146	6816.6
5.32444	6879.7
5.39843	6943.3
5.47346	7007.4
5.54952	7071.9
5.62665	7136.9
5.70484	7202.4
5.78413	7268.5
5.86451	7334.7
5.94601	7401.7
6.02865	7469
6.11243	7536.8
6.19738	7605.1
6.2835	7673.8
6.37083	7743.2
6.45936	7812.8
6.54913	7882.8
6.64015	7953.4
6.73243	8024.7
6.82599	8096
6.92086	8167.7
7.01704	8240
7.11456	8312.7
7.21343	8385.8
7.31368	8459.3
7.41532	8533.2
7.51837	8607.4
7.62286	8682.2
7.7288	8757.1
7.83621	8832.4
7.94511	8908.3
8.05553	8984.4
8.16748	9060.7
8.28098	9137.5
8.39607	9214.6
8.51275	9291.8
8.63106	9369.6
8.75101	9447.5
8.87262	9525.9
8.99593	9604.1
9.12095	9682.9
9.2477	9762
9.37622	9841.2
9.50653	9920.8
9.63864	10000
9.7726	10081
9.90841	10160
10.0461	10241
10.1857	10321
10.3273	10402
10.4708	10482
10.6163	10563
10.7639	10644
10.9134	10725
11.0651	10807
11.2189	10888
11.3748	10969
11.5329	11050
11.6932	11131
11.8557	11212
12.0204	11293
12.1875	11374
12.3569	11455
12.5286	11536
12.7027	11617
12.8792	11697
13.0582	11777
13.2397	11858
13.4237	11938
13.6103	12018
13.7994	12097
13.9912	12176
14.1856	12255
14.3828	12334
14.5826	12412
14.7853	12490
14.9908	12568
15.1991	12645
15.4103	12722
15.6245	12799
15.8416	12875
16.0618	12951
16.285	13026
16.5113	13100
16.7408	13174
16.9735	13248
17.2093	13321
17.4485	13393
17.691	13465
17.9369	13536
18.1861	13607
18.4389	13676
18.6951	13746
18.9549	13814
19.2184	13882
19.4854	13950
19.7562	14016
20.0308	14082
20.3092	14146
20.5914	14210
20.8776	14273
21.1677	14336
21.4619	14397
21.7602	14458
22.0626	14517
22.3692	14576
22.6801	14634
22.9953	14691
23.3148	14747
23.6389	14802
23.9674	14856
24.3005	14909
24.6382	14961
24.9806	15012
25.3277	15061
25.6797	15110
26.0366	15157
26.3984	15204
26.7653	15249
27.1373	15293
27.5144	15336
27.8968	15378
28.2845	15418
28.6776	15457
29.0761	15495
29.4802	15532
29.8899	15567
30.3053	15602
30.7265	15634
31.1535	15666
31.5864	15696
32.0254	15724
32.4705	15751
32.9217	15777
33.3792	15801
33.8431	15824
34.3135	15845
34.7903	15865
35.2738	15883
35.764	15900
36.2611	15914
36.765	15928
37.2759	15939
37.794	15950
38.3192	15958
38.8518	15965
39.3917	15970
39.9391	15973
40.4942	15974
41.0569	15974
41.6275	15972
42.206	15968
42.7926	15962
43.3873	15954
43.9903	15944
44.6016	15932
45.2215	15919
45.8499	15903
46.4871	15885
47.1332	15865
47.7882	15842
48.4523	15817
49.1257	15790
49.8084	15760
50.5006	15729
51.2024	15694
51.914	15658
52.6355	15619
53.367	15577
54.1087	15534
54.8606	15487
55.623	15437
56.3961	15385
57.1798	15330
57.9745	15273
58.7802	15212
59.5971	15149
60.4253	15082
61.265	15013
62.1165	14941
62.9797	14866
63.855	14788
64.7424	14707
65.6422	14623
66.5544	14536
67.4793	14447
68.4171	14354
69.3679	14258
70.332	14159
71.3094	14057
72.3004	13952
73.3052	13844
74.324	13733
75.3569	13619
76.4041	13502
77.466	13382
78.5425	13260
79.6341	13136
80.7408	13009
81.8629	12882
83.0005	12752
84.154	12621
85.3236	12489
