"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	2439
0.10139	2446
0.102799	2453.2
0.104227	2460.5
0.105676	2467.8
0.107145	2475.4
0.108634	2483.1
0.110143	2490.9
0.111674	2498.9
0.113226	2506.9
0.1148	2515.1
0.116395	2523.5
0.118013	2531.9
0.119653	2540.3
0.121315	2549
0.123001	2557.8
0.124711	2566.7
0.126444	2575.7
0.128201	2584.9
0.129983	2594.1
0.131789	2603.5
0.133621	2612.8
0.135478	2622.4
0.137361	2632.1
0.13927	2642
0.141205	2651.9
0.143167	2661.9
0.145157	2672.1
0.147174	2682.2
0.14922	2692.6
0.151293	2703.1
0.153396	2713.8
0.155528	2724.5
0.157689	2735.3
0.159881	2746.2
0.162103	2757.2
0.164355	2768.4
0.16664	2779.8
0.168955	2791.2
0.171303	2802.6
0.173684	2814.3
0.176098	2826.1
0.178545	2838.1
0.181027	2850.1
0.183542	2862.2
0.186093	2874.5
0.188679	2886.9
0.191301	2899.5
0.19396	2912.2
0.196656	2924.9
0.199389	2937.9
0.20216	2951
0.204969	2964.3
0.207818	2977.6
0.210706	2991.1
0.213634	3004.8
0.216603	3018.7
0.219613	3032.5
0.222665	3046.7
0.22576	3061
0.228897	3075.5
0.232078	3089.9
0.235303	3104.7
0.238574	3119.6
0.241889	3134.6
0.245251	3149.9
0.248659	3165.4
0.252115	3180.9
0.255619	3196.7
0.259171	3212.7
0.262773	3228.7
0.266425	3245.1
0.270127	3261.6
0.273881	3278.2
0.277688	3295.2
0.281547	3312.3
0.285459	3329.5
0.289427	3347
0.293449	3364.7
0.297527	3382.5
0.301662	3400.7
0.305854	3418.9
0.310105	3437.5
0.314414	3456.1
0.318784	3475.1
0.323214	3494.4
0.327706	3513.9
0.33226	3533.5
0.336878	3553
0.34156	3573.4
0.346306	3593.6
0.351119	3614.3
0.355999	3635.1
0.360946	3656.2
0.365962	3677.4
0.371048	3699.1
0.376205	3721
0.381433	3742.9
0.386734	3765.3
0.392109	3787.9
0.397558	3811
0.403083	3834.3
0.408685	3857.5
0.414365	3881.3
0.420123	3905.3
0.425962	3929.7
0.431882	3954.4
0.437884	3979.3
0.443969	4004.3
0.450139	4030.2
0.456395	4055.8
0.462737	4081.8
0.469168	4108.4
0.475689	4135.1
0.482299	4162.1
0.489002	4189.5
0.495798	4217.2
0.502688	4245.3
0.509674	4273.9
0.516757	4302.6
0.523939	4331.7
0.53122	4361.1
0.538603	4390.9
0.546088	4421
0.553677	4451.5
0.561372	4482.3
0.569174	4513.4
0.577084	4545.2
0.585104	4577
0.593235	4609.5
0.601479	4642.4
0.609838	4675.2
0.618314	4708.5
0.626907	4742.7
0.635619	4777
0.644452	4811.5
0.653409	4846.7
0.662489	4882.1
0.671696	4918
0.681031	4954.6
0.690495	4991.3
0.700092	5028.6
0.709821	5065.9
0.719686	5104.2
0.729687	5142.3
0.739828	5181.6
0.75011	5220.7
0.760534	5260.7
0.771104	5301.1
0.78182	5341.8
0.792685	5382.9
0.803702	5424.6
0.814871	5466.8
0.826196	5509.5
0.837678	5552.6
0.849319	5596.4
0.861122	5640.2
0.87309	5685
0.885224	5730.2
0.897526	5775.7
0.909999	5821.9
0.922646	5868.4
0.935468	5915.3
0.948469	5963.1
0.96165	6011.3
0.975014	6060.2
0.988564	6109.4
1.0023	6247.6
1.01623	6298.8
1.03036	6350.8
1.04467	6403.7
1.05919	6456.3
1.07391	6509.5
1.08884	6563.8
1.10397	6618.7
1.11931	6673.7
1.13487	6729.3
1.15064	6785.2
1.16663	6841.8
1.18284	6899.4
1.19928	6957.4
1.21595	7015.7
1.23285	7074.6
1.24998	7134.2
1.26735	7194.5
1.28496	7255.1
1.30282	7316.7
1.32093	7378.6
1.33929	7440.8
1.3579	7504.1
1.37677	7567.6
1.3959	7632.1
1.4153	7696.6
1.43497	7762.2
1.45491	7828
1.47513	7894.8
1.49563	7962.2
1.51642	8029.6
1.53749	8098.4
1.55886	8167.1
1.58052	8237.1
1.60249	8307.8
1.62476	8378.7
1.64734	8450.3
1.67023	8522.5
1.69345	8595
1.71698	8668.5
1.74084	8742.6
1.76503	8817.7
1.78956	8893
1.81443	8969
1.83965	9046
1.86522	9122.9
1.89114	9201.5
1.91742	9279.7
1.94407	9359.2
1.97108	9439.2
1.99848	9519.9
2.02625	9601.1
2.05441	9683
2.08296	9765.8
2.11191	9848.7
2.14126	9932.4
2.17102	10017
2.20119	10102
2.23178	10188
2.2628	10275
2.29424	10361
2.32613	10449
2.35845	10537
2.39123	10626
2.42446	10716
2.45816	10806
2.49232	10897
2.52695	10988
2.56207	11080
2.59768	11173
2.63378	11266
2.67038	11360
2.70749	11454
2.74512	11549
2.78327	11645
2.82195	11741
2.86117	11838
2.90093	11935
2.94125	12033
2.98212	12132
3.02357	12230
3.06559	12330
3.10819	12429
3.15139	12530
3.19518	12631
3.23959	12732
3.28461	12833
3.33026	12936
3.37654	13038
3.42346	13141
3.47104	13245
3.51928	13349
3.56819	13452
3.61778	13557
3.66805	13662
3.71903	13767
3.77071	13872
3.82312	13978
3.87625	14085
3.93012	14191
3.98474	14298
