"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	5096.7
0.10139	5111.4
0.102799	5126.4
0.104227	5141.7
0.105676	5157.5
0.107145	5173.4
0.108634	5189.5
0.110143	5205.8
0.111674	5222.5
0.113226	5239.3
0.1148	5256.4
0.116395	5273.8
0.118013	5291.4
0.119653	5309.6
0.121315	5327.7
0.123001	5346
0.124711	5364.7
0.126444	5383.6
0.128201	5402.6
0.129983	5422
0.131789	5441.5
0.133621	5461.6
0.135478	5481.7
0.137361	5501.9
0.13927	5522.5
0.141205	5543.3
0.143167	5564.2
0.145157	5585.5
0.147174	5607.2
0.14922	5629
0.151293	5650.9
0.153396	5673.1
0.155528	5695.6
0.157689	5718.3
0.159881	5741.4
0.162103	5764.6
0.164355	5788
0.16664	5811.7
0.168955	5835.6
0.171303	5860
0.173684	5884.5
0.176098	5909.2
0.178545	5934.1
0.181027	5959.3
0.183542	5985.1
0.186093	6010.8
0.188679	6036.8
0.191301	6063.2
0.19396	6089.8
0.196656	6116.9
0.199389	6144.1
0.20216	6171.5
0.204969	6199.2
0.207818	6227.6
0.210706	6256
0.213634	6284.6
0.216603	6313.6
0.219613	6343.1
0.222665	6372.7
0.22576	6402.7
0.228897	6433
0.232078	6463.8
0.235303	6494.8
0.238574	6526
0.241889	6558
0.245251	6590
0.248659	6622.3
0.252115	6655.3
0.255619	6688.4
0.259171	6721.9
0.262773	6756
0.266425	6790.3
0.270127	6824.9
0.273881	6860.4
0.277688	6895.8
0.281547	6931.6
0.285459	6968.2
0.289427	7004.9
0.293449	7042
0.297527	7079.9
0.301662	7118
0.305854	7156.7
0.310105	7195.7
0.314414	7235.3
0.318784	7275
0.323214	7315.5
0.327706	7357
0.33226	7398.2
0.336878	7439.7
0.34156	7482.3
0.346306	7525.3
0.351119	7568.6
0.355999	7613
0.360946	7657.1
0.365962	7702.2
0.371048	7747.7
0.376205	7794.3
0.381433	7840.9
0.386734	7887.9
0.392109	7936
0.397558	7984.4
0.403083	8033.9
0.408685	8083.4
0.414365	8133.2
0.420123	8184.2
0.425962	8235.5
0.431882	8287.9
0.437884	8341
0.443969	8394.2
0.450139	8448.4
0.456395	8503
0.462737	8558.3
0.469168	8614
0.475689	8670.8
0.482299	8728.3
0.489002	8786.5
0.495798	8845.5
0.502688	8905.2
0.509674	8965.2
0.516757	9026.4
0.523939	9088.3
0.53122	9150.9
0.538603	9214.2
0.546088	9278.3
0.553677	9343.1
0.561372	9408.6
0.569174	9474.9
0.577084	9542.6
0.585104	9610.3
0.593235	9679.5
0.601479	9749.4
0.609838	9819.3
0.618314	9891.1
0.626907	9963.9
0.635619	10037
0.644452	10110
0.653409	10185
0.662489	10261
0.671696	10338
0.681031	10416
0.690495	10495
0.700092	10574
0.709821	10655
0.719686	10737
0.729687	10819
0.739828	10902
0.75011	10987
0.760534	11072
0.771104	11159
0.78182	11246
0.792685	11335
0.803702	11425
0.814871	11516
0.826196	11607
0.837678	11700
0.849319	11794
0.861122	11889
0.87309	11986
0.885224	12083
0.897526	12181
0.909999	12281
0.922646	12382
0.935468	12484
0.948469	12587
0.96165	12692
0.975014	12797
0.988564	12905
1.0023	13199
1.01623	13311
1.03036	13425
1.04467	13539
1.05919	13654
1.07391	13771
1.08884	13890
1.10397	14009
1.11931	14129
1.13487	14251
1.15064	14375
1.16663	14499
1.18284	14625
1.19928	14752
1.21595	14881
1.23285	15010
1.24998	15142
1.26735	15274
1.28496	15409
1.30282	15545
1.32093	15683
1.33929	15821
1.3579	15961
1.37677	16102
1.3959	16246
1.4153	16391
1.43497	16536
1.45491	16684
1.47513	16833
1.49563	16985
1.51642	17136
1.53749	17291
1.55886	17446
1.58052	17604
1.60249	17763
1.62476	17925
1.64734	18086
1.67023	18251
1.69345	18417
1.71698	18584
1.74084	18754
1.76503	18925
1.78956	19100
1.81443	19274
1.83965	19451
1.86522	19629
1.89114	19811
1.91742	19992
1.94407	20176
1.97108	20363
1.99848	20550
2.02625	20741
2.05441	20933
2.08296	21127
2.11191	21324
2.14126	21521
2.17102	21722
2.20119	21925
2.23178	22128
2.2628	22336
2.29424	22545
2.32613	22755
2.35845	22968
2.39123	23183
2.42446	23401
2.45816	23620
2.49232	23842
2.52695	24067
2.56207	24293
2.59768	24521
2.63378	24753
2.67038	24985
2.70749	25222
2.74512	25460
2.78327	25701
2.82195	25943
2.86117	26189
2.90093	26436
2.94125	26687
2.98212	26939
3.02357	27194
3.06559	27453
3.10819	27713
3.15139	27976
3.19518	28241
3.23959	28510
3.28461	28781
3.33026	29054
3.37654	29329
3.42346	29608
3.47104	29890
3.51928	30174
3.56819	30460
3.61778	30750
3.66805	31043
3.71903	31338
3.77071	31635
3.82312	31935
3.87625	32238
3.93012	32544
3.98474	32853
4.04011	33165
4.09626	33479
4.15319	33797
4.21091	34116
4.26943	34440
4.32876	34767
4.38892	35096
4.44991	35428
4.51176	35763
4.57446	36099
4.63803	36440
4.70249	36783
4.76784	37130
4.8341	37479
4.90128	37831
4.9694	38187
5.03846	38544
5.10848	38906
5.17947	39271
5.25146	39636
5.32444	40005
5.39843	40378
5.47346	40754
5.54952	41133
5.62665	41514
5.70484	41899
5.78413	42287
5.86451	42676
5.94601	43069
6.02865	43465
6.11243	43863
6.19738	44264
6.2835	44668
6.37083	45076
6.45936	45485
6.54913	45897
6.64015	46312
6.73243	46731
6.82599	47151
6.92086	47572
7.01704	47998
7.11456	48426
7.21343	48856
7.31368	49288
7.41532	49724
7.51837	50160
7.62286	50601
7.7288	51042
7.83621	51485
7.94511	51932
8.05553	52380
8.16748	52830
8.28098	53283
8.39607	53737
8.51275	54191
8.63106	54650
8.75101	55108
8.87262	55570
8.99593	56030
9.12095	56493
9.2477	56957
9.37622	57423
9.50653	57890
9.63864	58357
9.7726	58827
9.90841	59295
10.0461	59765
10.1857	60236
10.3273	60709
10.4708	61181
10.6163	61655
10.7639	62128
10.9134	62600
11.0651	63073
11.2189	63545
11.3748	64017
11.5329	64487
11.6932	64958
11.8557	65428
12.0204	65896
12.1875	66364
12.3569	66830
12.5286	67296
12.7027	67757
12.8792	68221
13.0582	68679
13.2397	69138
13.4237	69594
13.6103	70046
13.7994	70496
13.9912	70943
14.1856	71388
14.3828	71830
14.5826	72268
14.7853	72704
14.9908	73134
15.1991	73561
15.4103	73985
15.6245	74403
15.8416	74818
16.0618	75229
16.285	75633
16.5113	76034
16.7408	76428
16.9735	76818
17.2093	77202
17.4485	77581
17.691	77953
17.9369	78320
18.1861	78683
18.4389	79035
18.6951	79382
18.9549	79724
19.2184	80058
19.4854	80385
19.7562	80704
20.0308	81018
20.3092	81323
20.5914	81620
20.8776	81908
21.1677	82190
21.4619	82462
21.7602	82728
22.0626	82985
22.3692	83234
22.6801	83476
22.9953	83709
23.3148	83933
23.6389	84149
23.9674	84356
24.3005	84554
24.6382	84742
24.9806	84921
25.3277	85090
25.6797	85250
26.0366	85403
26.3984	85546
26.7653	85681
27.1373	85806
27.5144	85922
27.8968	86029
28.2845	86128
28.6776	86214
29.0761	86292
29.4802	86363
29.8899	86424
30.3053	86478
30.7265	86523
31.1535	86558
31.5864	86585
32.0254	86603
32.4705	86614
32.9217	86617
33.3792	86612
33.8431	86599
34.3135	86578
34.7903	86548
35.2738	86513
35.764	86470
36.2611	86421
36.765	86364
37.2759	86299
37.794	86228
38.3192	86148
38.8518	86060
39.3917	85965
39.9391	85862
40.4942	85751
41.0569	85632
41.6275	85505
42.206	85371
42.7926	85229
43.3873	85080
43.9903	84922
44.6016	84755
45.2215	84580
45.8499	84395
46.4871	84199
47.1332	83997
