"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	191.51
0.10139	192.06
0.102799	192.63
0.104227	193.2
0.105676	193.79
0.107145	194.39
0.108634	195
0.110143	195.61
0.111674	196.24
0.113226	196.87
0.1148	197.51
0.116395	198.16
0.118013	198.83
0.119653	199.51
0.121315	200.19
0.123001	200.88
0.124711	201.58
0.126444	202.29
0.128201	203
0.129983	203.73
0.131789	204.47
0.133621	205.22
0.135478	205.97
0.137361	206.73
0.13927	207.51
0.141205	208.29
0.143167	209.08
0.145157	209.88
0.147174	210.69
0.14922	211.51
0.151293	212.33
0.153396	213.17
0.155528	214.01
0.157689	214.86
0.159881	215.73
0.162103	216.6
0.164355	217.48
0.16664	218.37
0.168955	219.27
0.171303	220.19
0.173684	221.11
0.176098	222.03
0.178545	222.97
0.181027	223.92
0.183542	224.88
0.186093	225.85
0.188679	226.83
0.191301	227.82
0.19396	228.82
0.196656	229.84
0.199389	230.86
0.20216	231.89
0.204969	232.93
0.207818	233.99
0.210706	235.06
0.213634	236.13
0.216603	237.23
0.219613	238.33
0.222665	239.45
0.22576	240.57
0.228897	241.71
0.232078	242.87
0.235303	244.03
0.238574	245.2
0.241889	246.4
0.245251	247.61
0.248659	248.82
0.252115	250.06
0.255619	251.3
0.259171	252.56
0.262773	253.84
0.266425	255.13
0.270127	256.43
0.273881	257.76
0.277688	259.09
0.281547	260.44
0.285459	261.81
0.289427	263.19
0.293449	264.59
0.297527	266.01
0.301662	267.44
0.305854	268.89
0.310105	270.36
0.314414	271.84
0.318784	273.34
0.323214	274.86
0.327706	276.41
0.33226	277.96
0.336878	279.52
0.34156	281.12
0.346306	282.73
0.351119	284.36
0.355999	286.03
0.360946	287.69
0.365962	289.38
0.371048	291.09
0.376205	292.84
0.381433	294.59
0.386734	296.35
0.392109	298.16
0.397558	299.98
0.403083	301.83
0.408685	303.69
0.414365	305.57
0.420123	307.48
0.425962	309.41
0.431882	311.37
0.437884	313.37
0.443969	315.36
0.450139	317.4
0.456395	319.45
0.462737	321.53
0.469168	323.62
0.475689	325.75
0.482299	327.91
0.489002	330.1
0.495798	332.31
0.502688	334.55
0.509674	336.81
0.516757	339.1
0.523939	341.42
0.53122	343.77
0.538603	346.15
0.546088	348.56
0.553677	350.99
0.561372	353.45
0.569174	355.94
0.577084	358.48
0.585104	361.02
0.593235	363.62
0.601479	366.24
0.609838	368.87
0.618314	371.56
0.626907	374.29
0.635619	377.03
0.644452	379.79
0.653409	382.6
0.662489	385.46
0.671696	388.33
0.681031	391.26
0.690495	394.23
0.700092	397.21
0.709821	400.23
0.719686	403.29
