"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	82.374
0.10139	82.612
0.102799	82.855
0.104227	83.101
0.105676	83.356
0.107145	83.613
0.108634	83.873
0.110143	84.137
0.111674	84.406
0.113226	84.678
0.1148	84.954
0.116395	85.236
0.118013	85.52
0.119653	85.813
0.121315	86.106
0.123001	86.402
0.124711	86.703
0.126444	87.009
0.128201	87.317
0.129983	87.629
0.131789	87.946
0.133621	88.27
0.135478	88.594
0.137361	88.921
0.13927	89.253
0.141205	89.589
0.143167	89.928
0.145157	90.272
0.147174	90.622
0.14922	90.973
0.151293	91.328
0.153396	91.687
0.155528	92.05
0.157689	92.416
0.159881	92.79
0.162103	93.164
0.164355	93.542
0.16664	93.926
0.168955	94.313
0.171303	94.706
0.173684	95.101
0.176098	95.5
0.178545	95.903
0.181027	96.31
0.183542	96.726
0.186093	97.142
0.188679	97.562
0.191301	97.988
0.19396	98.418
0.196656	98.855
0.199389	99.294
0.20216	99.738
0.204969	100.19
0.207818	100.64
0.210706	101.1
0.213634	101.56
0.216603	102.03
0.219613	102.51
0.222665	102.99
0.22576	103.47
0.228897	103.96
0.232078	104.46
0.235303	104.96
0.238574	105.46
0.241889	105.98
0.245251	106.5
0.248659	107.02
0.252115	107.55
0.255619	108.09
0.259171	108.63
0.262773	109.18
0.266425	109.73
0.270127	110.29
0.273881	110.86
0.277688	111.44
0.281547	112.01
0.285459	112.61
0.289427	113.2
0.293449	113.8
0.297527	114.41
0.301662	115.02
0.305854	115.65
0.310105	116.28
0.314414	116.92
0.318784	117.56
0.323214	118.21
0.327706	118.88
0.33226	119.55
0.336878	120.22
0.34156	120.91
0.346306	121.6
0.351119	122.3
0.355999	123.02
0.360946	123.73
0.365962	124.46
0.371048	125.19
0.376205	125.95
0.381433	126.7
0.386734	127.46
0.392109	128.23
0.397558	129.01
0.403083	129.81
0.408685	130.61
0.414365	131.42
0.420123	132.24
0.425962	133.07
0.431882	133.91
0.437884	134.77
0.443969	135.63
0.450139	136.5
0.456395	137.39
0.462737	138.28
0.469168	139.18
0.475689	140.09
0.482299	141.02
0.489002	141.96
0.495798	142.91
0.502688	143.88
0.509674	144.85
0.516757	145.83
0.523939	146.83
0.53122	147.84
0.538603	148.86
0.546088	149.9
0.553677	150.94
0.561372	152
0.569174	153.07
0.577084	154.16
0.585104	155.25
0.593235	156.37
0.601479	157.5
0.609838	158.63
0.618314	159.78
0.626907	160.96
0.635619	162.13
0.644452	163.32
0.653409	164.53
0.662489	165.76
0.671696	166.99
0.681031	168.25
0.690495	169.52
0.700092	170.81
0.709821	172.1
0.719686	173.42
0.729687	174.74
0.739828	176.09
0.75011	177.45
0.760534	178.83
0.771104	180.23
0.78182	181.63
0.792685	183.06
0.803702	184.51
0.814871	185.98
0.826196	187.45
0.837678	188.95
0.849319	190.47
0.861122	192
0.87309	193.55
0.885224	195.13
0.897526	196.71
0.909999	198.32
0.922646	199.93
0.935468	201.58
0.948469	203.25
0.96165	204.93
0.975014	206.63
0.988564	208.36
1.0023	213.11
1.01623	214.91
1.03036	216.74
1.04467	218.59
1.05919	220.44
1.07391	222.31
1.08884	224.23
1.10397	226.14
1.11931	228.08
1.13487	230.04
1.15064	232.03
1.16663	234.02
1.18284	236.05
1.19928	238.1
1.21595	240.17
1.23285	242.25
1.24998	244.37
1.26735	246.5
1.28496	248.66
1.30282	250.85
1.32093	253.06
1.33929	255.28
1.3579	257.54
1.37677	259.81
1.3959	262.11
1.4153	264.43
1.43497	266.78
1.45491	269.15
1.47513	271.54
1.49563	273.97
1.51642	276.41
1.53749	278.89
1.55886	281.37
1.58052	283.91
1.60249	286.46
1.62476	289.05
1.64734	291.65
1.67023	294.29
1.69345	296.94
1.71698	299.63
1.74084	302.34
1.76503	305.09
1.78956	307.88
1.81443	310.67
1.83965	313.51
1.86522	316.36
1.89114	319.27
1.91742	322.16
1.94407	325.11
1.97108	328.1
1.99848	331.1
2.02625	334.14
2.05441	337.21
2.08296	340.31
2.11191	343.46
