"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	3682.4
0.10139	3693.1
0.102799	3703.9
0.104227	3714.9
0.105676	3726.4
0.107145	3737.9
0.108634	3749.5
0.110143	3761.3
0.111674	3773.3
0.113226	3785.5
0.1148	3797.8
0.116395	3810.4
0.118013	3823.1
0.119653	3836.3
0.121315	3849.3
0.123001	3862.6
0.124711	3876.1
0.126444	3889.7
0.128201	3903.5
0.129983	3917.5
0.131789	3931.6
0.133621	3946.1
0.135478	3960.6
0.137361	3975.2
0.13927	3990.1
0.141205	4005.1
0.143167	4020.3
0.145157	4035.6
0.147174	4051.3
0.14922	4067
0.151293	4082.9
0.153396	4099
0.155528	4115.2
0.157689	4131.6
0.159881	4148.3
0.162103	4165
0.164355	4181.9
0.16664	4199.1
0.168955	4216.4
0.171303	4234
0.173684	4251.7
0.176098	4269.5
0.178545	4287.5
0.181027	4305.7
0.183542	4324.4
0.186093	4343
0.188679	4361.8
0.191301	4380.8
0.19396	4400
0.196656	4419.6
0.199389	4439.2
0.20216	4459.1
0.204969	4479.1
0.207818	4499.6
0.210706	4520.1
0.213634	4540.8
0.216603	4561.7
0.219613	4583.1
0.222665	4604.5
0.22576	4626.1
0.228897	4648
0.232078	4670.3
0.235303	4692.7
0.238574	4715.2
0.241889	4738.3
0.245251	4761.5
0.248659	4784.8
0.252115	4808.7
0.255619	4832.6
0.259171	4856.8
0.262773	4881.5
0.266425	4906.3
0.270127	4931.3
0.273881	4956.9
0.277688	4982.5
0.281547	5008.3
0.285459	5034.8
0.289427	5061.3
0.293449	5088.1
0.297527	5115.5
0.301662	5143
0.305854	5171
0.310105	5199.2
0.314414	5227.8
0.318784	5256.5
0.323214	5285.7
0.327706	5315.7
0.33226	5345.5
0.336878	5375.5
0.34156	5406.3
0.346306	5437.3
0.351119	5468.7
0.355999	5500.8
0.360946	5532.6
0.365962	5565.2
0.371048	5598.1
0.376205	5631.8
0.381433	5665.5
0.386734	5699.4
0.392109	5734.2
0.397558	5769.1
0.403083	5804.9
0.408685	5840.7
0.414365	5876.7
0.420123	5913.6
0.425962	5950.6
0.431882	5988.5
0.437884	6026.9
0.443969	6065.3
0.450139	6104.5
0.456395	6144
0.462737	6183.9
0.469168	6224.2
0.475689	6265.2
0.482299	6306.8
0.489002	6348.9
0.495798	6391.5
0.502688	6434.7
0.509674	6478
0.516757	6522.2
0.523939	6567
0.53122	6612.2
0.538603	6658
0.546088	6704.3
0.553677	6751.2
0.561372	6798.5
0.569174	6846.4
0.577084	6895.4
0.585104	6944.3
0.593235	6994.3
0.601479	7044.8
0.609838	7095.3
0.618314	7147.3
0.626907	7199.9
0.635619	7252.5
0.644452	7305.7
0.653409	7359.9
0.662489	7415
0.671696	7470.3
0.681031	7526.6
0.690495	7583.8
0.700092	7641.2
0.709821	7699.5
0.719686	7758.5
0.729687	7817.8
0.739828	7878.4
0.75011	7939.3
0.760534	8000.9
0.771104	8064
0.78182	8126.6
0.792685	8190.8
0.803702	8255.9
0.814871	8321.6
0.826196	8387.5
0.837678	8454.8
0.849319	8523.2
0.861122	8591.5
0.87309	8661.5
0.885224	8732
0.897526	8803
0.909999	8875.1
0.922646	8947.8
0.935468	9021.9
0.948469	9096.6
0.96165	9171.9
0.975014	9248.3
0.988564	9326.2
1.0023	9538.9
1.01623	9620
1.03036	9702.1
1.04467	9784.9
1.05919	9868.1
1.07391	9952.4
1.08884	10038
1.10397	10124
1.11931	10211
1.13487	10299
1.15064	10389
1.16663	10479
1.18284	10570
1.19928	10662
1.21595	10755
1.23285	10849
1.24998	10944
1.26735	11040
1.28496	11137
1.30282	11236
1.32093	11335
1.33929	11435
1.3579	11537
1.37677	11639
1.3959	11743
1.4153	11847
1.43497	11953
1.45491	12060
1.47513	12168
1.49563	12277
1.51642	12387
1.53749	12499
1.55886	12611
1.58052	12725
1.60249	12841
1.62476	12958
1.64734	13075
1.67023	13194
1.69345	13314
1.71698	13435
1.74084	13558
1.76503	13682
1.78956	13808
1.81443	13934
1.83965	14063
1.86522	14192
1.89114	14323
1.91742	14454
1.94407	14588
1.97108	14723
1.99848	14859
2.02625	14997
2.05441	15136
2.08296	15277
2.11191	15419
2.14126	15562
2.17102	15707
2.20119	15855
2.23178	16002
2.2628	16152
2.29424	16304
2.32613	16456
2.35845	16611
2.39123	16766
2.42446	16925
2.45816	17083
2.49232	17244
2.52695	17408
2.56207	17571
2.59768	17737
2.63378	17904
2.67038	18073
2.70749	18245
2.74512	18418
2.78327	18592
2.82195	18768
2.86117	18946
2.90093	19126
2.94125	19308
2.98212	19491
3.02357	19676
3.06559	19864
3.10819	20053
3.15139	20244
3.19518	20437
3.23959	20632
3.28461	20829
3.33026	21027
3.37654	21227
3.42346	21430
3.47104	21635
3.51928	21841
3.56819	22049
3.61778	22260
3.66805	22473
3.71903	22687
3.77071	22903
3.82312	23122
3.87625	23342
3.93012	23565
3.98474	23790
4.04011	24017
4.09626	24246
4.15319	24477
4.21091	24710
4.26943	24946
4.32876	25184
4.38892	25424
4.44991	25666
4.51176	25910
4.57446	26155
4.63803	26404
4.70249	26654
4.76784	26908
4.8341	27163
4.90128	27420
4.9694	27679
5.03846	27941
5.10848	28205
5.17947	28472
5.25146	28738
5.32444	29009
5.39843	29282
5.47346	29557
5.54952	29834
5.62665	30113
5.70484	30395
5.78413	30679
5.86451	30964
5.94601	31252
6.02865	31542
6.11243	31834
6.19738	32129
6.2835	32426
6.37083	32725
6.45936	33026
6.54913	33328
6.64015	33634
6.73243	33942
6.82599	34251
6.92086	34561
7.01704	34875
7.11456	35190
7.21343	35507
7.31368	35826
7.41532	36147
7.51837	36470
7.62286	36795
7.7288	37121
7.83621	37449
7.94511	37780
8.05553	38111
8.16748	38444
8.28098	38780
8.39607	39116
8.51275	39453
8.63106	39794
8.75101	40134
8.87262	40477
8.99593	40819
9.12095	41164
9.2477	41510
9.37622	41856
9.50653	42205
9.63864	42554
9.7726	42904
9.90841	43254
10.0461	43606
10.1857	43959
10.3273	44313
10.4708	44667
10.6163	45022
10.7639	45377
10.9134	45732
11.0651	46089
11.2189	46444
11.3748	46800
11.5329	47155
