"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	8780
0.10139	8805.4
0.102799	8831.2
0.104227	8857.5
0.105676	8884.5
0.107145	8911.9
0.108634	8939.6
0.110143	8967.7
0.111674	8996.4
0.113226	9025.4
0.1148	9054.9
0.116395	9084.9
0.118013	9115.2
0.119653	9146.2
0.121315	9177.5
0.123001	9209
0.124711	9241.1
0.126444	9273.7
0.128201	9306.5
0.129983	9339.9
0.131789	9373.6
0.133621	9408
0.135478	9442.5
0.137361	9477.3
0.13927	9512.8
0.141205	9548.6
0.143167	9584.7
0.145157	9621.4
0.147174	9658.5
0.14922	9695.9
0.151293	9733.7
0.153396	9772
0.155528	9810.7
0.157689	9849.8
0.159881	9889.4
0.162103	9929.3
0.164355	9969.6
0.16664	10011
0.168955	10052
0.171303	10093
0.173684	10136
0.176098	10178
0.178545	10221
0.181027	10264
0.183542	10309
0.186093	10353
0.188679	10398
0.191301	10443
0.19396	10489
0.196656	10535
0.199389	10582
0.20216	10629
0.204969	10677
0.207818	10726
0.210706	10775
0.213634	10824
0.216603	10874
0.219613	10924
0.222665	10975
0.22576	11027
0.228897	11079
0.232078	11132
0.235303	11185
0.238574	11239
0.241889	11294
0.245251	11349
0.248659	11405
0.252115	11461
0.255619	11518
0.259171	11576
0.262773	11634
0.266425	11693
0.270127	11753
0.273881	11814
0.277688	11875
0.281547	11936
0.285459	11999
0.289427	12062
0.293449	12126
0.297527	12191
0.301662	12257
0.305854	12323
0.310105	12390
0.314414	12458
0.318784	12526
0.323214	12596
0.327706	12667
0.33226	12738
0.336878	12809
0.34156	12883
0.346306	12956
0.351119	13031
0.355999	13107
0.360946	13183
0.365962	13260
0.371048	13339
0.376205	13419
0.381433	13498
0.386734	13579
0.392109	13662
0.397558	13745
0.403083	13830
0.408685	13915
0.414365	14001
0.420123	14088
0.425962	14176
0.431882	14266
0.437884	14357
0.443969	14448
0.450139	14542
0.456395	14635
0.462737	14730
0.469168	14826
0.475689	14923
0.482299	15022
0.489002	15122
0.495798	15223
0.502688	15325
0.509674	15428
0.516757	15533
0.523939	15639
0.53122	15747
0.538603	15855
0.546088	15965
0.553677	16076
0.561372	16189
0.569174	16302
0.577084	16418
0.585104	16534
0.593235	16653
0.601479	16773
0.609838	16893
0.618314	17015
0.626907	17140
0.635619	17265
0.644452	17391
0.653409	17520
0.662489	17650
0.671696	17781
0.681031	17914
0.690495	18050
0.700092	18186
0.709821	18323
0.719686	18463
0.729687	18603
0.739828	18747
0.75011	18891
0.760534	19037
0.771104	19186
0.78182	19335
0.792685	19486
0.803702	19640
0.814871	19795
0.826196	19951
0.837678	20110
0.849319	20272
0.861122	20433
0.87309	20599
0.885224	20765
0.897526	20933
0.909999	21103
0.922646	21275
0.935468	21449
0.948469	21626
0.96165	21804
0.975014	21984
0.988564	22167
1.0023	22672
1.01623	22862
1.03036	23056
1.04467	23251
1.05919	23447
1.07391	23645
1.08884	23847
1.10397	24050
1.11931	24255
1.13487	24462
1.15064	24672
1.16663	24883
1.18284	25098
1.19928	25314
1.21595	25533
1.23285	25752
1.24998	25976
1.26735	26201
1.28496	26429
1.30282	26661
1.32093	26893
1.33929	27128
1.3579	27365
1.37677	27605
1.3959	27848
1.4153	28092
1.43497	28339
1.45491	28589
1.47513	28841
1.49563	29097
1.51642	29353
1.53749	29615
1.55886	29876
1.58052	30142
1.60249	30411
1.62476	30683
1.64734	30956
1.67023	31233
1.69345	31512
1.71698	31794
1.74084	32079
1.76503	32367
1.78956	32659
1.81443	32952
1.83965	33250
1.86522	33548
1.89114	33852
1.91742	34156
1.94407	34464
1.97108	34777
1.99848	35090
2.02625	35408
2.05441	35729
2.08296	36053
2.11191	36381
2.14126	36709
2.17102	37043
2.20119	37381
2.23178	37719
2.2628	38064
2.29424	38410
2.32613	38759
2.35845	39112
2.39123	39468
2.42446	39829
2.45816	40191
2.49232	40557
2.52695	40928
2.56207	41300
2.59768	41676
2.63378	42056
2.67038	42439
2.70749	42827
2.74512	43217
2.78327	43611
2.82195	44008
2.86117	44409
2.90093	44813
2.94125	45221
2.98212	45633
3.02357	46047
3.06559	46466
3.10819	46887
3.15139	47314
3.19518	47743
3.23959	48176
3.28461	48613
3.33026	49052
3.37654	49494
3.42346	49942
3.47104	50393
3.51928	50847
3.56819	51305
3.61778	51767
3.66805	52232
3.71903	52701
3.77071	53171
3.82312	53647
3.87625	54125
3.93012	54607
3.98474	55094
4.04011	55583
4.09626	56075
4.15319	56572
4.21091	57069
4.26943	57571
4.32876	58079
4.38892	58588
4.44991	59100
4.51176	59616
4.57446	60133
4.63803	60656
4.70249	61181
4.76784	61710
4.8341	62241
4.90128	62775
4.9694	63312
5.03846	63852
5.10848	64396
5.17947	64942
5.25146	65488
5.32444	66038
5.39843	66593
5.47346	67148
5.54952	67705
5.62665	68265
5.70484	68828
5.78413	69393
5.86451	69959
5.94601	70527
6.02865	71097
6.11243	71669
6.19738	72242
6.2835	72816
6.37083	73393
6.45936	73971
6.54913	74548
6.64015	75128
6.73243	75709
6.82599	76289
6.92086	76869
7.01704	77451
7.11456	78032
7.21343	78613
7.31368	79196
7.41532	79777
7.51837	80358
7.62286	80940
7.7288	81521
7.83621	82099
7.94511	82678
8.05553	83255
8.16748	83830
8.28098	84406
8.39607	84978
8.51275	85548
8.63106	86117
8.75101	86682
8.87262	87247
8.99593	87806
9.12095	88366
