"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	51.753
0.10139	51.902
0.102799	52.055
0.104227	52.21
0.105676	52.371
0.107145	52.532
0.108634	52.696
0.110143	52.861
0.111674	53.031
0.113226	53.201
0.1148	53.375
0.116395	53.552
0.118013	53.731
0.119653	53.915
0.121315	54.099
0.123001	54.286
0.124711	54.475
0.126444	54.667
0.128201	54.86
0.129983	55.057
0.131789	55.255
0.133621	55.46
0.135478	55.664
0.137361	55.869
0.13927	56.078
0.141205	56.289
0.143167	56.502
0.145157	56.718
0.147174	56.939
0.14922	57.16
0.151293	57.383
0.153396	57.608
0.155528	57.836
0.157689	58.067
0.159881	58.302
0.162103	58.538
0.164355	58.775
0.16664	59.016
0.168955	59.259
0.171303	59.507
0.173684	59.756
0.176098	60.007
0.178545	60.26
0.181027	60.515
0.183542	60.778
0.186093	61.04
0.188679	61.303
0.191301	61.571
0.19396	61.841
0.196656	62.117
0.199389	62.393
0.20216	62.672
0.204969	62.953
0.207818	63.242
0.210706	63.53
0.213634	63.82
0.216603	64.115
0.219613	64.416
0.222665	64.716
0.22576	65.021
0.228897	65.328
0.232078	65.642
0.235303	65.957
0.238574	66.273
0.241889	66.599
0.245251	66.924
0.248659	67.252
0.252115	67.589
0.255619	67.924
0.259171	68.265
0.262773	68.612
0.266425	68.96
0.270127	69.312
0.273881	69.672
0.277688	70.032
0.281547	70.395
0.285459	70.768
0.289427	71.141
0.293449	71.518
0.297527	71.903
0.301662	72.29
0.305854	72.684
0.310105	73.079
0.314414	73.483
0.318784	73.886
0.323214	74.297
0.327706	74.719
0.33226	75.138
0.336878	75.56
0.34156	75.993
0.346306	76.43
0.351119	76.87
0.355999	77.322
0.360946	77.77
0.365962	78.229
0.371048	78.691
0.376205	79.165
0.381433	79.64
0.386734	80.117
0.392109	80.605
0.397558	81.097
0.403083	81.601
0.408685	82.104
0.414365	82.611
0.420123	83.129
0.425962	83.65
0.431882	84.184
0.437884	84.724
0.443969	85.265
0.450139	85.815
0.456395	86.371
0.462737	86.934
0.469168	87.499
0.475689	88.077
0.482299	88.662
0.489002	89.255
0.495798	89.855
0.502688	90.462
0.509674	91.072
0.516757	91.694
0.523939	92.324
0.53122	92.961
0.538603	93.605
0.546088	94.257
0.553677	94.916
0.561372	95.583
0.569174	96.257
0.577084	96.946
0.585104	97.635
0.593235	98.338
0.601479	99.05
0.609838	99.761
0.618314	100.49
0.626907	101.23
0.635619	101.97
0.644452	102.72
0.653409	103.49
0.662489	104.26
0.671696	105.04
0.681031	105.83
0.690495	106.64
0.700092	107.45
0.709821	108.27
0.719686	109.1
0.729687	109.93
0.739828	110.79
0.75011	111.65
0.760534	112.51
0.771104	113.4
0.78182	114.28
0.792685	115.19
0.803702	116.11
0.814871	117.03
0.826196	117.96
0.837678	118.91
0.849319	119.87
0.861122	120.83
0.87309	121.82
0.885224	122.81
0.897526	123.82
0.909999	124.83
0.922646	125.85
0.935468	126.9
0.948469	127.95
0.96165	129.02
0.975014	130.09
0.988564	131.19
1.0023	134.18
1.01623	135.33
1.03036	136.49
1.04467	137.65
1.05919	138.83
1.07391	140.02
1.08884	141.23
1.10397	142.44
1.11931	143.67
1.13487	144.91
1.15064	146.18
1.16663	147.44
1.18284	148.73
1.19928	150.03
1.21595	151.35
1.23285	152.67
1.24998	154.02
1.26735	155.36
1.28496	156.74
1.30282	158.13
1.32093	159.54
1.33929	160.95
1.3579	162.38
1.37677	163.83
1.3959	165.29
1.4153	166.78
1.43497	168.27
1.45491	169.78
1.47513	171.3
1.49563	172.85
1.51642	174.41
1.53749	175.99
1.55886	177.57
1.58052	179.19
1.60249	180.82
1.62476	182.48
1.64734	184.13
1.67023	185.82
1.69345	187.52
1.71698	189.24
1.74084	190.98
1.76503	192.74
1.78956	194.52
1.81443	196.31
1.83965	198.13
1.86522	199.96
1.89114	201.82
1.91742	203.68
1.94407	205.57
1.97108	207.5
1.99848	209.42
2.02625	211.38
2.05441	213.35
2.08296	215.35
2.11191	217.38
2.14126	219.41
2.17102	221.47
2.20119	223.57
2.23178	225.66
2.2628	227.79
2.29424	229.95
2.32613	232.12
2.35845	234.32
2.39123	236.53
2.42446	238.79
2.45816	241.05
2.49232	243.34
2.52695	245.67
2.56207	248
2.59768	250.37
2.63378	252.76
2.67038	255.17
2.70749	257.62
2.74512	260.09
2.78327	262.58
2.82195	265.09
2.86117	267.64
2.90093	270.21
2.94125	272.82
2.98212	275.44
3.02357	278.09
3.06559	280.79
3.10819	283.49
3.15139	286.24
3.19518	289
3.23959	291.8
3.28461	294.63
3.33026	297.47
3.37654	300.35
3.42346	303.28
3.47104	306.23
3.51928	309.19
3.56819	312.2
3.61778	315.24
3.66805	318.31
3.71903	321.4
3.77071	324.53
3.82312	327.69
3.87625	330.87
3.93012	334.1
3.98474	337.36
4.04011	340.65
4.09626	343.98
4.15319	347.34
4.21091	350.72
4.26943	354.15
4.32876	357.62
4.38892	361.11
4.44991	364.64
4.51176	368.21
4.57446	371.79
4.63803	375.42
4.70249	379.09
4.76784	382.81
4.8341	386.54
4.90128	390.32
4.9694	394.13
5.03846	397.97
5.10848	401.86
5.17947	405.8
5.25146	409.74
5.32444	413.74
5.39843	417.78
5.47346	421.86
5.54952	425.98
5.62665	430.13
5.70484	434.33
5.78413	438.56
5.86451	442.82
5.94601	447.13
6.02865	451.48
6.11243	455.85
6.19738	460.28
6.2835	464.75
6.37083	469.26
6.45936	473.79
6.54913	478.38
6.64015	483.01
6.73243	487.69
6.82599	492.39
6.92086	497.13
7.01704	501.93
7.11456	506.75
7.21343	511.63
7.31368	516.54
7.41532	521.5
7.51837	526.48
7.62286	531.54
7.7288	536.6
7.83621	541.71
7.94511	546.88
8.05553	552.08
8.16748	557.32
8.28098	562.61
8.39607	567.95
8.51275	573.3
8.63106	578.72
8.75101	584.17
8.87262	589.67
8.99593	595.18
9.12095	600.76
9.2477	606.38
9.37622	612.03
9.50653	617.72
9.63864	623.45
9.7726	629.23
9.90841	635.04
10.0461	640.89
10.1857	646.8
10.3273	652.76
10.4708	658.73
10.6163	664.76
10.7639	670.81
10.9134	676.91
11.0651	683.07
11.2189	689.24
11.3748	695.46
11.5329	701.7
11.6932	707.99
11.8557	714.33
12.0204	720.68
12.1875	727.1
12.3569	733.54
12.5286	740.01
12.7027	746.52
12.8792	753.09
13.0582	759.65
13.2397	766.27
13.4237	772.92
13.6103	779.6
13.7994	786.32
13.9912	793.06
14.1856	799.83
14.3828	806.65
14.5826	813.5
14.7853	820.4
14.9908	827.31
15.1991	834.23
15.4103	841.21
15.6245	848.21
15.8416	855.24
16.0618	862.3
16.285	869.37
16.5113	876.48
16.7408	883.6
16.9735	890.76
17.2093	897.95
17.4485	905.16
17.691	912.4
17.9369	919.64
18.1861	926.93
18.4389	934.22
18.6951	941.54
18.9549	948.88
19.2184	956.25
19.4854	963.64
19.7562	971.03
20.0308	978.48
20.3092	985.91
20.5914	993.38
20.8776	1000.8
21.1677	1008.3
21.4619	1015.8
21.7602	1023.4
22.0626	1030.9
22.3692	1038.4
22.6801	1046
22.9953	1053.5
23.3148	1061.1
23.6389	1068.6
23.9674	1076.2
24.3005	1083.8
24.6382	1091.4
24.9806	1099
25.3277	1106.5
25.6797	1114.1
26.0366	1121.6
26.3984	1129.2
26.7653	1136.7
27.1373	1144.2
27.5144	1151.7
27.8968	1159.2
28.2845	1166.7
28.6776	1174.1
29.0761	1181.5
29.4802	1188.9
29.8899	1196.2
30.3053	1203.5
30.7265	1210.7
31.1535	1217.9
31.5864	1225
32.0254	1232.1
32.4705	1239.1
32.9217	1246.1
33.3792	1253
33.8431	1259.8
34.3135	1266.5
34.7903	1273.1
35.2738	1279.6
35.764	1286
36.2611	1292.3
36.765	1298.5
37.2759	1304.7
37.794	1310.7
38.3192	1316.6
38.8518	1322.5
39.3917	1328.3
39.9391	1334
40.4942	1339.6
41.0569	1345.1
41.6275	1350.6
42.206	1356.1
42.7926	1361.5
43.3873	1366.8
43.9903	1372.2
44.6016	1377.5
45.2215	1382.8
45.8499	1388.1
46.4871	1393.4
47.1332	1398.7
47.7882	1404.1
48.4523	1409.5
49.1257	1415
49.8084	1420.6
50.5006	1426.2
51.2024	1432
51.914	1437.9
52.6355	1443.9
53.367	1450.2
54.1087	1456.6
54.8606	1463.2
55.623	1470
56.3961	1477.1
57.1798	1484.4
57.9745	1492
58.7802	1500
59.5971	1508.3
60.4253	1517
61.265	1526.1
62.1165	1535.7
62.9797	1545.7
63.855	1556.2
64.7424	1567.2
65.6422	1578.8
66.5544	1591
67.4793	1603.8
68.4171	1617.3
69.3679	1631.6
70.332	1646.6
71.3094	1662.4
72.3004	1678.8
73.3052	1695.9
74.324	1713.5
75.3569	1731.5
76.4041	1749.7
77.466	1768.2
78.5425	1786.6
79.6341	1804.9
80.7408	1822.9
81.8629	1840.3
83.0005	1857
84.154	1872.9
85.3236	1887.5
86.5093	1900.8
87.7116	1912.5
88.9305	1922.5
90.1664	1930.4
91.4195	1936
92.69	1939.3
93.9782	1940.1
95.2842	1938.5
96.6084	1934.4
97.951	1928.1
99.3123	1919.4
100.692	1908.6
102.092	1895.7
