"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	647.48
0.10139	649.35
0.102799	651.26
0.104227	653.2
0.105676	655.21
0.107145	657.23
0.108634	659.28
0.110143	661.35
0.111674	663.47
0.113226	665.6
0.1148	667.78
0.116395	669.99
0.118013	672.23
0.119653	674.54
0.121315	676.84
0.123001	679.17
0.124711	681.53
0.126444	683.94
0.128201	686.36
0.129983	688.82
0.131789	691.3
0.133621	693.86
0.135478	696.41
0.137361	698.98
0.13927	701.59
0.141205	704.24
0.143167	706.9
0.145157	709.6
0.147174	712.36
0.14922	715.13
0.151293	717.91
0.153396	720.74
0.155528	723.59
0.157689	726.47
0.159881	729.42
0.162103	732.36
0.164355	735.34
0.16664	738.35
0.168955	741.39
0.171303	744.49
0.173684	747.6
0.176098	750.74
0.178545	753.91
0.181027	757.11
0.183542	760.39
0.186093	763.66
0.188679	766.96
0.191301	770.31
0.19396	773.69
0.196656	777.14
0.199389	780.59
0.20216	784.08
0.204969	787.6
0.207818	791.21
0.210706	794.82
0.213634	798.45
0.216603	802.14
0.219613	805.9
0.222665	809.66
0.22576	813.47
0.228897	817.31
0.232078	821.24
0.235303	825.17
0.238574	829.14
0.241889	833.21
0.245251	837.28
0.248659	841.39
0.252115	845.59
0.255619	849.79
0.259171	854.05
0.262773	858.39
0.266425	862.75
0.270127	867.14
0.273881	871.65
0.277688	876.16
0.281547	880.7
0.285459	885.36
0.289427	890.03
0.293449	894.74
0.297527	899.56
0.301662	904.4
0.305854	909.33
0.310105	914.28
0.314414	919.32
0.318784	924.37
0.323214	929.51
0.327706	934.79
0.33226	940.02
0.336878	945.31
0.34156	950.72
0.346306	956.19
0.351119	961.7
0.355999	967.35
0.360946	972.95
0.365962	978.7
0.371048	984.48
0.376205	990.41
0.381433	996.34
0.386734	1002.3
0.392109	1008.4
0.397558	1014.6
0.403083	1020.9
0.408685	1027.2
0.414365	1033.5
0.420123	1040
0.425962	1046.5
0.431882	1053.2
0.437884	1059.9
0.443969	1066.7
0.450139	1073.6
0.456395	1080.5
0.462737	1087.6
0.469168	1094.7
0.475689	1101.9
0.482299	1109.2
0.489002	1116.6
0.495798	1124.1
0.502688	1131.7
0.509674	1139.3
0.516757	1147.1
0.523939	1155
0.53122	1163
0.538603	1171
0.546088	1179.2
0.553677	1187.4
0.561372	1195.8
0.569174	1204.2
0.577084	1212.8
0.585104	1221.4
0.593235	1230.2
0.601479	1239.1
0.609838	1248
0.618314	1257.2
0.626907	1266.4
0.635619	1275.7
0.644452	1285.1
0.653409	1294.6
0.662489	1304.3
0.671696	1314.1
0.681031	1324
0.690495	1334.1
0.700092	1344.2
0.709821	1354.4
0.719686	1364.8
0.729687	1375.3
0.739828	1385.9
0.75011	1396.7
0.760534	1407.5
0.771104	1418.6
0.78182	1429.7
0.792685	1441
0.803702	1452.5
0.814871	1464
0.826196	1475.6
0.837678	1487.5
0.849319	1499.5
0.861122	1511.6
0.87309	1523.9
0.885224	1536.3
0.897526	1548.9
0.909999	1561.6
0.922646	1574.4
0.935468	1587.4
0.948469	1600.6
0.96165	1613.9
0.975014	1627.3
0.988564	1641.1
1.0023	1678.5
1.01623	1692.8
1.03036	1707.3
1.04467	1721.9
1.05919	1736.6
1.07391	1751.5
1.08884	1766.6
1.10397	1781.8
1.11931	1797.1
1.13487	1812.7
1.15064	1828.5
1.16663	1844.3
1.18284	1860.4
1.19928	1876.6
1.21595	1893.1
1.23285	1909.6
1.24998	1926.5
1.26735	1943.3
1.28496	1960.5
1.30282	1978
1.32093	1995.5
1.33929	2013.2
1.3579	2031.1
1.37677	2049.1
1.3959	2067.5
1.4153	2086
1.43497	2104.6
1.45491	2123.5
1.47513	2142.5
1.49563	2161.9
1.51642	2181.3
1.53749	2201.1
1.55886	2220.9
1.58052	2241.1
1.60249	2261.5
1.62476	2282.2
1.64734	2302.9
1.67023	2324
1.69345	2345.2
1.71698	2366.7
1.74084	2388.4
1.76503	2410.4
1.78956	2432.7
1.81443	2455
1.83965	2477.8
1.86522	2500.6
1.89114	2523.9
1.91742	2547.1
1.94407	2570.8
1.97108	2594.8
1.99848	2618.8
2.02625	2643.3
2.05441	2668
2.08296	2692.9
2.11191	2718.2
2.14126	2743.5
2.17102	2769.3
2.20119	2795.5
2.23178	2821.6
2.2628	2848.3
2.29424	2875.2
2.32613	2902.3
2.35845	2929.7
2.39123	2957.4
2.42446	2985.6
2.45816	3013.7
2.49232	3042.3
2.52695	3071.4
2.56207	3100.5
2.59768	3130
2.63378	3159.9
2.67038	3190
2.70749	3220.5
