"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	3680.7
0.10139	3691.3
0.102799	3702.2
0.104227	3713.2
0.105676	3724.6
0.107145	3736.1
0.108634	3747.7
0.110143	3759.5
0.111674	3771.5
0.113226	3783.7
0.1148	3796
0.116395	3808.6
0.118013	3821.3
0.119653	3834.4
0.121315	3847.5
0.123001	3860.8
0.124711	3874.2
0.126444	3887.9
0.128201	3901.6
0.129983	3915.6
0.131789	3929.7
0.133621	3944.3
0.135478	3958.7
0.137361	3973.3
0.13927	3988.2
0.141205	4003.2
0.143167	4018.3
0.145157	4033.7
0.147174	4049.4
0.14922	4065.1
0.151293	4080.9
0.153396	4097
0.155528	4113.2
0.157689	4129.6
0.159881	4146.3
0.162103	4163.1
0.164355	4179.9
0.16664	4197.1
0.168955	4214.4
0.171303	4232
0.173684	4249.7
0.176098	4267.5
0.178545	4285.5
0.181027	4303.7
0.183542	4322.3
0.186093	4340.9
0.188679	4359.7
0.191301	4378.7
0.19396	4397.9
0.196656	4417.5
0.199389	4437.1
0.20216	4456.9
0.204969	4477
0.207818	4497.5
0.210706	4518
0.213634	4538.6
0.216603	4559.6
0.219613	4580.9
0.222665	4602.3
0.22576	4623.9
0.228897	4645.8
0.232078	4668.1
0.235303	4690.4
0.238574	4713
0.241889	4736.1
0.245251	4759.2
0.248659	4782.6
0.252115	4806.4
0.255619	4830.3
0.259171	4854.5
0.262773	4879.1
0.266425	4903.9
0.270127	4928.9
0.273881	4954.5
0.277688	4980.1
0.281547	5005.9
0.285459	5032.4
0.289427	5058.9
0.293449	5085.7
0.297527	5113.1
0.301662	5140.6
0.305854	5168.6
0.310105	5196.7
0.314414	5225.3
0.318784	5254
0.323214	5283.2
0.327706	5313.2
0.33226	5342.9
0.336878	5372.9
0.34156	5403.7
0.346306	5434.8
0.351119	5466.1
0.355999	5498.1
0.360946	5530
0.365962	5562.6
0.371048	5595.5
0.376205	5629.1
0.381433	5662.8
0.386734	5696.7
0.392109	5731.4
0.397558	5766.4
0.403083	5802.2
0.408685	5837.9
0.414365	5873.9
0.420123	5910.7
0.425962	5947.8
0.431882	5985.7
0.437884	6024
0.443969	6062.4
0.450139	6101.6
0.456395	6141
0.462737	6181
0.469168	6221.2
0.475689	6262.2
0.482299	6303.8
0.489002	6345.9
0.495798	6388.5
0.502688	6431.6
0.509674	6474.9
0.516757	6519.1
0.523939	6563.8
0.53122	6609.1
0.538603	6654.8
0.546088	6701.1
0.553677	6747.9
0.561372	6795.3
0.569174	6843.1
0.577084	6892.1
