"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	1013.1
0.10139	1016
0.102799	1019
0.104227	1022.1
0.105676	1025.2
0.107145	1028.4
0.108634	1031.6
0.110143	1034.8
0.111674	1038.1
0.113226	1041.5
0.1148	1044.9
0.116395	1048.3
0.118013	1051.8
0.119653	1055.4
0.121315	1059
0.123001	1062.7
0.124711	1066.4
0.126444	1070.2
0.128201	1073.9
0.129983	1077.8
0.131789	1081.7
0.133621	1085.7
0.135478	1089.7
0.137361	1093.7
0.13927	1097.8
0.141205	1101.9
0.143167	1106.1
0.145157	1110.3
0.147174	1114.6
0.14922	1119
0.151293	1123.3
0.153396	1127.7
0.155528	1132.2
0.157689	1136.7
0.159881	1141.3
0.162103	1145.9
0.164355	1150.6
0.16664	1155.3
0.168955	1160
0.171303	1164.9
0.173684	1169.8
0.176098	1174.7
0.178545	1179.6
0.181027	1184.6
0.183542	1189.8
0.186093	1194.9
0.188679	1200.1
0.191301	1205.3
0.19396	1210.6
0.196656	1216
0.199389	1221.4
0.20216	1226.8
0.204969	1232.3
0.207818	1238
0.210706	1243.6
0.213634	1249.3
0.216603	1255.1
0.219613	1261
0.222665	1266.9
0.22576	1272.8
0.228897	1278.8
0.232078	1285
0.235303	1291.1
0.238574	1297.3
0.241889	1303.7
0.245251	1310.1
0.248659	1316.5
0.252115	1323.1
0.255619	1329.6
0.259171	1336.3
0.262773	1343.1
0.266425	1349.9
0.270127	1356.8
0.273881	1363.8
0.277688	1370.9
0.281547	1378
0.285459	1385.3
0.289427	1392.6
0.293449	1400
0.297527	1407.5
0.301662	1415.1
0.305854	1422.8
0.310105	1430.5
0.314414	1438.4
0.318784	1446.3
0.323214	1454.4
0.327706	1462.6
0.33226	1470.8
0.336878	1479.1
0.34156	1487.6
0.346306	1496.1
0.351119	1504.7
0.355999	1513.6
0.360946	1522.3
0.365962	1531.3
0.371048	1540.4
0.376205	1549.6
0.381433	1558.9
0.386734	1568.3
0.392109	1577.8
0.397558	1587.5
0.403083	1597.3
0.408685	1607.2
0.414365	1617.1
0.420123	1627.2
0.425962	1637.4
0.431882	1647.9
0.437884	1658.4
0.443969	1669
0.450139	1679.8
0.456395	1690.7
0.462737	1701.7
0.469168	1712.7
0.475689	1724
0.482299	1735.5
0.489002	1747.1
0.495798	1758.8
0.502688	1770.7
0.509674	1782.6
0.516757	1794.8
0.523939	1807.1
0.53122	1819.6
0.538603	1832.2
0.546088	1845
0.553677	1857.9
0.561372	1870.9
0.569174	1884.1
0.577084	1897.6
0.585104	1911.1
0.593235	1924.8
0.601479	1938.7
0.609838	1952.7
0.618314	1967
0.626907	1981.5
0.635619	1996
0.644452	2010.6
0.653409	2025.5
0.662489	2040.7
0.671696	2056
0.681031	2071.5
0.690495	2087.2
0.700092	2103
0.709821	2119.1
0.719686	2135.3
0.729687	2151.7
0.739828	2168.4
0.75011	2185.2
0.760534	2202.1
0.771104	2219.5
0.78182	2236.8
0.792685	2254.5
0.803702	2272.4
0.814871	2290.5
0.826196	2308.7
0.837678	2327.2
0.849319	2346.1
0.861122	2364.9
0.87309	2384.2
0.885224	2403.6
0.897526	2423.2
0.909999	2443.1
0.922646	2463.1
0.935468	2483.6
0.948469	2504.2
0.96165	2524.9
0.975014	2546
0.988564	2567.5
1.0023	2626.1
1.01623	2648.4
1.03036	2671.1
1.04467	2693.9
1.05919	2716.9
1.07391	2740.1
1.08884	2763.8
1.10397	2787.5
1.11931	2811.5
1.13487	2835.8
1.15064	2860.6
1.16663	2885.3
1.18284	2910.5
1.19928	2935.8
1.21595	2961.6
1.23285	2987.4
1.24998	3013.8
1.26735	3040.1
1.28496	3067
1.30282	3094.3
1.32093	3121.7
1.33929	3149.3
1.3579	3177.4
1.37677	3205.6
1.3959	3234.2
1.4153	3263.2
1.43497	3292.3
1.45491	3321.9
1.47513	3351.6
1.49563	3381.9
1.51642	3412.2
1.53749	3443.2
1.55886	3474.2
1.58052	3505.7
1.60249	3537.6
1.62476	3569.9
1.64734	3602.3
1.67023	3635.2
1.69345	3668.4
1.71698	3702
1.74084	3735.9
1.76503	3770.3
1.78956	3805.1
1.81443	3840
1.83965	3875.6
1.86522	3911.3
1.89114	3947.7
1.91742	3984
1.94407	4020.9
1.97108	4058.5
1.99848	4096
2.02625	4134.2
2.05441	4172.7
2.08296	4211.7
2.11191	4251.3
2.14126	4290.8
2.17102	4331.1
2.20119	4372
2.23178	4412.8
2.2628	4454.4
2.29424	4496.5
2.32613	4538.8
2.35845	4581.7
2.39123	4624.8
2.42446	4668.9
2.45816	4712.8
2.49232	4757.5
2.52695	4802.9
2.56207	4848.3
2.59768	4894.4
2.63378	4941
2.67038	4988
2.70749	5035.7
2.74512	5083.7
2.78327	5132.3
2.82195	5181.2
2.86117	5230.9
2.90093	5280.9
2.94125	5331.6
2.98212	5382.7
3.02357	5434.1
3.06559	5486.6
3.10819	5539.2
3.15139	5592.6
3.19518	5646.3
3.23959	5700.6
3.28461	5755.8
3.33026	5811
3.37654	5866.9
3.42346	5923.7
3.47104	5981
3.51928	6038.6
3.56819	6096.9
3.61778	6155.9
3.66805	6215.5
3.71903	6275.6
3.77071	6336.1
3.82312	6397.5
3.87625	6459.2
3.93012	6521.6
3.98474	6585
4.04011	6648.6
4.09626	6713
4.15319	6778
4.21091	6843.5
4.26943	6909.9
4.32876	6977
4.38892	7044.4
4.44991	7112.8
4.51176	7181.6
4.57446	7250.8
4.63803	7321
4.70249	7391.8
4.76784	7463.5
4.8341	7535.6
4.90128	7608.3
4.9694	7681.8
5.03846	7755.9
5.10848	7830.8
5.17947	7906.5
5.25146	7982.3
5.32444	8059.2
5.39843	8136.8
5.47346	8215.1
5.54952	8294.1
5.62665	8373.7
5.70484	8454.1
5.78413	8535.3
5.86451	8616.7
5.94601	8699.2
6.02865	8782.3
6.11243	8866
6.19738	8950.5
6.2835	9035.7
6.37083	9121.7
6.45936	9208.2
6.54913	9295.4
6.64015	9383.4
6.73243	9472.4
6.82599	9561.7
6.92086	9651.4
7.01704	9742.3
7.11456	9833.7
7.21343	9925.7
7.31368	10018
7.41532	10112
7.51837	10206
7.62286	10301
7.7288	10396
7.83621	10492
7.94511	10589
8.05553	10686
8.16748	10784
8.28098	10883
8.39607	10982
8.51275	11082
8.63106	11183
8.75101	11284
8.87262	11385
8.99593	11487
9.12095	11590
9.2477	11693
9.37622	11797
9.50653	11901
9.63864	12006
9.7726	12112
9.90841	12217
10.0461	12324
10.1857	12431
10.3273	12538
10.4708	12646
10.6163	12754
10.7639	12863
10.9134	12972
11.0651	13081
11.2189	13191
11.3748	13301
11.5329	13411
11.6932	13522
11.8557	13633
12.0204	13743
12.1875	13855
12.3569	13966
12.5286	14078
12.7027	14189
12.8792	14301
13.0582	14412
13.2397	14524
13.4237	14636
13.6103	14747
13.7994	14859
13.9912	14970
14.1856	15081
14.3828	15193
14.5826	15304
14.7853	15414
14.9908	15524
15.1991	15634
15.4103	15744
15.6245	15853
15.8416	15962
16.0618	16071
16.285	16178
16.5113	16285
16.7408	16392
16.9735	16498
17.2093	16603
17.4485	16707
17.691	16811
17.9369	16914
18.1861	17016
18.4389	17116
18.6951	17216
18.9549	17315
19.2184	17413
19.4854	17510
19.7562	17605
20.0308	17700
20.3092	17793
20.5914	17885
20.8776	17975
21.1677	18064
21.4619	18151
21.7602	18236
22.0626	18321
22.3692	18403
22.6801	18484
22.9953	18563
23.3148	18640
23.6389	18715
23.9674	18789
24.3005	18860
24.6382	18930
24.9806	18997
25.3277	19063
25.6797	19126
26.0366	19187
26.3984	19245
26.7653	19302
27.1373	19356
27.5144	19408
27.8968	19457
28.2845	19504
28.6776	19548
29.0761	19589
29.4802	19629
29.8899	19665
30.3053	19699
30.7265	19730
31.1535	19758
31.5864	19784
32.0254	19806
32.4705	19826
32.9217	19843
33.3792	19858
33.8431	19869
34.3135	19878
34.7903	19883
35.2738	19885
35.764	19885
36.2611	19881
36.765	19875
37.2759	19866
37.794	19853
38.3192	19838
38.8518	19820
39.3917	19799
39.9391	19775
40.4942	19748
41.0569	19718
41.6275	19686
42.206	19651
42.7926	19612
43.3873	19572
43.9903	19528
44.6016	19482
45.2215	19433
45.8499	19381
46.4871	19327
47.1332	19271
47.7882	19212
48.4523	19150
49.1257	19087
49.8084	19021
50.5006	18953
51.2024	18882
51.914	18810
52.6355	18736
53.367	18660
54.1087	18582
54.8606	18502
55.623	18420
56.3961	18337
57.1798	18252
57.9745	18166
58.7802	18077
59.5971	17989
60.4253	17898
61.265	17806
62.1165	17713
62.9797	17619
63.855	17524
64.7424	17427
65.6422	17330
66.5544	17232
67.4793	17134
68.4171	17035
69.3679	16935
70.332	16835
71.3094	16734
72.3004	16632
73.3052	16530
74.324	16427
75.3569	16324
76.4041	16219
77.466	16115
78.5425	16009
79.6341	15902
80.7408	15793
81.8629	15684
83.0005	15573
84.154	15462
85.3236	15348
86.5093	15233
87.7116	15116
88.9305	14998
90.1664	14878
91.4195	14756
92.69	14633
93.9782	14507
95.2842	14379
96.6084	14249
97.951	14118
99.3123	13985
100.692	13849
102.092	13712
103.511	13574
104.949	13433
106.408	13290
107.886	13146
109.386	13000
110.906	12852
112.447	12703
114.01	12552
115.594	12399
117.201	12245
118.83	12089
120.481	11930
122.156	11770
123.853	11609
125.574	11448
127.32	11285
129.089	11121
130.883	10956
132.702	10788
134.546	10620
136.416	10452
138.312	10282
140.234	10113
142.183	9941.4
144.159	9769.1
146.162	9596.6
148.194	9422.5
150.253	9249.4
152.341	9075.9
154.458	8902.4
156.605	8729.5
158.781	8557
160.988	8385
163.225	8211.4
165.494	8038.3
167.794	7868.1
170.125	7697.8
172.49	7527.1
174.887	7358.1
177.317	7190.2
179.782	7025.4
182.28	6860.2
184.813	6696
187.382	6533.8
189.986	6372.7
192.626	6213.6
195.303	6055.2
198.017	5900.6
200.769	5745.8
203.559	5593.2
206.388	5441.2
209.257	5292.1
212.165	5144.2
215.113	4996.7
218.103	4849.4
221.134	4704.7
224.207	4559.8
227.323	4416.2
230.482	4273.8
233.685	4133.8
236.933	3993.4
240.226	3856
243.564	3718.1
246.949	3583.1
250.381	3450.1
253.861	3317.7
257.389	3188.7
260.966	3061.5
264.592	2939
268.27	2820.1
271.998	2704.5
275.778	2591.8
279.61	2483.9
283.496	2380.6
287.436	2281.7
291.431	2186.1
295.481	2094.7
299.587	2008
303.751	1924.9
307.972	1845.6
312.252	1770.1
316.592	1698.6
320.991	1630
325.452	1565.2
329.975	1502.6
334.561	1442.7
339.211	1386.3
343.925	1332
348.704	1280.1
353.551	1230.7
358.464	1183.3
363.446	1137.5
368.497	1093.4
373.618	1050.9
378.81	1010
384.075	969.69
389.412	930.97
394.824	893.03
400.311	856.13
405.874	820
411.515	784.67
417.234	750.34
423.032	717.19
428.911	684.8
434.872	653.45
440.916	623.24
447.043	594.15
453.256	565.89
459.555	538.58
465.942	512.39
472.417	486.97
478.983	462.67
485.639	439.29
492.388	416.65
499.231	394.94
506.169	374.02
513.204	354.03
520.336	334.81
527.567	316.37
534.899	298.71
542.333	281.84
549.87	265.71
557.511	250.22
565.259	235.42
573.115	221.37
581.08	207.91
589.155	195.19
597.343	183.05
605.645	171.58
614.061	160.73
622.595	150.41
631.248	140.62
640.02	131.31
648.915	122.55
657.933	114.25
667.077	106.42
676.347	99.008
685.747	92.057
695.277	85.454
704.94	79.244
714.736	73.375
724.669	67.88
734.74	62.708
744.951	57.857
755.304	53.311
765.801	49.043
776.444	45.062
787.234	41.34
798.175	37.871
809.267	34.642
820.514	31.635
831.917	28.858
843.478	26.292
855.2	23.927
867.086	21.753
879.136	19.755
891.353	17.921
903.741	16.253
916.301	14.724
929.035	13.328
941.946	12.063
955.037	10.913
968.309	9.8663
981.766	8.8348
995.41	6.8514
