"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	3486
0.10139	3496.1
0.102799	3506.4
0.104227	3516.8
0.105676	3527.6
0.107145	3538.4
0.108634	3549.4
0.110143	3560.6
0.111674	3572
0.113226	3583.5
0.1148	3595.2
0.116395	3607.1
0.118013	3619.2
0.119653	3631.5
0.121315	3643.9
0.123001	3656.5
0.124711	3669.2
0.126444	3682.1
0.128201	3695.2
0.129983	3708.4
0.131789	3721.8
0.133621	3735.5
0.135478	3749.2
0.137361	3763
0.13927	3777.1
0.141205	3791.3
0.143167	3805.7
0.145157	3820.2
0.147174	3835
0.14922	3849.9
0.151293	3864.9
0.153396	3880.1
0.155528	3895.5
0.157689	3911
0.159881	3926.7
0.162103	3942.6
0.164355	3958.6
0.16664	3974.8
0.168955	3991.2
0.171303	4007.8
0.173684	4024.6
0.176098	4041.4
0.178545	4058.5
0.181027	4075.7
0.183542	4093.3
0.186093	4110.9
0.188679	4128.7
0.191301	4146.7
0.19396	4164.9
0.196656	4183.4
0.199389	4202
0.20216	4220.7
0.204969	4239.7
0.207818	4259
0.210706	4278.5
0.213634	4298
0.216603	4317.9
0.219613	4338
0.222665	4358.3
0.22576	4378.7
0.228897	4399.4
0.232078	4420.5
0.235303	4441.7
0.238574	4463
0.241889	4484.8
0.245251	4506.7
0.248659	4528.8
0.252115	4551.4
0.255619	4574
0.259171	4596.9
0.262773	4620.2
0.266425	4643.6
0.270127	4667.3
0.273881	4691.4
0.277688	4715.7
0.281547	4740.1
0.285459	4765.1
0.289427	4790.2
0.293449	4815.6
0.297527	4841.5
0.301662	4867.5
0.305854	4893.9
0.310105	4920.6
0.314414	4947.6
0.318784	4974.8
0.323214	5002.4
0.327706	5030.7
0.33226	5058.9
0.336878	5087.2
0.34156	5116.4
0.346306	5145.7
0.351119	5175.3
0.355999	5205.6
0.360946	5235.8
0.365962	5266.6
0.371048	5297.7
0.376205	5329.5
0.381433	5361.3
0.386734	5393.4
0.392109	5426.2
0.397558	5459.3
0.403083	5493.1
0.408685	5526.9
0.414365	5560.9
0.420123	5595.7
0.425962	5630.8
0.431882	5666.6
