"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	57461
0.10139	57627
0.102799	57797
0.104227	57968
0.105676	58141
0.107145	58320
0.108634	58502
0.110143	58686
0.111674	58874
0.113226	59063
0.1148	59256
0.116395	59452
0.118013	59651
0.119653	59850
0.121315	60054
0.123001	60261
0.124711	60471
0.126444	60684
0.128201	60899
0.129983	61117
0.131789	61338
0.133621	61558
0.135478	61785
0.137361	62012
0.13927	62244
0.141205	62479
0.143167	62715
0.145157	62955
0.147174	63193
0.14922	63438
0.151293	63686
0.153396	63936
0.155528	64189
0.157689	64445
0.159881	64700
0.162103	64961
0.164355	65224
0.16664	65492
0.168955	65761
0.171303	66030
0.173684	66306
0.176098	66584
0.178545	66865
0.181027	67149
0.183542	67433
0.186093	67723
0.188679	68016
0.191301	68313
0.19396	68612
0.196656	68912
0.199389	69218
0.20216	69527
0.204969	69839
0.207818	70152
0.210706	70472
0.213634	70794
0.216603	71121
0.219613	71447
0.222665	71780
0.22576	72118
0.228897	72459
0.232078	72799
0.235303	73148
0.238574	73500
0.241889	73853
0.245251	74213
0.248659	74578
0.252115	74943
0.255619	75315
0.259171	75692
0.262773	76069
0.266425	76456
0.270127	76845
0.273881	77237
0.277688	77636
0.281547	78038
0.285459	78444
0.289427	78857
0.293449	79275
0.297527	79694
0.301662	80122
0.305854	80551
0.310105	80989
0.314414	81428
0.318784	81875
0.323214	82330
0.327706	82789
0.33226	83253
0.336878	83712
0.34156	84192
0.346306	84667
0.351119	85155
0.355999	85647
0.360946	86142
0.365962	86642
0.371048	87154
0.376205	87670
0.381433	88186
0.386734	88714
0.392109	89246
0.397558	89791
0.403083	90339
0.408685	90887
0.414365	91448
0.420123	92012
0.425962	92589
0.431882	93170
0.437884	93758
0.443969	94347
0.450139	94956
0.456395	95561
0.462737	96173
0.469168	96799
0.475689	97428
0.482299	98065
0.489002	98710
0.495798	99364
0.502688	100020
0.509674	100700
0.516757	101380
0.523939	102060
0.53122	102760
0.538603	103460
0.546088	104170
0.553677	104880
0.561372	105610
0.569174	106340
0.577084	107090
0.585104	107840
0.593235	108610
0.601479	109380
0.609838	110160
0.618314	110940
0.626907	111750
0.635619	112560
0.644452	113370
0.653409	114200
0.662489	115030
0.671696	115880
0.681031	116740
0.690495	117610
0.700092	118490
0.709821	119370
0.719686	120270
0.729687	121170
0.739828	122090
0.75011	123010
0.760534	123960
0.771104	124910
0.78182	125870
0.792685	126840
0.803702	127820
0.814871	128820
0.826196	129820
0.837678	130840
0.849319	131870
0.861122	132900
0.87309	133960
0.885224	135030
0.897526	136100
0.909999	137190
0.922646	138280
0.935468	139390
0.948469	140520
0.96165	141650
0.975014	142810
0.988564	143970
1.0023	147220
1.01623	148430
1.03036	149660
1.04467	150900
1.05919	152140
1.07391	153400
1.08884	154680
1.10397	155970
1.11931	157270
1.13487	158580
1.15064	159900
1.16663	161230
1.18284	162590
1.19928	163950
1.21595	165320
1.23285	166710
1.24998	168110
1.26735	169530
1.28496	170950
1.30282	172400
1.32093	173860
1.33929	175320
1.3579	176810
1.37677	178300
1.3959	179820
1.4153	181330
1.43497	182870
1.45491	184420
1.47513	185990
1.49563	187580
