"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	3032.6
0.10139	3041.4
0.102799	3050.3
0.104227	3059.4
0.105676	3068.8
0.107145	3078.3
0.108634	3087.8
0.110143	3097.6
0.111674	3107.5
0.113226	3117.5
0.1148	3127.7
0.116395	3138
0.118013	3148.5
0.119653	3159.3
0.121315	3170.1
0.123001	3181
0.124711	3192.1
0.126444	3203.3
0.128201	3214.7
0.129983	3226.2
0.131789	3237.8
0.133621	3249.8
0.135478	3261.7
0.137361	3273.8
0.13927	3286
0.141205	3298.4
0.143167	3310.8
0.145157	3323.5
0.147174	3336.4
0.14922	3349.4
0.151293	3362.4
0.153396	3375.7
0.155528	3389
0.157689	3402.5
0.159881	3416.3
0.162103	3430.1
0.164355	3444
0.16664	3458.1
0.168955	3472.4
0.171303	3486.9
0.173684	3501.4
0.176098	3516.1
0.178545	3531
0.181027	3546
0.183542	3561.3
0.186093	3576.6
0.188679	3592.1
0.191301	3607.8
0.19396	3623.6
0.196656	3639.8
0.199389	3655.9
0.20216	3672.2
0.204969	3688.7
0.207818	3705.6
0.210706	3722.5
0.213634	3739.5
0.216603	3756.8
0.219613	3774.4
0.222665	3792
0.22576	3809.8
0.228897	3827.9
0.232078	3846.2
0.235303	3864.7
0.238574	3883.2
0.241889	3902.3
0.245251	3921.3
0.248659	3940.6
0.252115	3960.2
0.255619	3979.9
0.259171	3999.8
0.262773	4020.1
0.266425	4040.6
0.270127	4061.1
0.273881	4082.2
0.277688	4103.3
0.281547	4124.6
0.285459	4146.4
0.289427	4168.3
0.293449	4190.4
0.297527	4212.9
0.301662	4235.6
0.305854	4258.6
0.310105	4281.8
0.314414	4305.4
0.318784	4329
0.323214	4353.1
0.327706	4377.8
0.33226	4402.3
0.336878	4427
0.34156	4452.4
0.346306	4478
0.351119	4503.8
0.355999	4530.2
0.360946	4556.5
0.365962	4583.3
0.371048	4610.4
0.376205	4638.2
0.381433	4665.9
0.386734	4693.9
0.392109	4722.5
0.397558	4751.3
0.403083	4780.7
0.408685	4810.2
0.414365	4839.9
0.420123	4870.2
0.425962	4900.8
0.431882	4932
0.437884	4963.6
0.443969	4995.2
0.450139	5027.5
0.456395	5060
0.462737	5092.9
0.469168	5126.1
0.475689	5159.9
0.482299	5194.1
0.489002	5228.8
0.495798	5263.9
0.502688	5299.5
0.509674	5335.2
0.516757	5371.6
0.523939	5408.4
0.53122	5445.7
0.538603	5483.4
0.546088	5521.6
0.553677	5560.2
0.561372	5599.2
0.569174	5638.6
0.577084	5679
0.585104	5719.3
0.593235	5760.5
0.601479	5802.1
0.609838	5843.7
0.618314	5886.5
0.626907	5929.8
0.635619	5973.2
0.644452	6017
0.653409	6061.6
0.662489	6107
0.671696	6152.6
0.681031	6199
0.690495	6246.1
0.700092	6293.4
0.709821	6341.4
0.719686	6390
0.729687	6438.9
0.739828	6488.8
0.75011	6539
0.760534	6589.7
0.771104	6641.7
0.78182	6693.3
0.792685	6746.1
0.803702	6799.8
0.814871	6854
0.826196	6908.2
0.837678	6963.6
0.849319	7020
0.861122	7076.3
0.87309	7133.9
0.885224	7192
0.897526	7250.6
0.909999	7310
0.922646	7369.8
0.935468	7430.9
0.948469	7492.5
0.96165	7554.5
0.975014	7617.4
0.988564	7681.6
1.0023	7856.9
1.01623	7923.7
1.03036	7991.4
1.04467	8059.5
1.05919	8128.1
1.07391	8197.6
1.08884	8268.4
1.10397	8339.2
1.11931	8410.9
1.13487	8483.5
1.15064	8557.4
1.16663	8631.3
1.18284	8706.5
1.19928	8782.2
1.21595	8859.2
1.23285	8936.2
1.24998	9014.9
1.26735	9093.7
1.28496	9173.9
1.30282	9255.3
1.32093	9337.2
1.33929	9419.6
1.3579	9503.3
1.37677	9587.5
1.3959	9673
1.4153	9759.4
1.43497	9846.3
1.45491	9934.6
1.47513	10023
1.49563	10114
1.51642	10204
1.53749	10297
1.55886	10389
1.58052	10483
1.60249	10578
1.62476	10675
1.64734	10771
1.67023	10869
1.69345	10968
1.71698	11068
1.74084	11169
1.76503	11272
1.78956	11376
1.81443	11480
1.83965	11586
1.86522	11692
1.89114	11801
1.91742	11909
1.94407	12019
1.97108	12131
1.99848	12242
2.02625	12356
2.05441	12471
2.08296	12587
2.11191	12705
2.14126	12822
2.17102	12942
2.20119	13064
2.23178	13185
2.2628	13309
2.29424	13434
2.32613	13560
2.35845	13688
2.39123	13816
2.42446	13947
2.45816	14078
2.49232	14210
2.52695	14345
2.56207	14480
2.59768	14617
2.63378	14756
2.67038	14895
2.70749	15037
2.74512	15179
2.78327	15323
2.82195	15468
2.86117	15616
2.90093	15764
2.94125	15915
2.98212	16066
3.02357	16218
3.06559	16374
3.10819	16530
3.15139	16688
3.19518	16847
3.23959	17008
3.28461	17171
3.33026	17334
3.37654	17500
3.42346	17668
3.47104	17837
3.51928	18007
3.56819	18180
3.61778	18354
3.66805	18530
3.71903	18707
3.77071	18886
3.82312	19067
3.87625	19249
3.93012	19433
3.98474	19620
4.04011	19807
4.09626	19997
4.15319	20188
4.21091	20381
4.26943	20576
4.32876	20773
4.38892	20972
4.44991	21172
4.51176	21374
4.57446	21577
4.63803	21784
4.70249	21991
4.76784	22201
4.8341	22412
4.90128	22625
4.9694	22841
5.03846	23057
5.10848	23276
5.17947	23498
5.25146	23719
5.32444	23943
5.39843	24170
5.47346	24398
5.54952	24628
5.62665	24860
5.70484	25094
5.78413	25330
5.86451	25567
5.94601	25806
6.02865	26048
6.11243	26290
6.19738	26535
6.2835	26782
6.37083	27031
6.45936	27281
6.54913	27533
6.64015	27787
6.73243	28044
6.82599	28301
6.92086	28560
7.01704	28821
7.11456	29083
7.21343	29348
7.31368	29614
7.41532	29882
7.51837	30150
7.62286	30422
7.7288	30694
7.83621	30968
7.94511	31244
8.05553	31521
8.16748	31799
8.28098	32080
8.39607	32362
8.51275	32643
8.63106	32928
8.75101	33213
8.87262	33501
8.99593	33787
9.12095	34076
9.2477	34366
9.37622	34657
9.50653	34950
9.63864	35242
9.7726	35537
9.90841	35831
10.0461	36127
10.1857	36424
10.3273	36722
10.4708	37020
10.6163	37320
10.7639	37619
10.9134	37919
11.0651	38219
11.2189	38520
11.3748	38820
11.5329	39120
11.6932	39421
11.8557	39722
12.0204	40022
12.1875	40323
12.3569	40623
12.5286	40922
12.7027	41220
12.8792	41520
13.0582	41817
13.2397	42114
13.4237	42410
13.6103	42705
13.7994	42999
13.9912	43292
14.1856	43583
14.3828	43874
14.5826	44162
14.7853	44450
14.9908	44735
15.1991	45018
15.4103	45300
15.6245	45578
15.8416	45856
16.0618	46131
16.285	46403
16.5113	46673
16.7408	46939
16.9735	47203
17.2093	47465
17.4485	47723
17.691	47977
17.9369	48228
18.1861	48478
18.4389	48721
18.6951	48962
18.9549	49199
19.2184	49432
19.4854	49661
19.7562	49886
20.0308	50107
20.3092	50324
20.5914	50535
20.8776	50742
21.1677	50944
21.4619	51141
21.7602	51334
22.0626	51521
22.3692	51703
22.6801	51880
22.9953	52052
23.3148	52218
23.6389	52380
23.9674	52536
24.3005	52686
24.6382	52830
24.9806	52968
25.3277	53100
25.6797	53226
26.0366	53346
26.3984	53461
26.7653	53570
27.1373	53672
27.5144	53768
27.8968	53859
28.2845	53943
28.6776	54019
29.0761	54090
29.4802	54155
29.8899	54214
30.3053	54267
30.7265	54313
31.1535	54353
31.5864	54386
32.0254	54413
32.4705	54434
32.9217	54450
33.3792	54460
33.8431	54464
34.3135	54462
34.7903	54453
35.2738	54440
35.764	54421
36.2611	54396
36.765	54365
37.2759	54329
37.794	54287
38.3192	54240
38.8518	54186
39.3917	54127
39.9391	54062
40.4942	53992
41.0569	53915
41.6275	53833
42.206	53746
42.7926	53652
43.3873	53552
43.9903	53447
44.6016	53336
45.2215	53219
45.8499	53096
46.4871	52967
47.1332	52833
47.7882	52692
48.4523	52545
49.1257	52393
49.8084	52235
50.5006	52070
51.2024	51900
51.914	51724
52.6355	51541
53.367	51352
54.1087	51157
54.8606	50957
55.623	50748
56.3961	50536
57.1798	50314
57.9745	50089
58.7802	49854
59.5971	49615
60.4253	49368
61.265	49115
62.1165	48856
62.9797	48589
63.855	48316
64.7424	48036
65.6422	47749
66.5544	47454
67.4793	47154
68.4171	46846
69.3679	46531
70.332	46209
71.3094	45881
72.3004	45546
73.3052	45204
74.324	44857
75.3569	44503
76.4041	44145
77.466	43782
78.5425	43414
79.6341	43042
80.7408	42666
81.8629	42287
83.0005	41904
84.154	41519
85.3236	41131
86.5093	40741
87.7116	40350
88.9305	39957
90.1664	39563
91.4195	39168
92.69	38773
93.9782	38377
95.2842	37979
96.6084	37580
97.951	37181
99.3123	36781
100.692	36379
102.092	35976
103.511	35571
104.949	35165
106.408	34754
107.886	34342
109.386	33929
110.906	33514
112.447	33096
114.01	32676
115.594	32251
117.201	31825
118.83	31393
120.481	30958
122.156	30519
123.853	30080
125.574	29638
127.32	29193
129.089	28748
130.883	28298
132.702	27843
134.546	27385
136.416	26926
138.312	26465
140.234	26003
142.183	25537
144.159	25067
146.162	24597
148.194	24122
150.253	23650
152.341	23177
154.458	22704
156.605	22233
158.781	21765
160.988	21299
163.225	20829
165.494	20362
167.794	19904
170.125	19446
172.49	18990
174.887	18539
177.317	18093
179.782	17657
182.28	17222
184.813	16791
187.382	16367
189.986	15948
192.626	15537
195.303	15128
198.017	14732
200.769	14338
203.559	13952
206.388	13571
209.257	13200
212.165	12836
215.113	12477
218.103	12122
221.134	11777
224.207	11436
227.323	11102
230.482	10775
233.685	10458
236.933	10143
240.226	9839.3
243.564	9537.8
246.949	9246.2
250.381	8961.8
253.861	8680.1
257.389	8406.5
260.966	8136.6
264.592	7875.3
268.27	7619.6
271.998	7368.3
275.778	7120.2
279.61	6878.5
283.496	6642.9
287.436	6412.7
291.431	6184.9
295.481	5961.5
299.587	5744.1
303.751	5530.3
307.972	5320.8
312.252	5116.8
316.592	4919.3
320.991	4725.6
325.452	4538.7
329.975	4355.2
334.561	4176.2
339.211	4004.8
343.925	3837.4
348.704	3674.9
353.551	3518.3
358.464	3366
363.446	3217.9
368.497	3074
373.618	2934.6
378.81	2799.8
384.075	2666.7
389.412	2538.8
394.824	2413.7
400.311	2292.4
405.874	2174.3
411.515	2059.5
417.234	1948.9
423.032	1843
428.911	1740.5
434.872	1642.5
440.916	1549.2
447.043	1460.5
453.256	1375.5
459.555	1294.6
465.942	1218.4
472.417	1145.7
478.983	1077.6
485.639	1013.3
492.388	952.37
499.231	895.23
506.169	841.32
513.204	790.78
520.336	742.97
527.567	697.72
534.899	654.88
542.333	614.31
549.87	575.84
557.511	539.1
565.259	504.21
573.115	471.31
581.08	439.98
589.155	410.59
597.343	382.71
605.645	356.55
614.061	331.99
622.595	308.8
631.248	286.95
640.02	266.29
648.915	247.01
657.933	228.83
667.077	211.82
676.347	195.83
685.747	180.92
695.277	166.87
704.94	153.73
714.736	141.41
724.669	129.95
734.74	119.23
744.951	109.26
755.304	99.98
765.801	91.324
776.444	83.31
787.234	75.872
798.175	68.991
809.267	62.632
820.514	56.756
831.917	51.372
843.478	46.436
855.2	41.92
867.086	37.806
879.136	34.052
891.353	30.638
903.741	27.555
916.301	24.755
929.035	22.219
941.946	19.939
955.037	17.885
968.309	16.033
981.766	14.237
995.41	10.959
