"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	7063.1
0.10139	7083.5
0.102799	7104.3
0.104227	7125.4
0.105676	7146.7
0.107145	7168.7
0.108634	7191
0.110143	7213.6
0.111674	7236.7
0.113226	7260
0.1148	7283.7
0.116395	7307.8
0.118013	7332.2
0.119653	7356.7
0.121315	7381.8
0.123001	7407.2
0.124711	7433
0.126444	7459.3
0.128201	7485.7
0.129983	7512.5
0.131789	7539.6
0.133621	7566.8
0.135478	7594.6
0.137361	7622.6
0.13927	7651.1
0.141205	7679.9
0.143167	7708.9
0.145157	7738.4
0.147174	7767.8
0.14922	7797.9
0.151293	7828.3
0.153396	7859.1
0.155528	7890.2
0.157689	7921.6
0.159881	7952.9
0.162103	7985.1
0.164355	8017.5
0.16664	8050.4
0.168955	8083.5
0.171303	8116.5
0.173684	8150.4
0.176098	8184.6
0.178545	8219.1
0.181027	8254
0.183542	8289
0.186093	8324.7
0.188679	8360.7
0.191301	8397.2
0.19396	8434
0.196656	8470.8
0.199389	8508.4
0.20216	8546.4
0.204969	8584.8
0.207818	8623.3
0.210706	8662.6
0.213634	8702.2
0.216603	8742.4
0.219613	8782.5
0.222665	8823.5
0.22576	8865
0.228897	8906.9
0.232078	8948.8
0.235303	8991.7
0.238574	9034.9
0.241889	9078.4
0.245251	9122.6
0.248659	9167.4
0.252115	9212.3
0.255619	9258.1
0.259171	9304.5
0.262773	9350.9
0.266425	9398.4
0.270127	9446.2
0.273881	9494.4
0.277688	9543.5
0.281547	9593
0.285459	9642.8
0.289427	9693.6
0.293449	9745
0.297527	9796.5
0.301662	9849.2
0.305854	9901.9
0.310105	9955.8
0.314414	10010
0.318784	10065
0.323214	10121
0.327706	10177
0.33226	10234
0.336878	10291
0.34156	10350
0.346306	10408
0.351119	10468
0.355999	10529
0.360946	10589
0.365962	10651
0.371048	10714
0.376205	10777
0.381433	10841
0.386734	10906
0.392109	10971
0.397558	11038
0.403083	11106
0.408685	11173
0.414365	11242
0.420123	11311
0.425962	11382
0.431882	11454
0.437884	11526
0.443969	11599
0.450139	11673
0.456395	11748
0.462737	11823
0.469168	11900
0.475689	11977
0.482299	12056
0.489002	12135
0.495798	12216
0.502688	12297
0.509674	12380
0.516757	12463
0.523939	12547
0.53122	12633
0.538603	12719
0.546088	12806
0.553677	12895
0.561372	12984
0.569174	13074
0.577084	13166
0.585104	13259
0.593235	13353
0.601479	13448
0.609838	13543
0.618314	13640
0.626907	13739
0.635619	13838
0.644452	13939
0.653409	14041
0.662489	14143
0.671696	14247
0.681031	14353
0.690495	14460
0.700092	14568
0.709821	14676
0.719686	14788
0.729687	14898
0.739828	15012
0.75011	15125
0.760534	15241
0.771104	15359
0.78182	15477
0.792685	15596
0.803702	15717
0.814871	15839
0.826196	15963
0.837678	16088
0.849319	16215
0.861122	16343
0.87309	16473
0.885224	16604
0.897526	16736
0.909999	16870
0.922646	17005
0.935468	17141
0.948469	17280
0.96165	17419
0.975014	17561
0.988564	17704
1.0023	18105
1.01623	18254
1.03036	18405
1.04467	18558
1.05919	18711
1.07391	18866
1.08884	19023
1.10397	19183
1.11931	19342
1.13487	19504
1.15064	19666
1.16663	19830
1.18284	19997
1.19928	20166
1.21595	20335
1.23285	20505
1.24998	20678
1.26735	20853
1.28496	21029
1.30282	21208
1.32093	21387
1.33929	21568
1.3579	21751
1.37677	21935
1.3959	22122
1.4153	22310
1.43497	22500
1.45491	22690
1.47513	22884
1.49563	23080
1.51642	23275
1.53749	23475
1.55886	23674
1.58052	23877
1.60249	24082
1.62476	24288
1.64734	24496
1.67023	24706
1.69345	24916
1.71698	25129
1.74084	25344
1.76503	25562
1.78956	25781
1.81443	26001
1.83965	26224
1.86522	26446
1.89114	26673
1.91742	26900
1.94407	27129
1.97108	27361
1.99848	27594
2.02625	27829
2.05441	28065
2.08296	28305
2.11191	28544
2.14126	28786
2.17102	29030
2.20119	29277
2.23178	29524
2.2628	29775
2.29424	30026
2.32613	30278
2.35845	30532
2.39123	30788
2.42446	31046
2.45816	31306
2.49232	31567
2.52695	31829
2.56207	32093
2.59768	32358
2.63378	32626
2.67038	32895
2.70749	33165
2.74512	33437
2.78327	33711
2.82195	33986
2.86117	34262
2.90093	34539
2.94125	34816
2.98212	35097
3.02357	35378
3.06559	35659
3.10819	35941
3.15139	36226
3.19518	36512
3.23959	36798
3.28461	37084
3.33026	37372
3.37654	37659
3.42346	37947
3.47104	38237
3.51928	38527
3.56819	38817
3.61778	39109
3.66805	39400
3.71903	39691
3.77071	39980
3.82312	40272
3.87625	40564
3.93012	40855
3.98474	41146
4.04011	41437
4.09626	41726
4.15319	42016
4.21091	42303
4.26943	42588
4.32876	42876
4.38892	43164
4.44991	43446
4.51176	43729
4.57446	44011
4.63803	44292
4.70249	44570
4.76784	44846
4.8341	45121
4.90128	45393
4.9694	45662
5.03846	45931
5.10848	46198
5.17947	46457
5.25146	46718
5.32444	46973
5.39843	47228
5.47346	47475
5.54952	47722
5.62665	47965
5.70484	48203
5.78413	48437
5.86451	48671
5.94601	48897
6.02865	49117
6.11243	49336
6.19738	49547
6.2835	49753
6.37083	49954
6.45936	50154
6.54913	50345
6.64015	50532
6.73243	50708
6.82599	50884
6.92086	51054
7.01704	51215
7.11456	51370
7.21343	51521
7.31368	51665
7.41532	51799
7.51837	51930
7.62286	52050
7.7288	52168
7.83621	52277
7.94511	52377
8.05553	52471
8.16748	52561
8.28098	52640
8.39607	52712
8.51275	52781
8.63106	52836
8.75101	52889
8.87262	52931
8.99593	52970
9.12095	53000
9.2477	53021
9.37622	53036
9.50653	53043
9.63864	53049
9.7726	53042
9.90841	53030
10.0461	53014
10.1857	52988
10.3273	52956
10.4708	52918
10.6163	52874
10.7639	52824
10.9134	52767
11.0651	52702
11.2189	52634
11.3748	52557
11.5329	52478
11.6932	52390
11.8557	52298
12.0204	52201
12.1875	52096
12.3569	51989
12.5286	51877
12.7027	51760
12.8792	51635
13.0582	51511
13.2397	51382
13.4237	51249
13.6103	51112
13.7994	50969
13.9912	50829
14.1856	50681
14.3828	50534
14.5826	50384
14.7853	50228
14.9908	50076
15.1991	49922
15.4103	49764
15.6245	49608
15.8416	49450
16.0618	49292
16.285	49137
16.5113	48977
16.7408	48817
16.9735	48661
17.2093	48501
17.4485	48340
17.691	48181
17.9369	48021
18.1861	47858
18.4389	47698
18.6951	47536
18.9549	47372
19.2184	47207
19.4854	47041
19.7562	46875
20.0308	46705
20.3092	46537
20.5914	46366
