"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	557.28
0.10139	558.89
0.102799	560.53
0.104227	562.2
0.105676	563.94
0.107145	565.67
0.108634	567.43
0.110143	569.22
0.111674	571.04
0.113226	572.88
0.1148	574.75
0.116395	576.65
0.118013	578.58
0.119653	580.57
0.121315	582.55
0.123001	584.56
0.124711	586.59
0.126444	588.66
0.128201	590.75
0.129983	592.86
0.131789	595
0.133621	597.21
0.135478	599.4
0.137361	601.61
0.13927	603.86
0.141205	606.13
0.143167	608.42
0.145157	610.75
0.147174	613.13
0.14922	615.51
0.151293	617.91
0.153396	620.34
0.155528	622.8
0.157689	625.28
0.159881	627.82
0.162103	630.35
0.164355	632.91
0.16664	635.51
0.168955	638.12
0.171303	640.79
0.173684	643.47
0.176098	646.17
0.178545	648.89
0.181027	651.65
0.183542	654.48
0.186093	657.29
0.188679	660.14
0.191301	663.02
0.19396	665.92
0.196656	668.9
0.199389	671.87
0.20216	674.87
0.204969	677.9
0.207818	681.02
0.210706	684.12
0.213634	687.25
0.216603	690.42
0.219613	693.66
0.222665	696.9
0.22576	700.17
0.228897	703.48
0.232078	706.86
0.235303	710.25
0.238574	713.66
0.241889	717.17
0.245251	720.67
0.248659	724.21
0.252115	727.83
0.255619	731.45
0.259171	735.11
0.262773	738.85
0.266425	742.6
0.270127	746.39
0.273881	750.27
0.277688	754.15
0.281547	758.06
0.285459	762.08
0.289427	766.09
0.293449	770.15
0.297527	774.3
0.301662	778.47
0.305854	782.72
0.310105	786.97
0.314414	791.32
0.318784	795.66
0.323214	800.09
0.327706	804.64
0.33226	809.14
0.336878	813.69
0.34156	818.36
0.346306	823.07
0.351119	827.81
0.355999	832.68
0.360946	837.5
0.365962	842.44
0.371048	847.42
0.376205	852.53
0.381433	857.64
0.386734	862.78
0.392109	868.04
0.397558	873.34
0.403083	878.77
0.408685	884.19
0.414365	889.65
0.420123	895.23
0.425962	900.85
0.431882	906.59
0.437884	912.42
0.443969	918.24
0.450139	924.17
0.456395	930.15
0.462737	936.22
0.469168	942.31
0.475689	948.53
0.482299	954.84
0.489002	961.22
0.495798	967.69
0.502688	974.23
0.509674	980.8
0.516757	987.5
0.523939	994.29
0.53122	1001.2
0.538603	1008.1
0.546088	1015.1
0.553677	1022.2
0.561372	1029.4
0.569174	1036.7
0.577084	1044.1
0.585104	1051.5
0.593235	1059.1
0.601479	1066.8
0.609838	1074.4
0.618314	1082.3
0.626907	1090.3
0.635619	1098.3
0.644452	1106.3
0.653409	1114.6
0.662489	1122.9
0.671696	1131.3
0.681031	1139.9
0.690495	1148.5
0.700092	1157.3
0.709821	1166.1
0.719686	1175.1
0.729687	1184.1
0.739828	1193.3
0.75011	1202.5
0.760534	1211.9
0.771104	1221.4
0.78182	1230.9
0.792685	1240.7
0.803702	1250.6
0.814871	1260.6
0.826196	1270.6
0.837678	1280.8
0.849319	1291.2
0.861122	1301.5
0.87309	1312.2
0.885224	1322.9
0.897526	1333.7
0.909999	1344.6
0.922646	1355.7
0.935468	1366.9
0.948469	1378.3
0.96165	1389.7
0.975014	1401.3
0.988564	1413.2
1.0023	1445.5
1.01623	1457.8
1.03036	1470.3
1.04467	1482.9
1.05919	1495.5
1.07391	1508.4
1.08884	1521.4
1.10397	1534.5
1.11931	1547.7
1.13487	1561.1
1.15064	1574.8
1.16663	1588.5
1.18284	1602.3
1.19928	1616.3
1.21595	1630.6
1.23285	1644.8
1.24998	1659.4
1.26735	1673.9
1.28496	1688.7
1.30282	1703.8
1.32093	1718.9
1.33929	1734.2
1.3579	1749.7
1.37677	1765.2
1.3959	1781.1
1.4153	1797.1
1.43497	1813.1
1.45491	1829.5
1.47513	1845.9
1.49563	1862.7
1.51642	1879.4
1.53749	1896.5
1.55886	1913.6
1.58052	1931.1
1.60249	1948.7
1.62476	1966.6
1.64734	1984.5
1.67023	2002.7
1.69345	2021
1.71698	2039.6
1.74084	2058.4
1.76503	2077.4
1.78956	2096.7
1.81443	2116
1.83965	2135.7
1.86522	2155.4
1.89114	2175.6
1.91742	2195.7
1.94407	2216.1
1.97108	2236.9
1.99848	2257.7
2.02625	2278.9
2.05441	2300.3
2.08296	2321.9
2.11191	2343.8
2.14126	2365.7
2.17102	2388.1
2.20119	2410.7
2.23178	2433.4
2.2628	2456.5
2.29424	2479.8
2.32613	2503.3
2.35845	2527.1
2.39123	2551.1
2.42446	2575.5
2.45816	2600
2.49232	2624.8
2.52695	2650.1
2.56207	2675.3
2.59768	2701
2.63378	2726.9
2.67038	2753
2.70749	2779.6
2.74512	2806.3
2.78327	2833.4
2.82195	2860.6
2.86117	2888.3
2.90093	2916.2
2.94125	2944.5
2.98212	2972.9
3.02357	3001.7
3.06559	3031
3.10819	3060.4
3.15139	3090.2
3.19518	3120.2
3.23959	3150.6
3.28461	3181.4
3.33026	3212.3
3.37654	3243.6
3.42346	3275.5
3.47104	3307.5
3.51928	3339.9
3.56819	3372.6
3.61778	3405.7
3.66805	3439.1
3.71903	3472.9
3.77071	3507
3.82312	3541.4
3.87625	3576.2
3.93012	3611.3
3.98474	3647
4.04011	3682.8
4.09626	3719.2
4.15319	3755.9
4.21091	3792.9
4.26943	3830.5
4.32876	3868.4
4.38892	3906.6
4.44991	3945.3
4.51176	3984.4
4.57446	4023.6
4.63803	4063.5
4.70249	4103.7
4.76784	4144.5
4.8341	4185.6
4.90128	4227.1
4.9694	4269
5.03846	4311.3
5.10848	4354.1
5.17947	4397.5
5.25146	4440.9
5.32444	4485.1
5.39843	4529.7
5.47346	4574.8
5.54952	4620.3
5.62665	4666.2
5.70484	4712.6
5.78413	4759.5
5.86451	4806.7
5.94601	4854.5
6.02865	4902.8
6.11243	4951.4
6.19738	5000.6
6.2835	5050.3
6.37083	5100.5
6.45936	5151
6.54913	5202.2
6.64015	5253.8
6.73243	5306.2
6.82599	5358.8
6.92086	5411.8
7.01704	5465.6
7.11456	5519.8
7.21343	5574.5
7.31368	5629.7
7.41532	5685.5
7.51837	5741.8
7.62286	5798.8
7.7288	5856
7.83621	5913.8
7.94511	5972.4
8.05553	6031.4
8.16748	6090.8
8.28098	6151
8.39607	6211.7
8.51275	6272.7
8.63106	6334.6
8.75101	6396.8
8.87262	6459.8
8.99593	6523
9.12095	6586.9
9.2477	6651.5
9.37622	6716.5
9.50653	6782.1
9.63864	6848.3
9.7726	6915.1
9.90841	6982.4
10.0461	7050.2
10.1857	7118.8
10.3273	7188.2
10.4708	7257.7
10.6163	7328.1
10.7639	7398.8
10.9134	7470.2
11.0651	7542.3
11.2189	7614.8
11.3748	7687.7
11.5329	7761
11.6932	7835.1
11.8557	7909.6
12.0204	7984.4
12.1875	8060.1
12.3569	8136
12.5286	8212.3
12.7027	8289
12.8792	8366.6
13.0582	8444
13.2397	8522.1
13.4237	8600.6
13.6103	8679.5
13.7994	8758.8
13.9912	8838.2
14.1856	8918.1
14.3828	8998.2
14.5826	9078.5
14.7853	9159.1
14.9908	9239.3
15.1991	9319.7
15.4103	9400.5
15.6245	9481.1
15.8416	9562
16.0618	9642.7
16.285	9723.1
16.5113	9803.5
16.7408	9883.5
16.9735	9963.2
17.2093	10043
17.4485	10122
17.691	10201
17.9369	10279
18.1861	10357
18.4389	10435
18.6951	10512
18.9549	10588
19.2184	10664
19.4854	10739
19.7562	10813
20.0308	10887
20.3092	10959
20.5914	11031
20.8776	11102
21.1677	11173
21.4619	11242
21.7602	11310
22.0626	11377
22.3692	11443
22.6801	11508
22.9953	11571
23.3148	11634
23.6389	11695
23.9674	11755
24.3005	11814
24.6382	11871
24.9806	11927
25.3277	11981
25.6797	12034
26.0366	12086
26.3984	12136
26.7653	12184
27.1373	12231
27.5144	12276
27.8968	12321
28.2845	12363
28.6776	12404
29.0761	12443
29.4802	12481
29.8899	12517
30.3053	12552
30.7265	12585
31.1535	12616
31.5864	12646
32.0254	12675
32.4705	12702
32.9217	12727
33.3792	12752
33.8431	12775
34.3135	12796
34.7903	12817
35.2738	12836
35.764	12853
36.2611	12870
36.765	12885
37.2759	12900
37.794	12914
38.3192	12927
38.8518	12938
39.3917	12950
39.9391	12960
40.4942	12970
41.0569	12980
41.6275	12989
42.206	12998
42.7926	13006
43.3873	13014
43.9903	13022
44.6016	13029
45.2215	13035
