"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	105.15
0.10139	105.46
0.102799	105.77
0.104227	106.08
0.105676	106.41
0.107145	106.74
0.108634	107.07
0.110143	107.41
0.111674	107.75
0.113226	108.1
0.1148	108.45
0.116395	108.81
0.118013	109.17
0.119653	109.55
0.121315	109.93
0.123001	110.3
0.124711	110.69
0.126444	111.08
0.128201	111.47
0.129983	111.87
0.131789	112.27
0.133621	112.69
0.135478	113.11
0.137361	113.52
0.13927	113.95
0.141205	114.38
0.143167	114.81
0.145157	115.25
0.147174	115.7
0.14922	116.15
0.151293	116.6
0.153396	117.06
0.155528	117.52
0.157689	117.99
0.159881	118.47
0.162103	118.95
0.164355	119.43
0.16664	119.92
0.168955	120.41
0.171303	120.92
0.173684	121.43
0.176098	121.94
0.178545	122.45
0.181027	122.97
0.183542	123.5
0.186093	124.04
0.188679	124.57
0.191301	125.12
0.19396	125.66
0.196656	126.23
0.199389	126.79
0.20216	127.35
0.204969	127.93
0.207818	128.52
0.210706	129.1
0.213634	129.69
0.216603	130.29
0.219613	130.9
0.222665	131.51
0.22576	132.13
0.228897	132.76
0.232078	133.4
0.235303	134.04
0.238574	134.68
0.241889	135.34
0.245251	136
0.248659	136.67
0.252115	137.36
0.255619	138.04
0.259171	138.73
0.262773	139.44
0.266425	140.15
0.270127	140.86
0.273881	141.59
0.277688	142.33
0.281547	143.06
0.285459	143.82
0.289427	144.58
0.293449	145.35
0.297527	146.13
0.301662	146.92
0.305854	147.72
0.310105	148.53
0.314414	149.35
0.318784	150.17
0.323214	151
0.327706	151.86
0.33226	152.71
0.336878	153.58
0.34156	154.45
0.346306	155.35
0.351119	156.24
0.355999	157.16
0.360946	158.07
0.365962	159.01
0.371048	159.95
0.376205	160.91
0.381433	161.88
0.386734	162.85
0.392109	163.84
0.397558	164.84
0.403083	165.87
0.408685	166.9
0.414365	167.93
0.420123	168.98
0.425962	170.04
0.431882	171.13
0.437884	172.23
0.443969	173.33
0.450139	174.45
0.456395	175.58
0.462737	176.73
0.469168	177.88
0.475689	179.06
0.482299	180.25
0.489002	181.46
0.495798	182.68
0.502688	183.92
0.509674	185.16
0.516757	186.42
0.523939	187.71
0.53122	189
0.538603	190.32
0.546088	191.65
0.553677	192.99
0.561372	194.35
0.569174	195.72
0.577084	197.12
0.585104	198.53
0.593235	199.96
0.601479	201.41
0.609838	202.86
0.618314	204.35
0.626907	205.86
0.635619	207.37
0.644452	208.9
0.653409	210.45
0.662489	212.04
0.671696	213.62
0.681031	215.24
0.690495	216.89
0.700092	218.53
0.709821	220.21
0.719686	221.9
0.729687	223.61
0.739828	225.35
0.75011	227.1
0.760534	228.87
0.771104	230.68
0.78182	232.48
0.792685	234.33
0.803702	236.2
0.814871	238.09
0.826196	239.98
0.837678	241.92
0.849319	243.89
0.861122	245.85
0.87309	247.87
0.885224	249.9
0.897526	251.94
0.909999	254.02
0.922646	256.11
0.935468	258.25
0.948469	260.4
0.96165	262.56
0.975014	264.76
0.988564	267.01
1.0023	273.11
1.01623	275.45
1.03036	277.83
1.04467	280.21
1.05919	282.61
1.07391	285.05
1.08884	287.53
1.10397	290
1.11931	292.51
1.13487	295.06
1.15064	297.65
1.16663	300.24
1.18284	302.88
1.19928	305.53
1.21595	308.24
1.23285	310.94
1.24998	313.71
1.26735	316.47
1.28496	319.29
1.30282	322.15
1.32093	325.03
1.33929	327.93
1.3579	330.87
1.37677	333.83
1.3959	336.84
1.4153	339.89
1.43497	342.94
1.45491	346.05
1.47513	349.17
1.49563	352.37
1.51642	355.56
1.53749	358.82
1.55886	362.07
1.58052	365.4
1.60249	368.75
1.62476	372.16
1.64734	375.57
1.67023	379.04
1.69345	382.54
1.71698	386.09
1.74084	389.66
1.76503	393.29
1.78956	396.98
1.81443	400.65
1.83965	404.42
1.86522	408.2
1.89114	412.05
1.91742	415.89
1.94407	419.79
1.97108	423.78
1.99848	427.75
2.02625	431.8
2.05441	435.89
2.08296	440.03
2.11191	444.23
2.14126	448.42
2.17102	452.71
2.20119	457.05
2.23178	461.4
2.2628	465.82
2.29424	470.3
2.32613	474.82
2.35845	479.38
2.39123	483.99
2.42446	488.69
2.45816	493.38
2.49232	498.16
2.52695	503.03
2.56207	507.88
2.59768	512.83
2.63378	517.82
2.67038	522.85
2.70749	527.98
2.74512	533.14
2.78327	538.36
2.82195	543.62
2.86117	548.97
2.90093	554.36
2.94125	559.84
2.98212	565.35
3.02357	570.91
3.06559	576.59
3.10819	582.3
3.15139	588.08
3.19518	593.9
3.23959	599.8
3.28461	605.81
3.33026	611.81
3.37654	617.91
3.42346	624.11
3.47104	630.37
3.51928	636.67
3.56819	643.06
3.61778	649.53
3.66805	656.07
3.71903	662.67
3.77071	669.35
3.82312	676.1
3.87625	682.91
3.93012	689.81
3.98474	696.82
4.04011	703.87
4.09626	711.03
4.15319	718.27
4.21091	725.56
4.26943	732.98
4.32876	740.48
4.38892	748.03
4.44991	755.7
4.51176	763.45
4.57446	771.23
4.63803	779.16
4.70249	787.16
4.76784	795.28
4.8341	803.46
4.90128	811.74
4.9694	820.13
5.03846	828.58
5.10848	837.14
5.17947	845.86
5.25146	854.58
5.32444	863.47
5.39843	872.44
5.47346	881.54
5.54952	890.73
5.62665	900.02
5.70484	909.43
5.78413	918.95
5.86451	928.52
5.94601	938.27
6.02865	948.11
6.11243	958.02
6.19738	968.09
6.2835	978.28
6.37083	988.58
6.45936	998.95
6.54913	1009.5
6.64015	1020.1
6.73243	1031
6.82599	1041.9
6.92086	1052.9
7.01704	1064
7.11456	1075.3
7.21343	1086.8
7.31368	1098.3
7.41532	1110
7.51837	1121.8
7.62286	1133.8
7.7288	1145.9
7.83621	1158.1
7.94511	1170.5
8.05553	1183
8.16748	1195.7
8.28098	1208.5
8.39607	1221.5
