"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	167.35
0.10139	167.84
0.102799	168.33
0.104227	168.83
0.105676	169.32
0.107145	169.85
0.108634	170.37
0.110143	170.91
0.111674	171.46
0.113226	172.01
0.1148	172.57
0.116395	173.14
0.118013	173.72
0.119653	174.29
0.121315	174.89
0.123001	175.49
0.124711	176.1
0.126444	176.72
0.128201	177.35
0.129983	177.98
0.131789	178.62
0.133621	179.26
0.135478	179.91
0.137361	180.58
0.13927	181.25
0.141205	181.94
0.143167	182.62
0.145157	183.32
0.147174	184.01
0.14922	184.72
0.151293	185.44
0.153396	186.17
0.155528	186.91
0.157689	187.65
0.159881	188.38
0.162103	189.14
0.164355	189.91
0.16664	190.69
0.168955	191.47
0.171303	192.25
0.173684	193.05
0.176098	193.86
0.178545	194.68
0.181027	195.5
0.183542	196.32
0.186093	197.16
0.188679	198.02
0.191301	198.88
0.19396	199.75
0.196656	200.61
0.199389	201.5
0.20216	202.4
0.204969	203.31
0.207818	204.21
0.210706	205.14
0.213634	206.08
0.216603	207.03
0.219613	207.97
0.222665	208.94
0.22576	209.92
0.228897	210.91
0.232078	211.89
0.235303	212.91
0.238574	213.93
0.241889	214.95
0.245251	216
0.248659	217.06
0.252115	218.11
0.255619	219.19
0.259171	220.29
0.262773	221.37
0.266425	222.5
0.270127	223.63
0.273881	224.76
0.277688	225.92
0.281547	227.09
0.285459	228.26
0.289427	229.46
0.293449	230.68
0.297527	231.88
0.301662	233.13
0.305854	234.36
0.310105	235.64
0.314414	236.9
0.318784	238.2
0.323214	239.53
0.327706	240.85
0.33226	242.2
0.336878	243.52
0.34156	244.92
0.346306	246.28
0.351119	247.7
0.355999	249.12
0.360946	250.56
0.365962	252
0.371048	253.49
0.376205	254.98
0.381433	256.46
0.386734	258
0.392109	259.53
0.397558	261.12
0.403083	262.69
0.408685	264.27
0.414365	265.9
0.420123	267.53
0.425962	269.21
0.431882	270.88
0.437884	272.58
0.443969	274.27
0.450139	276.04
0.456395	277.78
0.462737	279.55
0.469168	281.37
0.475689	283.18
0.482299	285.02
0.489002	286.88
0.495798	288.76
0.502688	290.66
0.509674	292.62
0.516757	294.57
0.523939	296.55
0.53122	298.55
0.538603	300.57
0.546088	302.61
0.553677	304.68
0.561372	306.77
0.569174	308.89
0.577084	311.05
0.585104	313.21
0.593235	315.41
0.601479	317.64
0.609838	319.87
0.618314	322.12
0.626907	324.44
0.635619	326.76
0.644452	329.11
0.653409	331.5
0.662489	333.88
0.671696	336.32
0.681031	338.8
0.690495	341.27
0.700092	343.8
0.709821	346.32
0.719686	348.92
0.729687	351.48
0.739828	354.15
0.75011	356.78
0.760534	359.49
0.771104	362.22
0.78182	364.98
0.792685	367.74
0.803702	370.56
0.814871	373.39
0.826196	376.29
0.837678	379.19
0.849319	382.14
0.861122	385.09
0.87309	388.11
0.885224	391.15
0.897526	394.21
0.909999	397.32
0.922646	400.45
0.935468	403.58
0.948469	406.8
0.96165	410.04
0.975014	413.33
0.988564	416.62
1.0023	425.99
1.01623	429.42
1.03036	432.89
1.04467	436.45
1.05919	439.96
1.07391	443.51
1.08884	447.14
1.10397	450.83
1.11931	454.49
1.13487	458.2
1.15064	461.91
1.16663	465.69
1.18284	469.53
1.19928	473.39
1.21595	477.25
1.23285	481.18
1.24998	485.12
1.26735	489.14
1.28496	493.15
1.30282	497.22
1.32093	501.32
1.33929	505.43
