"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	104.46
0.10139	104.76
0.102799	105.07
0.104227	105.38
0.105676	105.74
0.107145	106.06
0.108634	106.39
0.110143	106.73
0.111674	107.07
0.113226	107.41
0.1148	107.76
0.116395	108.12
0.118013	108.48
0.119653	108.89
0.121315	109.26
0.123001	109.63
0.124711	110.01
0.126444	110.4
0.128201	110.79
0.129983	111.19
0.131789	111.59
0.133621	112.04
0.135478	112.45
0.137361	112.86
0.13927	113.29
0.141205	113.71
0.143167	114.14
0.145157	114.58
0.147174	115.06
0.14922	115.5
0.151293	115.95
0.153396	116.41
0.155528	116.87
0.157689	117.34
0.159881	117.85
0.162103	118.32
0.164355	118.8
0.16664	119.29
0.168955	119.78
0.171303	120.32
0.173684	120.82
0.176098	121.32
0.178545	121.84
0.181027	122.35
0.183542	122.92
0.186093	123.45
0.188679	123.98
0.191301	124.52
0.19396	125.07
0.196656	125.66
0.199389	126.22
0.20216	126.78
0.204969	127.35
0.207818	127.97
0.210706	128.56
0.213634	129.15
0.216603	129.74
0.219613	130.39
0.222665	131
0.22576	131.61
0.228897	132.23
0.232078	132.91
0.235303	133.54
0.238574	134.18
0.241889	134.88
0.245251	135.54
0.248659	136.21
0.252115	136.93
0.255619	137.61
0.259171	138.3
0.262773	139.04
0.266425	139.74
0.270127	140.46
0.273881	141.23
0.277688	141.96
0.281547	142.69
0.285459	143.49
0.289427	144.24
0.293449	145.01
0.297527	145.83
0.301662	146.61
0.305854	147.46
0.310105	148.26
0.314414	149.12
0.318784	149.94
0.323214	150.77
0.327706	151.67
0.33226	152.52
0.336878	153.42
0.34156	154.3
0.346306	155.23
0.351119	156.12
0.355999	157.09
0.360946	158
0.365962	158.97
0.371048	159.91
0.376205	160.92
0.381433	161.93
0.386734	162.9
0.392109	163.94
0.397558	164.94
0.403083	166.01
0.408685	167.08
0.414365	168.11
0.420123	169.22
0.425962	170.28
0.431882	171.41
0.437884	172.56
0.443969	173.71
0.450139	174.83
0.456395	176.01
0.462737	177.21
0.469168	178.36
0.475689	179.59
0.482299	180.83
0.489002	182.09
0.495798	183.37
0.502688	184.66
0.509674	185.9
0.516757	187.23
0.523939	188.57
0.53122	189.92
0.538603	191.29
0.546088	192.68
0.553677	194.08
0.561372	195.5
0.569174	196.93
0.577084	198.39
0.585104	199.86
0.593235	201.36
0.601479	202.87
0.609838	204.38
0.618314	206
0.626907	207.57
0.635619	209.15
0.644452	210.74
0.653409	212.37
0.662489	214.08
0.671696	215.74
0.681031	217.43
0.690495	219.2
0.700092	220.92
0.709821	222.74
0.719686	224.51
0.729687	226.35
0.739828	228.17
0.75011	230.07
0.760534	231.92
0.771104	233.88
0.78182	235.76
0.792685	237.76
0.803702	239.79
0.814871	241.83
0.826196	243.81
0.837678	245.91
0.849319	248.04
0.861122	250.17
0.87309	252.35
0.885224	254.55
0.897526	256.76
0.909999	259.01
0.922646	261.28
0.935468	263.66
0.948469	266
0.96165	268.35
0.975014	270.74
0.988564	273.24
1.0023	279.63
1.01623	282.25
1.03036	284.9
1.04467	287.49
1.05919	290.17
1.07391	292.9
1.08884	295.67
1.10397	298.37
1.11931	301.19
1.13487	304.04
1.15064	307
1.16663	309.82
1.18284	312.69
1.19928	315.59
1.21595	318.59
1.23285	321.53
1.24998	324.6
1.26735	327.62
1.28496	330.75
1.30282	333.93
1.32093	337.13
1.33929	340.35
1.3579	343.63
1.37677	346.92
1.3959	350.27
1.4153	353.72
1.43497	357.13
1.45491	360.66
1.47513	364.14
1.49563	367.76
1.51642	371.38
1.53749	375.08
1.55886	378.79
1.58052	382.56
1.60249	386.38
1.62476	390.32
1.64734	394.2
1.67023	398.22
1.69345	402.27
1.71698	406.38
1.74084	410.53
1.76503	414.73
1.78956	419.07
1.81443	423.35
1.83965	427.52
1.86522	431.71
1.89114	435.98
1.91742	440.24
1.94407	444.57
1.97108	449.02
1.99848	453.44
2.02625	457.97
2.05441	462.54
2.08296	467.16
2.11191	471.9
2.14126	476.59
2.17102	481.43
2.20119	486.32
2.23178	491.22
2.2628	496.21
2.29424	501.3
2.32613	506.43
2.35845	511.58
2.39123	516.38
2.42446	521.27
2.45816	526.16
2.49232	531.13
2.52695	536.18
2.56207	541.22
2.59768	546.35
2.63378	551.53
2.67038	556.75
