"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	501.12
0.10139	502.57
0.102799	504.05
0.104227	505.54
0.105676	507.1
0.107145	508.66
0.108634	510.25
0.110143	511.85
0.111674	513.49
0.113226	515.15
0.1148	516.83
0.116395	518.54
0.118013	520.27
0.119653	522.06
0.121315	523.84
0.123001	525.64
0.124711	527.47
0.126444	529.33
0.128201	531.21
0.129983	533.11
0.131789	535.03
0.133621	537.01
0.135478	538.99
0.137361	540.97
0.13927	543
0.141205	545.04
0.143167	547.1
0.145157	549.19
0.147174	551.33
0.14922	553.47
0.151293	555.63
0.153396	557.81
0.155528	560.02
0.157689	562.25
0.159881	564.53
0.162103	566.81
0.164355	569.11
0.16664	571.44
0.168955	573.79
0.171303	576.19
0.173684	578.6
0.176098	581.03
0.178545	583.48
0.181027	585.96
0.183542	588.49
0.186093	591.03
0.188679	593.58
0.191301	596.17
0.19396	598.79
0.196656	601.46
0.199389	604.13
0.20216	606.83
0.204969	609.55
0.207818	612.35
0.210706	615.14
0.213634	617.95
0.216603	620.8
0.219613	623.71
0.222665	626.62
0.22576	629.57
0.228897	632.54
0.232078	635.58
0.235303	638.63
0.238574	641.69
0.241889	644.84
0.245251	647.99
0.248659	651.17
0.252115	654.42
0.255619	657.67
0.259171	660.97
0.262773	664.33
0.266425	667.7
0.270127	671.1
0.273881	674.59
0.277688	678.08
0.281547	681.59
0.285459	685.2
0.289427	688.81
0.293449	692.46
0.297527	696.19
0.301662	699.93
0.305854	703.74
0.310105	707.57
0.314414	711.47
0.318784	715.38
0.323214	719.36
0.327706	723.44
0.33226	727.49
0.336878	731.58
0.34156	735.77
0.346306	740
0.351119	744.26
0.355999	748.63
0.360946	752.97
0.365962	757.41
0.371048	761.89
0.376205	766.47
0.381433	771.06
0.386734	775.68
0.392109	780.41
0.397558	785.17
0.403083	790.04
0.408685	794.92
0.414365	799.82
0.420123	804.83
0.425962	809.88
0.431882	815.04
0.437884	820.27
0.443969	825.5
0.450139	830.83
0.456395	836.2
0.462737	841.65
0.469168	847.12
0.475689	852.71
0.482299	858.38
0.489002	864.11
0.495798	869.91
0.502688	875.79
0.509674	881.69
0.516757	887.71
0.523939	893.8
0.53122	899.97
0.538603	906.2
0.546088	912.51
0.553677	918.89
0.561372	925.34
0.569174	931.86
0.577084	938.52
0.585104	945.19
0.593235	952
0.601479	958.88
0.609838	965.76
0.618314	972.83
0.626907	980
0.635619	987.17
0.644452	994.41
0.653409	1001.8
0.662489	1009.3
0.671696	1016.8
0.681031	1024.5
0.690495	1032.3
0.700092	1040.1
0.709821	1048.1
0.719686	1056.1
0.729687	1064.2
0.739828	1072.4
0.75011	1080.7
0.760534	1089.1
0.771104	1097.7
0.78182	1106.2
0.792685	1115
0.803702	1123.9
0.814871	1132.8
0.826196	1141.8
0.837678	1150.9
0.849319	1160.3
0.861122	1169.6
0.87309	1179.1
0.885224	1188.7
0.897526	1198.4
0.909999	1208.2
0.922646	1218.1
0.935468	1228.2
0.948469	1238.4
0.96165	1248.7
0.975014	1259.1
0.988564	1269.7
1.0023	1298.7
1.01623	1309.7
1.03036	1320.9
1.04467	1332.2
1.05919	1343.5
1.07391	1355
1.08884	1366.7
1.10397	1378.5
1.11931	1390.3
1.13487	1402.3
1.15064	1414.6
1.16663	1426.8
1.18284	1439.2
1.19928	1451.7
1.21595	1464.5
1.23285	1477.2
1.24998	1490.3
1.26735	1503.3
1.28496	1516.6
1.30282	1530
1.32093	1543.6
1.33929	1557.2
1.3579	1571.1
1.37677	1585
1.3959	1599.2
1.4153	1613.5
1.43497	1627.9
1.45491	1642.5
1.47513	1657.2
1.49563	1672.1
1.51642	1687.1
1.53749	1702.4
1.55886	1717.7
1.58052	1733.3
1.60249	1749
1.62476	1765
1.64734	1781
1.67023	1797.3
1.69345	1813.6
1.71698	1830.2
1.74084	1847
1.76503	1863.9
1.78956	1881.1
1.81443	1898.4
1.83965	1915.9
1.86522	1933.5
1.89114	1951.5
1.91742	1969.4
1.94407	1987.7
1.97108	2006.2
1.99848	2024.7
2.02625	2043.6
2.05441	2062.6
2.08296	2081.9
2.11191	2101.4
2.14126	2120.9
2.17102	2140.8
2.20119	2160.9
2.23178	2181.1
2.2628	2201.6
2.29424	2222.3
2.32613	2243.2
2.35845	2264.4
2.39123	2285.7
2.42446	2307.4
2.45816	2329.1
2.49232	2351.1
2.52695	2373.5
2.56207	2395.9
2.59768	2418.6
2.63378	2441.6
2.67038	2464.7
2.70749	2488.2
2.74512	2511.9
2.78327	2535.8
2.82195	2559.9
2.86117	2584.4
2.90093	2609
2.94125	2634.1
2.98212	2659.2
3.02357	2684.6
3.06559	2710.4
3.10819	2736.3
3.15139	2762.6
3.19518	2789
3.23959	2815.8
3.28461	2842.9
3.33026	2870.1
3.37654	2897.6
3.42346	2925.6
3.47104	2953.7
3.51928	2982.1
3.56819	3010.8
3.61778	3039.8
3.66805	3069.1
3.71903	3098.6
3.77071	3128.4
3.82312	3158.6
3.87625	3188.9
3.93012	3219.6
3.98474	3250.7
4.04011	3282
4.09626	3313.6
4.15319	3345.6
4.21091	3377.7
4.26943	3410.3
4.32876	3443.3
