"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
57.2385	13.1
57.9062	13.085
58.5816	13.07
59.2649	13.056
59.9562	12.706
60.6555	12.021
61.363	11.653
62.0787	11.379
62.8028	11.156
63.5354	10.967
64.2765	10.803
65.0262	10.66
65.7847	10.533
66.552	10.424
67.3283	10.322
68.1136	10.229
68.9081	10.143
69.7118	10.063
70.5249	9.9886
71.3476	9.9214
72.1798	9.8594
73.0217	9.8028
73.8734	9.7479
74.7351	9.6996
75.6068	9.6519
76.4887	9.6089
77.3809	9.5676
78.2835	9.5287
79.1966	9.491
80.1203	9.4569
81.0549	9.4248
82.0003	9.2251
82.9568	9.057
83.9244	8.944
84.9033	8.8524
85.8936	8.7739
86.8955	8.704
87.909	8.6418
88.9344	8.5853
89.9718	8.5338
91.0212	8.4866
92.0829	8.4411
93.157	8.4002
94.2436	8.3618
95.3428	8.3244
96.4549	8.29
97.58	8.2585
98.7182	8.227
99.8696	8.1989
101.035	8.1713
102.213	8.1454
103.405	8.1211
104.611	8.0969
105.832	8.0752
107.066	7.5434
108.315	6.9691
109.578	6.6331
110.856	6.3755
112.149	6.1618
113.458	5.98
114.781	5.8209
116.12	5.6806
117.474	5.5564
118.844	5.4429
120.231	5.3406
121.633	5.2476
123.052	5.1605
124.487	5.0806
125.939	5.0067
127.408	4.9394
128.894	4.8772
130.398	4.8176
131.919	4.7649
133.457	4.7136
135.014	4.6624
136.589	4.6025
138.182	4.5525
139.794	4.5074
141.424	4.4651
143.074	4.427
144.743	4.3911
146.431	4.3568
148.139	4.3244
149.867	4.2938
151.615	4.2644
153.384	4.236
155.173	4.2093
156.983	4.1838
158.814	4.1592
160.666	4.1342
162.54	4.1119
164.436	4.0904
166.354	4.0575
168.294	3.9246
170.257	3.839
172.243	3.775
174.252	3.7215
176.285	3.6755
178.341	3.6328
180.421	3.5958
182.526	3.5609
184.655	3.5292
186.809	3.5
188.987	3.472
191.192	3.4463
193.422	3.4218
195.678	3.3988
197.96	3.3771
200.27	3.3567
202.605	3.3256
204.969	3.2864
207.359	3.2591
209.778	3.2338
212.225	3.2121
214.7	3.1917
217.205	3.1721
219.738	3.1546
222.301	3.1374
224.894	3.1216
227.517	3.107
230.171	3.0922
232.856	3.0787
235.572	3.066
238.32	3.0528
241.1	2.9747
243.912	2.8255
246.757	2.7412
249.635	2.6768
252.547	2.6237
255.493	2.5776
258.473	2.5367
261.488	2.5007
264.538	2.4683
267.623	2.4384
270.745	2.4108
273.903	2.3862
277.098	2.3628
280.33	2.3408
283.6	2.3057
286.907	2.2643
290.254	2.2347
293.64	2.2091
297.065	2.1858
300.53	2.1652
304.035	2.1461
307.581	2.1285
311.169	2.112
314.799	2.0963
318.47	2.0818
322.185	2.0683
325.943	2.0555
329.745	1.9629
333.591	1.8644
337.482	1.804
341.419	1.7559
345.401	1.7152
349.43	1.68
353.506	1.6481
357.629	1.6199
361.8	1.5945
366.02	1.5712
370.29	1.5495
374.609	1.5297
378.978	1.5074
383.399	1.4863
387.871	1.4679
392.395	1.4515
396.972	1.4361
401.602	1.4217
406.287	1.4086
411.026	1.3958
415.82	1.3844
420.67	1.373
425.577	1.3627
430.541	1.3415
435.563	1.3121
440.643	1.2924
445.783	1.2763
450.983	1.2616
456.243	1.2487
461.565	1.2367
466.948	1.2258
472.395	1.2154
477.905	1.2058
483.479	1.1966
489.119	1.183
494.824	1.1717
500.596	1.1619
506.435	1.1529
512.342	1.1449
518.318	1.137
524.363	1.1298
530.48	1.1232
536.667	1.1165
542.927	1.1096
549.26	1.0931
555.666	1.0809
562.148	1.0712
568.705	1.0626
575.338	1.0552
582.049	1.048
588.838	1.0417
595.706	1.0355
602.655	1.03
609.684	1.0197
616.796	1.0081
623.99	0.99961
631.269	0.99234
638.632	0.98573
646.081	0.97978
653.617	0.97434
661.241	0.96913
668.953	0.96427
676.756	0.94638
684.65	0.92608
692.636	0.91317
700.715	0.90251
708.888	0.89334
717.157	0.88524
725.522	0.8779
733.984	0.87129
742.546	0.86461
751.207	0.85532
759.969	0.84807
768.833	0.84185
777.801	0.83611
786.873	0.83082
796.052	0.82596
805.337	0.82145
814.73	0.81616
824.234	0.80082
833.848	0.7903
843.574	0.78217
853.413	0.77518
863.368	0.769
873.438	0.76345
883.626	0.7584
893.933	0.75211
904.36	0.74219
914.908	0.73514
925.58	0.72916
936.376	0.72386
947.298	0.71901
958.347	0.71452
969.526	0.71038
980.834	0.6959
992.275	0.68407
1003.85	0.67554
1015.56	0.66844
1027.4	0.66213
1039.39	0.65655
1051.51	0.65139
1063.78	0.64094
1076.18	0.63028
1088.74	0.62267
1101.44	0.61617
1114.28	0.61041
1127.28	0.60514
1140.43	0.6002
1153.73	0.51874
1167.19	0.4548
1180.8	0.41363
1194.58	0.3813
1208.51	0.35444
1222.61	0.33125
1236.87	0.31086
1251.29	0.29236
1265.89	0.27604
1280.65	0.26122
1295.59	0.24804
1310.7	0.23589
1325.99	0.22458
1341.46	0.21033
1357.11	0.19794
1372.94	0.18739
1388.95	0.17778
1405.15	0.16927
1421.54	0.16134
1438.12	0.154
1454.9	0.14715
1471.87	0.14091
1489.03	0.13496
