"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
17.1359	7.9293e+07
17.3358	7.8763e+07
17.538	7.8225e+07
17.7426	7.7682e+07
17.9495	7.7133e+07
18.1589	7.6578e+07
18.3707	7.6018e+07
18.585	7.545e+07
18.8017	7.4878e+07
19.0211	7.43e+07
19.2429	7.371e+07
19.4674	7.3094e+07
19.6944	7.2501e+07
19.9242	7.1903e+07
20.1566	7.1298e+07
20.3917	7.069e+07
20.6295	7.0076e+07
20.8701	6.9457e+07
21.1136	6.8834e+07
21.3598	6.8209e+07
21.609	6.7578e+07
21.861	6.6945e+07
22.116	6.6306e+07
22.374	6.5665e+07
22.635	6.5021e+07
22.899	6.4372e+07
23.1661	6.3691e+07
23.4363	6.3029e+07
23.7097	6.2372e+07
23.9862	6.171e+07
24.266	6.1049e+07
24.549	6.0384e+07
24.8354	5.972e+07
25.1251	5.9052e+07
25.4181	5.8383e+07
25.7146	5.7711e+07
26.0145	5.7039e+07
26.318	5.6367e+07
26.625	5.5694e+07
26.9355	5.5021e+07
27.2497	5.4342e+07
27.5675	5.3629e+07
27.8891	5.2955e+07
28.2144	5.2281e+07
28.5435	5.1607e+07
28.8764	5.0933e+07
29.2132	5.0262e+07
29.554	4.9591e+07
29.8987	4.8921e+07
30.2474	4.8253e+07
30.6003	4.7587e+07
30.9572	4.6923e+07
31.3183	4.6262e+07
31.6836	4.5602e+07
32.0531	4.4903e+07
32.427	4.4245e+07
32.8052	4.3592e+07
33.1879	4.2945e+07
33.575	4.23e+07
33.9666	4.1658e+07
34.3628	4.1019e+07
34.7636	4.0386e+07
35.1691	3.9756e+07
35.5793	3.913e+07
35.9943	3.8508e+07
36.4142	3.7882e+07
36.8389	3.7231e+07
37.2686	3.6624e+07
37.7033	3.6021e+07
38.1431	3.5424e+07
38.588	3.4831e+07
39.0381	3.4244e+07
39.4934	3.3662e+07
39.9541	3.3086e+07
40.4201	3.2516e+07
40.8916	3.195e+07
41.3686	3.1358e+07
41.8511	3.0791e+07
42.3392	3.0244e+07
42.8331	2.9704e+07
43.3327	2.9168e+07
43.8381	2.864e+07
44.3495	2.8117e+07
44.8668	2.7602e+07
45.3901	2.7092e+07
45.9195	2.6582e+07
46.4552	2.6047e+07
46.997	2.5558e+07
47.5452	2.5075e+07
48.0998	2.4598e+07
48.6608	2.4127e+07
49.2284	2.3664e+07
49.8026	2.3207e+07
50.3835	2.2756e+07
50.9712	2.2294e+07
51.5657	2.1833e+07
52.1672	2.1403e+07
52.7757	2.098e+07
53.3913	2.0563e+07
54.014	2.0153e+07
54.6441	1.9749e+07
55.2814	1.9351e+07
55.9262	1.8946e+07
56.5786	1.8537e+07
57.2385	1.816e+07
57.9062	1.7789e+07
58.5816	1.7424e+07
59.2649	1.7065e+07
59.9562	1.6713e+07
60.6555	1.6366e+07
61.363	1.5994e+07
62.0787	1.5656e+07
62.8028	1.5328e+07
63.5354	1.5006e+07
64.2765	1.469e+07
65.0262	1.438e+07
65.7847	1.4075e+07
66.552	1.3748e+07
67.3283	1.3454e+07
68.1136	1.3168e+07
68.9081	1.2886e+07
69.7118	1.2611e+07
70.5249	1.234e+07
71.3476	1.2062e+07
72.1798	1.1784e+07
73.0217	1.153e+07
73.8734	1.128e+07
74.7351	1.1036e+07
75.6068	1.0796e+07
76.4887	1.0553e+07
77.3809	1.0303e+07
78.2835	1.0077e+07
79.1966	9.8572e+06
80.1203	9.6413e+06
81.0549	9.4294e+06
82.0003	9.2088e+06
82.9568	8.9933e+06
83.9244	8.7948e+06
84.9033	8.6e+06
85.8936	8.4099e+06
86.8955	8.2228e+06
87.909	8.0172e+06
88.9344	7.8388e+06
89.9718	7.6644e+06
91.0212	7.4936e+06
92.0829	7.3258e+06
93.157	7.1424e+06
94.2436	6.9796e+06
95.3428	6.823e+06
96.4549	6.6696e+06
97.58	6.5197e+06
98.7182	6.3533e+06
99.8696	6.2093e+06
101.035	6.0683e+06
102.213	5.9307e+06
103.405	5.7905e+06
104.611	5.6457e+06
105.832	5.5175e+06
107.066	5.3914e+06
108.315	5.268e+06
109.578	5.1333e+06
110.856	5.0129e+06
112.149	4.8975e+06
113.458	4.7845e+06
114.781	4.6658e+06
116.12	4.5498e+06
117.474	4.4448e+06
118.844	4.3413e+06
120.231	4.2336e+06
121.633	4.1272e+06
123.052	4.0308e+06
124.487	3.9365e+06
125.939	3.8357e+06
127.408	3.7398e+06
128.894	3.6511e+06
130.398	3.5651e+06
131.919	3.4703e+06
133.457	3.3851e+06
135.014	3.3045e+06
136.589	3.2229e+06
138.182	3.1366e+06
139.794	3.0618e+06
141.424	2.9886e+06
143.074	2.9078e+06
144.743	2.8359e+06
146.431	2.7679e+06
148.139	2.696e+06
149.867	2.6254e+06
151.615	2.562e+06
153.384	2.4974e+06
155.173	2.4296e+06
156.983	2.3706e+06
158.814	2.3108e+06
160.666	2.2467e+06
162.54	2.1918e+06
164.436	2.1363e+06
166.354	2.077e+06
168.294	2.0261e+06
170.257	1.9733e+06
172.243	1.9192e+06
174.252	1.8719e+06
176.285	1.8156e+06
178.341	1.7668e+06
180.421	1.7162e+06
182.526	1.6718e+06
