"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
1	1413.4
1.01166	1413.4
1.02346	1413.4
1.0354	1413.4
1.04748	1413.4
1.0597	1413.4
1.07206	1413.4
1.08456	1413.4
1.09721	1413.4
1.11001	1413.4
1.12296	1413.4
1.13606	1413.4
1.14931	1413.4
1.16271	1413.4
1.17628	1413.4
1.19	1413.4
1.20388	1413.4
1.21792	1413.4
1.23212	1413.4
1.2465	1413.4
1.26103	1413.4
1.27574	1413.4
1.29062	1413.4
1.30568	1413.4
1.32091	1413.4
1.33632	1413.4
1.3519	1413.4
1.36767	1413.4
1.38362	1413.4
1.39976	1413.4
1.41609	1413.4
1.43261	1413.4
1.44932	1413.4
1.46622	1413.4
1.48332	1413.4
1.50063	1413.4
1.51813	1413.4
1.53584	1413.4
1.55375	1413.4
1.57187	1413.4
1.59021	1413.4
1.60876	1413.4
1.62752	1413.4
1.64651	1411
1.66571	1161.2
1.68514	979.31
1.7048	864.13
1.72468	775.77
1.7448	703.97
1.76515	643.77
1.78574	592.5
1.80657	548.4
1.82764	510.1
1.84896	476.4
1.87052	447.14
1.89234	421.27
1.91441	397.95
1.93674	377.47
1.95933	359.41
1.98219	343.31
2.00531	329.27
2.0287	316.86
2.05236	305.51
2.0763	295.78
2.10052	286.85
2.12502	278.89
2.14981	271.81
2.17488	265.4
2.20025	259.57
2.22592	254.61
2.25188	250.35
2.27814	246.34
2.30472	242.55
2.3316	238.95
2.3588	235.51
2.38631	232.31
2.41414	229.29
2.4423	226.44
2.47079	223.75
2.49961	221.12
2.52877	218.59
2.55826	216.32
2.5881	214.17
2.61829	211.89
2.64883	209.95
2.67973	208.09
2.71098	206.13
2.7426	204.5
2.77459	202.77
2.80696	201.2
2.8397	199.7
2.87282	198.2
2.90633	196.88
2.94023	195.48
2.97452	194.29
3.00922	193
3.04432	191.9
3.07983	190.75
3.11575	189.7
3.15209	188.7
3.18886	187.68
3.22606	186.82
3.26369	185.82
3.30175	185.02
3.34027	184.19
3.37923	183.37
3.41864	182.66
3.45852	181.87
3.49886	181.19
3.53967	180.57
3.58096	179.85
3.62273	179.26
3.66498	178.7
3.70773	178.06
3.75098	177.54
3.79473	177.04
3.83899	176.5
3.88377	176
3.92907	175.56
3.9749	175.11
4.02127	174.63
4.06817	174.22
4.11562	173.81
4.16363	173.39
4.21219	172.98
4.26132	172.61
4.31103	172.26
4.36131	171.9
4.41218	171.55
4.46365	171.23
4.51571	170.93
4.56838	170.64
4.62167	170.31
4.67558	170.04
4.73012	169.78
4.78529	169.53
4.8411	169.28
4.89757	169.01
4.9547	168.79
5.01249	168.57
5.07096	168.36
5.1301	168.15
5.18994	167.93
5.25048	167.74
5.31172	167.56
5.37368	167.38
5.43636	167.21
5.49977	167.04
5.56392	166.87
5.62882	166.72
5.69447	166.57
5.76089	166.43
5.82809	166.29
5.89607	166.16
5.96484	166.02
6.03442	165.89
6.1048	165.77
6.17601	165.66
6.24805	165.54
6.32093	165.44
6.39465	165.33
6.46924	165.23
6.5447	165.13
6.62104	158.59
6.69827	132.49
6.7764	118.37
6.85544	108.3
6.9354	100.29
7.0163	93.612
7.09813	87.857
7.18093	82.882
7.26469	78.491
7.34942	74.572
7.43515	71.047
7.52187	67.889
7.60961	64.949
7.69837	62.246
7.78816	59.786
7.87901	57.539
7.97091	55.435
8.06388	53.541
8.15794	51.802
8.2531	50.136
8.34936	48.638
8.44675	47.23
8.54527	45.869
8.64495	44.625
8.74578	43.445
8.84779	42.334
8.951	41.31
9.0554	40.338
9.16102	39.409
9.26788	38.522
9.37598	37.674
9.48534	36.864
9.59598	36.09
9.70791	35.351
9.82115	34.646
9.9357	33.935
10.0516	33.279
10.1688	32.66
10.2874	32.065
10.4074	31.445
10.5288	30.904
10.6516	30.379
10.7759	29.822
10.9016	29.351
11.0287	28.859
11.1574	28.391
11.2875	27.96
11.4192	27.506
11.5524	27.121
11.6871	26.687
11.8234	26.334
11.9614	25.926
12.1009	25.597
12.242	25.222
12.3848	24.909
12.5293	24.572
12.6754	24.265
12.8233	23.968
12.9728	23.661
13.1241	23.401
13.2772	23.104
13.4321	22.854
13.5888	22.605
13.7473	22.341
13.9076	22.119
14.0698	21.883
14.234	21.653
14.4	21.45
14.5679	21.235
14.7379	21.028
14.9098	20.813
15.0837	20.499
15.2596	20.239
15.4376	20.023
15.6177	19.822
15.7998	19.606
15.9841	19.425
16.1706	19.252
16.3592	19.079
16.55	18.905
16.7431	18.753
16.9383	18.606
17.1359	18.456
17.3358	18.308
17.538	18.176
17.7426	18.048
17.9495	17.92
18.1589	17.785
18.3707	17.668
18.585	17.554
18.8017	17.444
19.0211	17.331
19.2429	17.221
19.4674	17.121
19.6944	17.025
19.9242	16.931
20.1566	16.835
20.3917	16.742
20.6295	16.657
20.8701	16.574
21.1136	16.494
21.3598	16.416
21.609	16.333
21.861	16.259
22.116	16.189
22.374	16.12
22.635	16.053
22.899	15.988
23.1661	15.92
23.4363	15.858
23.7097	15.798
23.9862	15.741
24.266	15.685
24.549	15.631
24.8354	15.579
25.1251	15.523
25.4181	15.474
25.7146	15.426
26.0145	15.38
26.318	15.334
26.625	15.249
26.9355	15.14
27.2497	15.063
27.5675	14.994
27.8891	14.934
28.2144	14.879
28.5435	14.828
28.8764	14.779
29.2132	14.733
29.554	14.689
29.8987	14.647
30.2474	14.606
30.6003	14.567
30.9572	14.53
31.3183	14.495
31.6836	14.461
32.0531	14.429
32.427	14.397
32.8052	14.367
33.1879	14.338
33.575	14.31
33.9666	14.281
34.3628	14.255
34.7636	14.23
35.1691	14.206
35.5793	14.182
35.9943	14.159
36.4142	14.137
36.8389	14.116
37.2686	14.095
37.7033	14.075
38.1431	14.055
38.588	14.035
39.0381	14.017
39.4934	13.999
39.9541	13.982
40.4201	13.966
40.8916	13.949
41.3686	13.921
41.8511	13.702
42.3392	13.56
42.8331	13.461
43.3327	13.381
43.8381	13.313
44.3495	13.253
44.8668	13.2
45.3901	13.153
45.9195	13.109
46.4552	13.07
46.997	13.033
47.5452	12.998
48.0998	12.966
48.6608	12.935
49.2284	12.907
49.8026	12.88
50.3835	12.854
50.9712	12.831
51.5657	12.808
52.1672	12.786
52.7757	12.765
53.3913	12.746
54.014	12.728
54.6441	12.71
55.2814	12.693
55.9262	12.677
56.5786	12.661
57.2385	12.646
57.9062	12.631
58.5816	12.617
59.2649	12.603
59.9562	12.262
60.6555	11.597
61.363	11.239
62.0787	10.972
62.8028	10.756
63.5354	10.572
64.2765	10.413
65.0262	10.274
65.7847	10.15
66.552	10.044
67.3283	9.9447
68.1136	9.8547
68.9081	9.7709
69.7118	9.6928
70.5249	9.6209
71.3476	9.5556
72.1798	9.4953
73.0217	9.4402
73.8734	9.3869
74.7351	9.3399
75.6068	9.2936
76.4887	9.2518
77.3809	9.2118
78.2835	9.1741
79.1966	9.1376
80.1203	9.1045
81.0549	9.0734
82.0003	8.8782
82.9568	8.7139
83.9244	8.6036
84.9033	8.5143
85.8936	8.4378
86.8955	8.3696
87.909	8.3091
88.9344	8.254
89.9718	8.2039
91.0212	8.158
92.0829	8.1137
93.157	8.074
94.2436	8.0367
95.3428	8.0004
96.4549	7.9671
97.58	7.9365
98.7182	7.9061
99.8696	7.8788
101.035	7.8521
102.213	7.827
103.405	7.8035
104.611	7.7801
105.832	7.7592
107.066	7.2465
108.315	6.6929
109.578	6.3691
110.856	6.1208
112.149	5.9149
113.458	5.7398
114.781	5.5865
116.12	5.4515
117.474	5.3319
118.844	5.2226
120.231	5.1242
121.633	5.0347
123.052	4.951
124.487	4.8743
125.939	4.8032
127.408	4.7386
128.894	4.679
130.398	4.6218
131.919	4.5712
133.457	4.522
135.014	4.4727
136.589	4.4147
138.182	4.3666
139.794	4.3231
141.424	4.2824
143.074	4.2458
144.743	4.2114
146.431	4.1784
148.139	4.1473
149.867	4.118
151.615	4.0898
153.384	4.0626
155.173	4.037
156.983	4.0126
158.814	3.9892
160.666	3.9654
162.54	3.9441
164.436	3.9236
166.354	3.8922
168.294	3.7642
170.257	3.6818
172.243	3.6204
174.252	3.5689
176.285	3.5248
178.341	3.4839
180.421	3.4483
182.526	3.4149
184.655	3.3845
186.809	3.3565
188.987	3.3297
191.192	3.3052
193.422	3.2817
195.678	3.2597
197.96	3.239
200.27	3.2194
202.605	3.1892
204.969	3.1509
207.359	3.1245
209.778	3.1
212.225	3.079
214.7	3.0592
217.205	3.0405
219.738	3.0236
222.301	3.007
224.894	2.9919
227.517	2.9778
230.171	2.9637
232.856	2.9507
235.572	2.9385
238.32	2.9259
241.1	2.851
243.912	2.708
246.757	2.6272
249.635	2.5655
252.547	2.5146
255.493	2.4705
258.473	2.4313
261.488	2.3968
264.538	2.3658
267.623	2.3372
270.745	2.3108
273.903	2.2872
