"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
55.9262	36.081
56.5786	35.909
57.2385	35.741
57.9062	35.574
58.5816	35.409
59.2649	35.24
59.9562	34.588
60.6555	33.453
61.363	32.767
62.0787	32.211
62.8028	31.729
63.5354	31.272
64.2765	30.859
65.0262	30.48
65.7847	30.121
66.552	29.908
67.3283	29.64
68.1136	29.352
68.9081	29.072
69.7118	28.794
70.5249	28.532
71.3476	28.282
72.1798	28.041
73.0217	27.81
73.8734	27.582
74.7351	27.367
75.6068	27.151
76.4887	26.944
77.3809	26.735
78.2835	26.539
79.1966	26.345
80.1203	26.161
81.0549	25.98
82.0003	25.559
82.9568	25.184
83.9244	24.884
84.9033	24.616
85.8936	24.372
86.8955	24.141
87.909	23.923
88.9344	23.715
89.9718	23.516
91.0212	23.327
92.0829	23.133
93.157	22.953
94.2436	22.781
95.3428	22.609
96.4549	22.445
97.58	22.289
98.7182	22.131
99.8696	21.983
101.035	21.836
102.213	21.69
103.405	21.553
104.611	21.415
105.832	21.287
107.066	20.424
108.315	19.497
109.578	18.905
110.856	18.427
112.149	18.009
113.458	17.638
114.781	17.297
116.12	16.982
117.474	16.695
118.844	16.42
120.231	16.164
121.633	15.921
123.052	15.685
124.487	15.462
125.939	15.246
127.408	15.043
128.894	14.849
130.398	14.656
131.919	14.478
133.457	14.301
135.014	14.126
136.589	13.94
138.182	13.772
139.794	13.611
141.424	13.455
143.074	13.308
144.743	13.165
146.431	13.024
148.139	12.887
149.867	12.757
151.615	12.629
153.384	12.503
155.173	12.382
156.983	12.264
158.814	12.149
160.666	12.031
162.54	11.923
164.436	11.817
166.354	11.696
168.294	11.431
170.257	11.235
172.243	11.07
174.252	10.921
176.285	10.785
178.341	10.651
180.421	10.529
182.526	10.41
184.655	10.297
186.809	10.188
188.987	10.081
191.192	9.9796
193.422	9.8804
195.678	9.7847
197.96	9.6918
200.27	9.6014
202.605	9.4981
204.969	9.3804
207.359	9.2856
209.778	9.19
212.225	9.1034
214.7	9.0179
217.205	8.9343
219.738	8.8563
222.301	8.7778
224.894	8.7035
227.517	8.6328
230.171	8.5599
232.856	8.4923
235.572	8.4269
238.32	8.358
241.1	8.1996
243.912	7.9402
246.757	7.771
249.635	7.6313
252.547	7.5089
255.493	7.3963
258.473	7.2897
261.488	7.1925
264.538	7.1013
267.623	7.0121
270.745	6.927
273.903	6.8486
277.098	6.7718
280.33	6.6965
283.6	6.6032
286.907	6.5025
290.254	6.4185
293.64	6.34
297.065	6.2646
300.53	6.1955
304.035	6.1288
307.581	6.0649
311.169	6.0027
314.799	5.9415
318.47	5.8839
322.185	5.8281
325.943	5.7736
329.745	5.6051
333.591	5.4269
337.482	5.3045
341.419	5.1999
345.401	5.1052
349.43	5.0194
353.506	4.9373
357.629	4.862
361.8	4.7914
366.02	4.724
370.29	4.6588
374.609	4.5968
378.978	4.5313
383.399	4.4679
387.871	4.4091
392.395	4.3541
396.972	4.2998
401.602	4.2482
406.287	4.1995
411.026	4.1499
415.82	4.1044
420.67	4.0582
425.577	4.0153
430.541	3.9565
435.563	3.8869
440.643	3.8308
445.783	3.7808
450.983	3.7317
456.243	3.6872
461.565	3.6439
466.948	3.6029
472.395	3.5626
477.905	3.5239
483.479	3.4869
489.119	3.4433
494.824	3.4032
500.596	3.3657
506.435	3.3297
512.342	3.296
518.318	3.2622
524.363	3.2304
530.48	3.2001
536.667	3.1691
542.927	3.1386
549.26	3.0956
555.666	3.0581
562.148	3.0245
568.705	2.993
575.338	2.9638
582.049	2.9343
588.838	2.9072
595.706	2.8803
602.655	2.8552
609.684	2.8222
616.796	2.7889
623.99	2.7596
631.269	2.7323
638.632	2.7062
646.081	2.6815
653.617	2.6581
661.241	2.6349
668.953	2.6123
676.756	2.5716
684.65	2.5274
692.636	2.4941
700.715	2.4639
708.888	2.4358
717.157	2.4098
725.522	2.3848
733.984	2.3614
742.546	2.338
751.207	2.3109
759.969	2.2872
768.833	2.2652
777.801	2.2439
786.873	2.2232
796.052	2.2036
805.337	2.1848
