"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
17.3358	1.5422e+06
17.538	1.5156e+06
17.7426	1.4894e+06
17.9495	1.4635e+06
18.1589	1.4377e+06
18.3707	1.4123e+06
18.585	1.3871e+06
18.8017	1.3622e+06
19.0211	1.3375e+06
19.2429	1.3129e+06
19.4674	1.2876e+06
19.6944	1.2639e+06
19.9242	1.2404e+06
20.1566	1.2172e+06
20.3917	1.1943e+06
20.6295	1.1717e+06
20.8701	1.1493e+06
21.1136	1.1272e+06
21.3598	1.1055e+06
21.609	1.0841e+06
21.861	1.0629e+06
22.116	1.0421e+06
22.374	1.0215e+06
22.635	1.0013e+06
22.899	981300
23.1661	960750
23.4363	941180
23.7097	922120
23.9862	903320
24.266	884880
24.549	866680
24.8354	848840
25.1251	831240
25.4181	813940
25.7146	796870
26.0145	780150
26.318	763710
26.625	747550
26.9355	731670
27.2497	715940
27.5675	699730
27.8891	684680
28.2144	669890
28.5435	655370
28.8764	641090
29.2132	627110
29.554	613380
29.8987	599900
30.2474	586650
30.6003	573680
30.9572	560940
31.3183	548460
31.6836	536220
32.0531	523450
32.427	511630
32.8052	500090
33.1879	488810
33.575	477740
33.9666	466870
34.3628	456240
34.7636	445820
35.1691	435630
35.5793	425620
35.9943	415830
36.4142	406100
36.8389	396140
37.2686	386980
37.7033	377990
38.1431	369210
38.588	360600
39.0381	352180
39.4934	343930
39.9541	335870
40.4201	327980
40.8916	320260
41.3686	312270
41.8511	304710
42.3392	297500
42.8331	290460
43.3327	283550
43.8381	276820
44.3495	270210
44.8668	263770
45.3901	257470
45.9195	251220
46.4552	244740
46.997	238880
47.5452	233130
48.0998	227530
48.6608	222040
49.2284	216680
49.8026	211440
50.3835	206320
50.9712	201120
51.5657	195970
52.1672	191210
52.7757	186560
53.3913	182020
54.014	177580
54.6441	173250
55.2814	169010
55.9262	164730
56.5786	160430
57.2385	156500
57.9062	152660
58.5816	148910
59.2649	145240
59.9562	141650
60.6555	138150
61.363	134420
62.0787	131060
62.8028	127810
63.5354	124630
64.2765	121520
65.0262	118490
65.7847	115540
66.552	112430
67.3283	109640
68.1136	106910
68.9081	104240
69.7118	101630
70.5249	99090
71.3476	96496
72.1798	93914
73.0217	91562
73.8734	89263
74.7351	87025
75.6068	84835
76.4887	82624
77.3809	80362
78.2835	78334
79.1966	76358
80.1203	74430
81.0549	72545
82.0003	70593
82.9568	68695
83.9244	66950
84.9033	65247
85.8936	63590
86.8955	61966
87.909	60191
88.9344	58657
89.9718	57162
91.0212	55704
92.0829	54277
93.157	52724
94.2436	51352
95.3428	50037
96.4549	48754
97.58	47505
98.7182	46123
99.8696	44933
101.035	43772
102.213	42645
103.405	41501
104.611	40322
105.832	39285
107.066	38268
108.315	37277
109.578	36197
110.856	35239
112.149	34324
113.458	33432
114.781	32499
116.12	31590
117.474	30772
118.844	29969
120.231	29136
121.633	28314
123.052	27576
124.487	26858
125.939	26090
127.408	25364
128.894	24697
130.398	24053
131.919	23341
133.457	22707
135.014	22112
136.589	21507
138.182	20868
139.794	20319
141.424	19784
143.074	19190
144.743	18667
146.431	18175
148.139	17653
149.867	17142
151.615	16688
153.384	16226
155.173	15738
156.983	15320
158.814	14898
160.666	14441
162.54	14056
164.436	13665
166.354	13246
168.294	12892
170.257	12524
172.243	12146
174.252	11820
176.285	11424
178.341	11088
180.421	10736
182.526	10433
184.655	10118
186.809	9814.1
188.987	9531.7
191.192	9229.7
193.422	8973
195.678	8678.5
197.96	8441.1
200.27	8160
202.605	7935.1
204.969	7672.4
207.359	7457
209.778	7209.4
212.225	7005
214.7	6769.5
217.205	6578.7
219.738	6354.2
222.301	6172.8
224.894	5965.8
227.517	5789.1
230.171	5599.5
232.856	5425.8
235.572	5254.2
238.32	5083.2
241.1	4927.7
243.912	4758.5
246.757	4615.3
249.635	4459
252.547	4317.9
255.493	4179.5
258.473	4037.6
261.488	3913
264.538	3776.7
267.623	3655.1
270.745	3536.1
273.903	3412.9
277.098	3304.8
280.33	3190.5
283.6	3083.3
286.907	2984.2
290.254	2875.6
293.64	2781.2
297.065	2687.4
300.53	2590.5
304.035	2505.1
307.581	2417.3
311.169	2330.9
314.799	2252.6
318.47	2170.7
322.185	2092.9
325.943	2021.2
329.745	1945.4
333.591	1875.6
337.482	1809.6
341.419	1740.1
345.401	1676.1
349.43	1615.1
353.506	1551.8
357.629	1492.7
361.8	1436.9
366.02	1379.9
370.29	1324.1
374.609	1272
378.978	1221.5
383.399	1168.1
387.871	1120.1
392.395	1073
396.972	1026.5
401.602	978.85
406.287	934.55
411.026	891.37
415.82	848.91
420.67	806.91
425.577	765.67
430.541	725.32
435.563	685.62
440.643	646.49
445.783	607.66
450.983	569.68
456.243	532.36
461.565	495.63
466.948	458.91
472.395	420.95
477.905	385.15
483.479	347.7
489.119	310.43
494.824	272.26
500.596	232.65
506.435	191.75
512.342	147.5
518.318	122.55
524.363	120.02
530.48	117.53
536.667	114.98
542.927	112.38
549.26	110.06
555.666	107.77
562.148	105.28
568.705	103.05
575.338	100.93
582.049	98.693
588.838	96.507
595.706	94.523
602.655	92.478
609.684	90.382
616.796	88.53
623.99	86.611
631.269	84.643
638.632	82.909
646.081	81.078
653.617	79.286
661.241	77.665
668.953	75.874
676.756	74.269
684.65	72.706
692.636	71.025
700.715	69.576
708.888	67.907
717.157	66.448
725.522	64.937
733.984	63.539
742.546	62.158
751.207	60.758
759.969	59.477
768.833	58.104
777.801	56.898
786.873	55.563
796.052	54.412
805.337	53.135
814.73	52.019
824.234	50.804
833.848	49.709
843.574	48.575
853.413	47.496
863.368	46.448
873.438	45.376
883.626	44.402
893.933	43.353
904.36	42.398
914.908	41.456
925.58	40.474
936.376	39.581
947.298	38.69
958.347	37.77
969.526	36.916
980.834	36.084
992.275	35.234
1003.85	34.413
1015.56	33.628
1027.4	32.852
1039.39	32.091
1051.51	31.321
1063.78	30.587
1076.18	29.872
1088.74	29.168
1101.44	28.476
1114.28	27.8
1127.28	27.13
1140.43	26.474
1153.73	25.826
1167.19	25.189
1180.8	24.569
1194.58	23.962
1208.51	23.363
1222.61	22.779
1236.87	22.207
1251.29	21.634
1265.89	21.086
1280.65	20.549
1295.59	20.012
1310.7	19.482
1325.99	18.967
1341.46	18.448
1357.11	17.951
1372.94	17.457
1388.95	16.964
1405.15	16.484
1421.54	16.004
1438.12	15.525
1454.9	15.048
1471.87	14.567
1489.03	14.082
1506.4	13.58
1523.97	13.048
1541.75	12.43
1559.73	11.207
1577.92	10.812
1596.33	10.644
1614.95	10.478
1633.79	10.314
1652.84	10.151
1672.12	9.991
1691.63	9.8319
1711.36	9.6713
1731.32	9.5153
1751.51	9.3634
1771.94	9.2142
1792.61	9.0656
1813.52	8.9208
1834.67	8.7761
1856.07	8.6338
1877.72	8.4899
1899.63	8.3526
1921.78	8.2119
1944.2	8.0779
1966.88	7.9458
1989.82	7.8151
2013.03	7.6852
2036.51	7.5531
2060.26	7.4288
2084.29	7.3027
2108.6	7.1817
2133.2	7.0589
2158.08	6.9407
2183.25	6.8201
2208.72	6.7026
2234.48	6.5882
2260.55	6.4751
2286.91	6.3652
2313.59	6.254
2340.57	6.1443
2367.87	6.0348
2395.49	5.93
2423.44	5.8275
2451.7	5.7233
2480.3	5.6205
2509.23	5.5199
2538.5	5.4213
2568.11	5.3267
2598.06	5.2279
2628.37	5.1331
2659.02	5.0398
2690.04	4.9484
2721.42	4.8554
2753.16	4.7671
2785.27	4.6787
2817.76	4.5923
2850.63	4.5055
2883.88	4.4225
2917.52	4.3372
2951.55	4.255
2985.97	4.1745
3020.8	4.0944
3056.04	4.016
3091.68	3.9376
3127.74	3.863
3164.23	3.786
3201.14	3.7118
3238.47	3.6406
3276.25	3.5687
3314.46	3.4945
3353.12	3.4264
3392.23	3.3572
3431.8	3.2912
3471.83	3.222
3512.33	3.1573
3553.29	3.0944
3594.74	3.0295
3636.67	2.9657
3679.09	2.9031
3722	2.8443
3765.42	2.7846
3809.34	2.726
3853.77	2.6666
3898.72	2.6106
3944.2	2.5543
3990.2	2.5002
4036.74	2.4436
4083.83	2.3911
4131.46	2.339
4179.65	2.2885
4228.4	2.2378
4277.73	2.1851
4327.62	2.1366
4378.1	2.0888
4429.17	2.0414
4480.83	1.9946
4533.09	1.9464
4585.97	1.9014
4639.46	1.8572
4693.58	1.8138
4748.32	1.7699
4803.71	1.7255
4859.74	1.6838
4916.42	1.6427
4973.77	1.6015
5031.78	1.5578
5090.47	1.512
5149.85	1.4747
5209.92	1.4404
5270.69	1.4061
5332.17	1.3709
5394.36	1.3379
5457.28	1.306
5520.94	1.2737
5585.33	1.2432
5650.48	1.2108
5716.39	1.1804
5783.07	1.1508
5850.52	1.122
5918.76	1.0929
5987.8	1.0633
6057.64	1.0361
6128.3	1.0078
6199.78	0.98009
6272.1	0.95465
6345.25	0.92842
6419.27	0.90434
6494.14	0.88019
6569.89	0.85681
6646.52	0.8336
6724.05	0.80926
6802.48	0.78634
6881.82	0.76344
6962.09	0.74099
7043.3	0.71787
7125.45	0.69385
