"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90	Z=92
1.0023	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3.3828e-10	8.7284e-11	7.4602e-09	1.3466e-09	2.107e-08	2.4258e-09	8.8234e-08	1.1731e-08	3.5801e-08	6.4024e-09	6.5751e-08	6.1862e-08	3.2348e-08	3.5387e-07	6.6949e-08	7.4879e-07	2.1541e-07	7.044e-07	1.7012e-07	1.1576e-06	3.0631e-07	1.7382e-06	2.3966e-07	3.343e-06	7.8786e-07	1.5235e-05	1.7125e-05	4.027e-05	7.3587e-06	8.6846e-06	9.2401e-06	0.00011462	7.3589e-06	4.3682e-06	2.9076e-06
1.01623	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4.6269e-10	1.2005e-10	8.247e-09	1.5053e-09	2.7199e-08	2.8895e-09	1.0388e-07	1.3564e-08	4.0326e-08	7.1214e-09	7.9984e-08	7.3002e-08	3.7002e-08	4.0731e-07	7.4839e-08	8.8413e-07	2.427e-07	7.8313e-07	1.9187e-07	1.2542e-06	3.4354e-07	1.9008e-06	2.609e-07	3.6062e-06	8.3939e-07	1.6202e-05	1.8233e-05	4.2349e-05	7.6992e-06	9.1083e-06	9.6361e-06	0.00011916	7.6294e-06	4.4102e-06	2.9412e-06
1.03036	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5.8385e-10	1.5196e-10	9.0124e-09	1.6596e-09	3.3166e-08	4.035e-09	1.2039e-07	1.5348e-08	4.4745e-08	8.594e-09	9.3797e-08	8.3844e-08	4.2131e-08	4.5933e-07	8.369e-08	1.0199e-06	2.7163e-07	8.904e-07	2.1302e-07	1.4079e-06	3.797e-07	2.0658e-06	2.827e-07	3.8618e-06	8.9832e-07	1.7195e-05	1.9309e-05	4.4365e-05	8.0655e-06	9.53e-06	9.9938e-06	0.0001236	7.8284e-06	4.4617e-06	2.9608e-06
1.04467	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4.2704e-12	8.7611e-10	1.8302e-10	1.4498e-08	1.8132e-09	3.9294e-08	5.5773e-09	1.3806e-07	1.7086e-08	5.621e-08	1.1385e-08	1.072e-07	9.6026e-08	4.7111e-08	5.0992e-07	1.0249e-07	1.152e-06	3.0204e-07	9.949e-07	2.3347e-07	1.5691e-06	4.19e-07	2.2486e-06	3.0566e-07	4.1102e-06	9.6143e-07	1.8292e-05	2.0314e-05	4.6438e-05	8.4615e-06	9.9447e-06	1.0388e-05	0.00012716	8.0108e-06	4.5212e-06	2.9782e-06
1.05919	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9.6943e-12	1.3244e-09	2.1485e-10	2.1051e-08	3.1337e-09	5.7582e-08	7.0789e-09	1.5523e-07	2.0271e-08	7.3346e-08	1.4103e-08	1.3957e-07	1.0835e-07	5.5734e-08	6.0146e-07	1.2145e-07	1.289e-06	3.4318e-07	1.0961e-06	2.5367e-07	1.7303e-06	4.5756e-07	2.4361e-06	3.2797e-07	4.4055e-06	1.0227e-06	1.9293e-05	2.1289e-05	4.8686e-05	8.8689e-06	1.0351e-05	1.0774e-05	0.00013015	8.1957e-06	4.5794e-06	2.9923e-06
1.07391	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1.4976e-11	1.7608e-09	2.5022e-10	2.743e-08	4.4195e-09	7.7673e-08	8.5424e-09	1.7202e-07	2.7026e-08	9.0026e-08	1.6746e-08	1.8204e-07	1.2245e-07	6.5737e-08	7.215e-07	1.4086e-07	1.4353e-06	3.8359e-07	1.1945e-06	2.7898e-07	1.9036e-06	4.9715e-07	2.6332e-06	3.4963e-07	4.7096e-06	1.0846e-06	2.0257e-05	2.2275e-05	5.1049e-05	9.2664e-06	1.0739e-05	1.108e-05	0.00013313	8.3789e-06	4.623e-06	3.0066e-06
1.08884	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2.8683e-11	2.0118e-11	2.1856e-09	2.8461e-10	3.3638e-08	5.671e-09	9.7226e-08	9.9779e-09	2.2008e-07	3.3601e-08	1.0623e-07	1.9303e-08	2.234e-07	1.4718e-07	7.5557e-08	8.4841e-07	1.5973e-07	1.6262e-06	4.2273e-07	1.2929e-06	3.1321e-07	2.0705e-06	5.4099e-07	2.8246e-06	3.7366e-07	5.0046e-06	1.1541e-06	2.1192e-05	2.3344e-05	5.3404e-05	9.6689e-06	1.1155e-05	1.1339e-05	0.00013614	8.6154e-06	4.6512e-06	3.0129e-06
1.10397	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6.8838e-11	2.5122e-11	2.5988e-09	3.1804e-10	3.9959e-08	6.8887e-09	1.1632e-07	1.1561e-08	2.8516e-07	3.9996e-08	1.2191e-07	2.3295e-08	2.6368e-07	1.7133e-07	8.5105e-08	9.7282e-07	1.7863e-07	1.8217e-06	4.6072e-07	1.4555e-06	3.4642e-07	2.2523e-06	5.8594e-07	3.0104e-06	3.9998e-07	5.3121e-06	1.2177e-06	2.219e-05	2.4478e-05	5.5712e-05	1.0037e-05	1.1559e-05	1.1597e-05	0.00013974	8.8526e-06	4.6754e-06	3.018e-06
1.11931	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1.0793e-10	3.9676e-11	3.0495e-09	3.5053e-10	5.7013e-08	8.1445e-09	1.35e-07	1.3178e-08	3.4849e-07	4.6178e-08	1.5257e-07	3.1342e-08	3.0284e-07	1.9493e-07	9.4383e-08	1.0937e-06	1.9934e-07	2.0112e-06	4.9874e-07	1.6197e-06	3.8216e-07	2.4461e-06	6.3264e-07	3.2173e-06	4.257e-07	5.6462e-06	1.2787e-06	2.3269e-05	2.5616e-05	5.7988e-05	1.042e-05	1.1847e-05	1.1857e-05	0.00014365	9.0847e-06	4.697e-06	3.024e-06
1.13487	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1.4596e-10	5.8189e-11	3.5194e-09	3.821e-10	7.7906e-08	1.2117e-08	1.5639e-07	1.4749e-08	4.0992e-07	5.4871e-08	2.0232e-07	3.9229e-08	3.4669e-07	2.1787e-07	1.1186e-07	1.2237e-06	2.2486e-07	2.1947e-06	5.6069e-07	1.786e-06	4.1754e-07	2.6483e-06	6.7795e-07	3.4433e-06	4.509e-07	5.9495e-06	1.3377e-06	2.4383e-05	2.6718e-05	6.0135e-05	1.0813e-05	1.2117e-05	1.2171e-05	0.0001474	9.3189e-06	4.7144e-06	3.0291e-06
