"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=3	Z=4	Z=5	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=43	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=61	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90
1.15064	197.39	10.54	0.01084	0.00061194	0.016052	0.21411	0.024864	0.22463	0.0016002	0.03292	0.005006	0.047141	0.0067893	0.028485	0.00022609	0.0021722	6.6619e-05	9.2728e-05	0.00025441	0.0042949	0.00043097	0.0017001	0.001636	0.0028192	0.0023802	0.012862	1.1214e-05	0.00048332	8.7459e-06	1.1318e-05	8.36e-07	1.8006e-06	1.1447e-07	6.688e-07	1.2476e-07	3.4726e-07	1.1318e-07	3.7299e-07	8.36e-08	2.0578e-07	3.7299e-08	1.0418e-07	1.2218e-08	3.9871e-08	2.0578e-08	5.9163e-08	1.9292e-08	5.1446e-08	1.1318e-08	6.0449e-08	1.2733e-08	7.3311e-08	1.4148e-08	3.4726e-08	8.36e-09	8.6172e-08	7.7169e-09	2.3151e-08	5.5305e-09	2.0578e-08	2.4437e-09	2.3151e-08	3.9871e-09	1.8006e-08	4.5015e-09	1.8006e-08	6.8166e-09	1.1318e-08	2.3151e-09	1.1447e-08	1.672e-09	1.0418e-08	9.3889e-10	1.0418e-08	3.6012e-09	1.5434e-08	1.0161e-08	1.9292e-08	3.6012e-09	6.3022e-09	1.9292e-09	1.8006e-08	9.3889e-10	1.0418e-09
1.16663	188.46	10.15	0.01049	0.00059569	0.015543	0.20633	0.024019	0.2164	0.0015479	0.031729	0.0048318	0.04542	0.006548	0.02745	0.00021901	0.0020983	6.4744e-05	9.0332e-05	0.00024668	0.0041417	0.00041668	0.0016435	0.0015791	0.0027214	0.0022957	0.012418	1.0886e-05	0.00046685	8.4444e-06	1.0928e-05	8.0719e-07	1.7386e-06	1.1052e-07	6.4575e-07	1.2046e-07	3.3529e-07	1.0928e-07	3.6013e-07	8.0719e-08	1.9869e-07	3.6013e-08	1.0059e-07	1.1797e-08	3.8497e-08	1.9869e-08	5.7124e-08	1.8627e-08	4.9673e-08	1.0928e-08	5.8366e-08	1.2294e-08	7.0784e-08	1.366e-08	3.3529e-08	8.0719e-09	8.3203e-08	7.451e-09	2.2353e-08	5.3399e-09	1.9869e-08	2.3595e-09	2.2353e-08	3.8497e-09	1.7386e-08	4.3464e-09	1.7386e-08	6.5817e-09	1.0928e-08	2.2353e-09	1.1052e-08	1.6144e-09	1.0059e-08	9.0654e-10	1.0059e-08	3.4771e-09	1.4902e-08	9.8105e-09	1.8627e-08	3.4771e-09	6.085e-09	1.8627e-09	1.7386e-08	9.0654e-10	1.0059e-09
1.18284	179.89	9.7729	0.01014	0.0005798	0.015048	0.1988	0.023198	0.20843	0.0014971	0.030577	0.004663	0.043755	0.0063143	0.026448	0.00021213	0.0020266	6.2913e-05	8.7991e-05	0.00023915	0.0039933	0.0004028	0.0015885	0.001524	0.0026266	0.0022138	0.011988	1.0565e-05	0.00045086	8.1521e-06	1.055e-05	7.7925e-07	1.6784e-06	1.067e-07	6.234e-07	1.1629e-07	3.2369e-07	1.055e-07	3.4766e-07	7.7925e-08	1.9182e-07	3.4766e-08	9.7106e-08	1.1389e-08	3.7164e-08	1.9182e-08	5.5147e-08	1.7983e-08	4.7954e-08	1.055e-08	5.6346e-08	1.1869e-08	6.8334e-08	1.3187e-08	3.2369e-08	7.7925e-09	8.0323e-08	7.1931e-09	2.1579e-08	5.155e-09	1.9182e-08	2.2778e-09	2.1579e-08	3.7164e-09	1.6784e-08	4.196e-09	1.6784e-08	6.3539e-09	1.055e-08	2.1579e-09	1.067e-08	1.5585e-09	9.7106e-09	8.7516e-10	9.7106e-09	3.3568e-09	1.4386e-08	9.4709e-09	1.7983e-08	3.3568e-09	5.8743e-09	1.7983e-09	1.6784e-08	8.7516e-10	9.7106e-10
1.19928	171.66	9.4078	0.0098069	0.00056421	0.014565	0.19151	0.022401	0.20072	0.0014477	0.02946	0.0044991	0.042142	0.0060877	0.025478	0.00020542	0.001957	6.112e-05	8.5694e-05	0.00023181	0.0038494	0.00038931	0.0015351	0.0014705	0.0025346	0.0021345	0.011571	1.0253e-05	0.00043534	7.8684e-06	1.0183e-05	7.5213e-07	1.62e-06	1.0298e-07	6.017e-07	1.1224e-07	3.1242e-07	1.0183e-07	3.3556e-07	7.5213e-08	1.8514e-07	3.3556e-08	9.3727e-08	1.0993e-08	3.5871e-08	1.8514e-08	5.3227e-08	1.7357e-08	4.6285e-08	1.0183e-08	5.4385e-08	1.1455e-08	6.5956e-08	1.2728e-08	3.1242e-08	7.5213e-09	7.7527e-08	6.9427e-09	2.0828e-08	4.9756e-09	1.8514e-08	2.1985e-09	2.0828e-08	3.5871e-09	1.62e-08	4.0499e-09	1.62e-08	6.1327e-09	1.0183e-08	2.0828e-09	1.0298e-08	1.5043e-09	9.3727e-09	8.447e-10	9.3727e-09	3.2399e-09	1.3885e-08	9.1412e-09	1.7357e-08	3.2399e-09	5.6699e-09	1.7357e-09	1.62e-08	8.447e-10	9.3727e-10
1.21595	163.76	9.0547	0.0094834	0.00054894	0.014095	0.18445	0.021627	0.19326	0.0013996	0.028379	0.0043402	0.040581	0.0058682	0.024539	0.00019889	0.0018893	5.9366e-05	8.3446e-05	0.00022464	0.0037101	0.0003762	0.0014832	0.0014187	0.0024454	0.0020576	0.011166	9.9472e-06	0.00042027	7.5932e-06	9.8265e-06	7.2582e-07	1.5633e-06	9.9381e-08	5.8066e-07	1.0831e-07	3.0149e-07	9.8265e-08	3.2383e-07	7.2582e-08	1.7866e-07	3.2383e-08	9.0448e-08	1.0608e-08	3.4616e-08	1.7866e-08	5.1366e-08	1.675e-08	4.4666e-08	9.8265e-09	5.2482e-08	1.1055e-08	6.3649e-08	1.2283e-08	3.0149e-08	7.2582e-09	7.4815e-08	6.6999e-09	2.01e-08	4.8016e-09	1.7866e-08	2.1216e-09	2.01e-08	3.4616e-09	1.5633e-08	3.9083e-09	1.5633e-08	5.9182e-09	9.8265e-09	2.01e-09	9.9381e-09	1.4516e-09	9.0448e-09	8.1515e-10	9.0448e-09	3.1266e-09	1.34e-08	8.8215e-09	1.675e-08	3.1266e-09	5.4716e-09	1.675e-09	1.5633e-08	8.1515e-10	9.0448e-10
1.23285	156.18	8.7133	0.0091692	0.00053312	0.013638	0.17762	0.020877	0.18604	0.0013529	0.027333	0.0041862	0.039071	0.0056556	0.02363	0.00019253	0.0018238	5.7656e-05	8.1249e-05	0.00021767	0.0035751	0.00036347	0.0014328	0.0013684	0.002359	0.0019832	0.010774	9.6495e-06	0.00040566	7.3264e-06	9.4812e-06	7.0032e-07	1.5084e-06	9.589e-08	5.6025e-07	1.0451e-07	2.909e-07	9.4812e-08	3.1245e-07	7.0032e-08	1.7239e-07	3.1245e-08	8.727e-08	1.0235e-08	3.34e-08	1.7239e-08	4.9561e-08	1.6161e-08	4.3096e-08	9.4812e-09	5.0638e-08	1.0666e-08	6.1412e-08	1.1852e-08	2.909e-08	7.0032e-09	7.2187e-08	6.4645e-09	1.9393e-08	4.6329e-09	1.7239e-08	2.0471e-09	1.9393e-08	3.34e-09	1.5084e-08	3.7709e-09	1.5084e-08	5.7103e-09	9.4812e-09	1.9393e-09	9.589e-09	1.4006e-09	8.727e-09	7.8651e-10	8.727e-09	3.0168e-09	1.2929e-08	8.5115e-09	1.6161e-08	3.0168e-09	5.2793e-09	1.6161e-09	1.5084e-08	7.8651e-10	8.727e-10
1.24998	148.91	8.3833	0.0088639	0.00051843	0.013194	0.17101	0.020149	0.17905	0.0013076	0.026321	0.004037	0.03761	0.0054498	0.02275	0.00018634	0.0017601	5.5984e-05	7.9101e-05	0.00021087	0.0034444	0.00035111	0.0013839	0.0013197	0.0022752	0.0019111	0.010394	9.3592e-06	0.00039148	7.0677e-06	9.1465e-06	6.7559e-07	1.4551e-06	9.2504e-08	5.4047e-07	1.0082e-07	2.8063e-07	9.1465e-08	3.0142e-07	6.7559e-08	1.663e-07	3.0142e-08	8.4189e-08	9.8741e-09	3.2221e-08	1.663e-08	4.7811e-08	1.5591e-08	4.1575e-08	9.1465e-09	4.8851e-08	1.029e-08	5.9244e-08	1.1433e-08	2.8063e-08	6.7559e-09	6.9638e-08	6.2362e-09	1.8709e-08	4.4693e-09	1.663e-08	1.9748e-09	1.8709e-08	3.2221e-09	1.4551e-08	3.6378e-09	1.4551e-08	5.5087e-09	9.1465e-09	1.8709e-09	9.2504e-09	1.3512e-09	8.4189e-09	7.5874e-10	8.4189e-09	2.9102e-09	1.2472e-08	8.2111e-09	1.5591e-08	2.9102e-09	5.0929e-09	1.5591e-09	1.4551e-08	7.5874e-10	8.4189e-10
1.26735	141.94	8.0642	0.0085672	0.00050404	0.012762	0.16461	0.019442	0.1723	0.0012635	0.025342	0.0038924	0.036197	0.0052504	0.021899	0.00018032	0.0016984	5.435e-05	7.6838e-05	0.00020425	0.0033179	0.00033911	0.0013364	0.0012726	0.002194	0.0018413	0.010025	9.0757e-06	0.00037773	6.817e-06	8.8219e-06	6.5162e-07	1.4035e-06	8.9222e-08	5.213e-07	9.7242e-08	2.7067e-07	8.8219e-08	2.9072e-07	6.5162e-08	1.604e-07	2.9072e-08	8.1202e-08	9.5237e-09	3.1077e-08	1.604e-08	4.6115e-08	1.5037e-08	4.01e-08	8.8219e-09	4.7117e-08	9.9247e-09	5.7142e-08	1.1027e-08	2.7067e-08	6.5162e-09	6.7167e-08	6.015e-09	1.8045e-08	4.3107e-09	1.604e-08	1.9047e-09	1.8045e-08	3.1077e-09	1.4035e-08	3.5087e-09	1.4035e-08	5.3132e-09	8.8219e-09	1.8045e-09	8.9222e-09	1.3032e-09	8.1202e-09	7.3182e-10	8.1202e-09	2.807e-09	1.203e-08	7.9197e-09	1.5037e-08	2.807e-09	4.9122e-09	1.5037e-09	1.4035e-08	7.3182e-10	8.1202e-10
1.28496	135.26	7.7558	0.008279	0.00048996	0.012342	0.15843	0.018757	0.16577	0.0012207	0.024394	0.0037523	0.034831	0.0050575	0.021077	0.00017446	0.0016385	5.2754e-05	7.4769e-05	0.0001978	0.0031954	0.00032746	0.0012904	0.001224	0.0021153	0.0017738	0.0096675	8.7994e-06	0.0003644	6.5739e-06	8.5074e-06	6.2839e-07	1.3535e-06	8.6041e-08	5.0271e-07	9.3775e-08	2.6102e-07	8.5074e-08	2.8036e-07	6.2839e-08	1.5468e-07	2.8036e-08	7.8307e-08	9.1841e-09	2.9969e-08	1.5468e-08	4.4471e-08	1.4501e-08	3.867e-08	8.5074e-09	4.5437e-08	9.5708e-09	5.5105e-08	1.0634e-08	2.6102e-08	6.2839e-09	6.4772e-08	5.8005e-09	1.7402e-08	4.157e-09	1.5468e-08	1.8368e-09	1.7402e-08	2.9969e-09	1.3535e-08	3.3836e-09	1.3535e-08	5.1238e-09	8.5074e-09	1.7402e-09	8.6041e-09	1.2568e-09	7.8307e-09	7.0573e-10	7.8307e-09	2.7069e-09	1.1601e-08	7.6373e-09	1.4501e-08	2.7069e-09	4.7371e-09	1.4501e-09	1.3535e-08	7.0573e-10	7.8307e-10
1.30282	128.86	7.4578	0.0079992	0.0004762	0.011934	0.15244	0.018093	0.15946	0.0011791	0.023478	0.0036165	0.03351	0.0048707	0.020281	0.00016876	0.0015804	5.1196e-05	7.2747e-05	0.00019151	0.0030769	0.00031616	0.0012457	0.0011795	0.0020391	0.001704	0.0093212	8.53e-06	0.00035147	6.3384e-06	8.2026e-06	6.0588e-07	1.305e-06	8.2959e-08	4.847e-07	9.0416e-08	2.5167e-07	8.2026e-08	2.7031e-07	6.0588e-08	1.4914e-07	2.7031e-08	7.5502e-08	8.8551e-09	2.8896e-08	1.4914e-08	4.2877e-08	1.3982e-08	3.7285e-08	8.2026e-09	4.381e-08	9.228e-09	5.3131e-08	1.0253e-08	2.5167e-08	6.0588e-09	6.2452e-08	5.5927e-09	1.6778e-08	4.0081e-09	1.4914e-08	1.771e-09	1.6778e-08	2.8896e-09	1.305e-08	3.2624e-09	1.305e-08	4.9402e-09	8.2026e-09	1.6778e-09	8.2959e-09	1.2118e-09	7.5502e-09	6.8045e-10	7.5502e-09	2.6099e-09	1.1185e-08	7.3637e-09	1.3982e-08	2.6099e-09	4.5674e-09	1.3982e-09	1.305e-08	6.8045e-10	7.5502e-10
