"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90
13.4237	1.4429e+06	23353	272.34	69.802	578.84	0.026401	123.36	10.099	119.38	10.574	208.01	0.13196	56.483	0.097273	1.0254	0.21097	27.935	0.047998	0.71727	0.066991	2.7039	0.92178	163.87	2.1353	5.198	0.049948	0.1222	0.0079937	0.019992	0.0011991	0.011991	0.0015987	0.0079937	0.0011991	0.0039969	0.00079937	0.0019992	0.00015987	0.00079937	0.0003597	7.9937e-05	0.00023975	7.9937e-05	0.00027973	3.597e-05	0.00079937	5.5962e-05	0.0011991	0.00023975	0.0010791	7.9937e-05	0.00079937	7.9937e-05	0.00019992	3.1972e-05	0.00015987	3.9969e-05	1.5987e-05	7.9937e-05	1.1991e-05	7.9937e-05	1.5987e-05	3.9969e-05	7.9937e-06	3.597e-05	7.9937e-06	3.1972e-05	3.597e-06	3.9969e-05	7.9937e-06	0.00011991	0.00011991	0.00023975	3.9969e-05	3.9969e-05	3.597e-05	0.00039969	2.3975e-05	7.9937e-06
13.6103	1.4064e+06	22169	258.54	66.265	549.5	0.025063	117.11	9.5873	113.33	10.038	197.46	0.12527	53.621	0.092343	0.97347	0.20028	26.519	0.046382	0.69311	0.064735	2.6128	0.89074	158.35	2.0633	5.023	0.048266	0.11808	0.0077245	0.019319	0.0011587	0.011587	0.0015449	0.0077245	0.0011587	0.0038622	0.00077245	0.0019319	0.00015449	0.00077245	0.00034759	7.7245e-05	0.00023167	7.7245e-05	0.00027031	3.4759e-05	0.00077245	5.4078e-05	0.0011587	0.00023167	0.0010428	7.7245e-05	0.00077245	7.7245e-05	0.00019319	3.0895e-05	0.00015449	3.8622e-05	1.5449e-05	7.7245e-05	1.1587e-05	7.7245e-05	1.5449e-05	3.8622e-05	7.7245e-06	3.4759e-05	7.7245e-06	3.0895e-05	3.4759e-06	3.8622e-05	7.7245e-06	0.00011587	0.00011587	0.00023167	3.8622e-05	3.8622e-05	3.4759e-05	0.00038622	2.3167e-05	7.7245e-06
13.7994	1.3706e+06	21046	245.43	62.906	521.65	0.023792	111.17	9.1014	107.59	9.5297	187.46	0.11892	50.903	0.087663	0.92413	0.19013	25.175	0.044814	0.66968	0.062546	2.5245	0.86063	153	1.9936	4.8532	0.046634	0.11409	0.0074633	0.018666	0.0011195	0.011195	0.0014927	0.0074633	0.0011195	0.0037317	0.00074633	0.0018666	0.00014927	0.00074633	0.00033584	7.4633e-05	0.00022384	7.4633e-05	0.00026117	3.3584e-05	0.00074633	5.225e-05	0.0011195	0.00022384	0.0010075	7.4633e-05	0.00074633	7.4633e-05	0.00018666	2.985e-05	0.00014927	3.7317e-05	1.4927e-05	7.4633e-05	1.1195e-05	7.4633e-05	1.4927e-05	3.7317e-05	7.4633e-06	3.3584e-05	7.4633e-06	2.985e-05	3.3584e-06	3.7317e-05	7.4633e-06	0.00011195	0.00011195	0.00022384	3.7317e-05	3.7317e-05	3.3584e-05	0.00037317	2.2384e-05	7.4633e-06
13.9912	1.3357e+06	19979	232.99	59.718	495.21	0.022587	105.54	8.6401	102.13	9.0467	177.96	0.11289	48.323	0.08322	0.87729	0.18049	23.899	0.043293	0.64696	0.060424	2.4388	0.83142	147.81	1.9259	4.6885	0.045052	0.11022	0.0072101	0.018033	0.0010815	0.010815	0.001442	0.0072101	0.0010815	0.003605	0.00072101	0.0018033	0.0001442	0.00072101	0.00032444	7.2101e-05	0.00021624	7.2101e-05	0.00025231	3.2444e-05	0.00072101	5.0477e-05	0.0010815	0.00021624	0.00097332	7.2101e-05	0.00072101	7.2101e-05	0.00018033	2.8837e-05	0.0001442	3.605e-05	1.442e-05	7.2101e-05	1.0815e-05	7.2101e-05	1.442e-05	3.605e-05	7.2101e-06	3.2444e-05	7.2101e-06	2.8837e-05	3.2444e-06	3.605e-05	7.2101e-06	0.00010815	0.00010815	0.00021624	3.605e-05	3.605e-05	3.2444e-05	0.0003605	2.1624e-05	7.2101e-06
14.1856	1.3015e+06	18967	221.18	56.691	470.12	0.021442	100.19	8.2022	96.957	8.5882	168.94	0.10717	45.874	0.079002	0.83283	0.17134	22.688	0.041819	0.62492	0.058366	2.3558	0.8031	142.77	1.8603	4.5288	0.043518	0.10647	0.0069645	0.017418	0.0010447	0.010447	0.0013929	0.0069645	0.0010447	0.0034823	0.00069645	0.0017418	0.00013929	0.00069645	0.00031339	6.9645e-05	0.00020888	6.9645e-05	0.00024372	3.1339e-05	0.00069645	4.8757e-05	0.0010447	0.00020888	0.00094017	6.9645e-05	0.00069645	6.9645e-05	0.00017418	2.7855e-05	0.00013929	3.4823e-05	1.3929e-05	6.9645e-05	1.0447e-05	6.9645e-05	1.3929e-05	3.4823e-05	6.9645e-06	3.1339e-05	6.9645e-06	2.7855e-05	3.1339e-06	3.4823e-05	6.9645e-06	0.00010447	0.00010447	0.00020888	3.4823e-05	3.4823e-05	3.1339e-05	0.00034823	2.0888e-05	6.9645e-06
14.3828	1.268e+06	18005	209.97	53.818	446.29	0.020355	95.113	7.7865	92.043	8.1529	160.37	0.10174	43.549	0.074998	0.79062	0.16266	21.538	0.040389	0.60356	0.056371	2.2752	0.77565	137.89	1.7967	4.374	0.04203	0.10283	0.0067264	0.016823	0.001009	0.01009	0.0013453	0.0067264	0.001009	0.0033632	0.00067264	0.0016823	0.00013453	0.00067264	0.00030268	6.7264e-05	0.00020174	6.7264e-05	0.00023538	3.0268e-05	0.00067264	4.7091e-05	0.001009	0.00020174	0.00090803	6.7264e-05	0.00067264	6.7264e-05	0.00016823	2.6903e-05	0.00013453	3.3632e-05	1.3453e-05	6.7264e-05	1.009e-05	6.7264e-05	1.3453e-05	3.3632e-05	6.7264e-06	3.0268e-05	6.7264e-06	2.6903e-05	3.0268e-06	3.3632e-05	6.7264e-06	0.0001009	0.0001009	0.00020174	3.3632e-05	3.3632e-05	3.0268e-05	0.00033632	2.0174e-05	6.7264e-06
14.5826	1.2353e+06	17093	199.33	51.09	423.67	0.019324	90.293	7.3918	87.378	7.7397	152.25	0.096583	41.342	0.071197	0.75055	0.15442	20.446	0.039003	0.58285	0.054436	2.1972	0.74903	133.16	1.7351	4.2239	0.040588	0.099298	0.0064956	0.016246	0.00097434	0.0097434	0.0012991	0.0064956	0.00097434	0.0032478	0.00064956	0.0016246	0.00012991	0.00064956	0.00029229	6.4956e-05	0.00019482	6.4956e-05	0.00022731	2.9229e-05	0.00064956	4.5475e-05	0.00097434	0.00019482	0.00087687	6.4956e-05	0.00064956	6.4956e-05	0.00016246	2.598e-05	0.00012991	3.2478e-05	1.2991e-05	6.4956e-05	9.7434e-06	6.4956e-05	1.2991e-05	3.2478e-05	6.4956e-06	2.9229e-05	6.4956e-06	2.598e-05	2.9229e-06	3.2478e-05	6.4956e-06	9.7434e-05	9.7434e-05	0.00019482	3.2478e-05	3.2478e-05	2.9229e-05	0.00032478	1.9482e-05	6.4956e-06
14.7853	1.2034e+06	16226	189.23	48.501	402.2	0.018344	85.716	7.0172	82.949	7.3475	144.53	0.091688	39.246	0.067589	0.71251	0.14659	19.41	0.03766	0.56277	0.052561	2.1215	0.72323	128.58	1.6753	4.0784	0.03919	0.095878	0.0062719	0.015686	0.00094078	0.0094078	0.0012544	0.0062719	0.00094078	0.0031359	0.00062719	0.0015686	0.00012544	0.00062719	0.00028222	6.2719e-05	0.00018811	6.2719e-05	0.00021948	2.8222e-05	0.00062719	4.3908e-05	0.00094078	0.00018811	0.00084667	6.2719e-05	0.00062719	6.2719e-05	0.00015686	2.5085e-05	0.00012544	3.1359e-05	1.2544e-05	6.2719e-05	9.4078e-06	6.2719e-05	1.2544e-05	3.1359e-05	6.2719e-06	2.8222e-05	6.2719e-06	2.5085e-05	2.8222e-06	3.1359e-05	6.2719e-06	9.4078e-05	9.4078e-05	0.00018811	3.1359e-05	3.1359e-05	2.8222e-05	0.00031359	1.8811e-05	6.2719e-06
14.9908	1.1721e+06	15404	179.64	46.043	381.81	0.017414	81.372	6.6616	78.745	6.9751	137.2	0.087041	37.257	0.064163	0.6764	0.13916	18.426	0.036358	0.54332	0.050744	2.0481	0.69823	124.13	1.6174	3.9374	0.037835	0.092564	0.0060551	0.015144	0.00090826	0.0090826	0.001211	0.0060551	0.00090826	0.0030275	0.00060551	0.0015144	0.0001211	0.00060551	0.00027247	6.0551e-05	0.0001816	6.0551e-05	0.00021189	2.7247e-05	0.00060551	4.239e-05	0.00090826	0.0001816	0.0008174	6.0551e-05	0.00060551	6.0551e-05	0.00015144	2.4218e-05	0.0001211	3.0275e-05	1.211e-05	6.0551e-05	9.0826e-06	6.0551e-05	1.211e-05	3.0275e-05	6.0551e-06	2.7247e-05	6.0551e-06	2.4218e-05	2.7247e-06	3.0275e-05	6.0551e-06	9.0826e-05	9.0826e-05	0.0001816	3.0275e-05	3.0275e-05	2.7247e-05	0.00030275	1.816e-05	6.0551e-06
15.1991	1.1416e+06	14623	170.53	43.709	362.46	0.016532	77.248	6.3239	74.754	6.6216	130.25	0.08263	35.369	0.060911	0.64212	0.13211	17.492	0.035096	0.52446	0.048984	1.9771	0.674	119.82	1.5613	3.8008	0.036522	0.089352	0.005845	0.014618	0.00087674	0.0087674	0.001169	0.005845	0.00087674	0.0029225	0.0005845	0.0014618	0.0001169	0.0005845	0.00026301	5.845e-05	0.0001753	5.845e-05	0.00020454	2.6301e-05	0.0005845	4.092e-05	0.00087674	0.0001753	0.00078903	5.845e-05	0.0005845	5.845e-05	0.00014618	2.3377e-05	0.0001169	2.9225e-05	1.169e-05	5.845e-05	8.7674e-06	5.845e-05	1.169e-05	2.9225e-05	5.845e-06	2.6301e-05	5.845e-06	2.3377e-05	2.6301e-06	2.9225e-05	5.845e-06	8.7674e-05	8.7674e-05	0.0001753	2.9225e-05	2.9225e-05	2.6301e-05	0.00029225	1.753e-05	5.845e-06
15.4103	1.1117e+06	13882	161.89	41.494	344.09	0.015694	73.333	6.0034	70.965	6.286	123.65	0.078442	33.576	0.057824	0.60957	0.12541	16.606	0.033874	0.5062	0.047278	1.9082	0.65053	115.65	1.5069	3.6684	0.03525	0.08624	0.0056414	0.014109	0.00084621	0.0084621	0.0011283	0.0056414	0.00084621	0.0028207	0.00056414	0.0014109	0.00011283	0.00056414	0.00025385	5.6414e-05	0.0001692	5.6414e-05	0.00019741	2.5385e-05	0.00056414	3.9494e-05	0.00084621	0.0001692	0.00076155	5.6414e-05	0.00056414	5.6414e-05	0.00014109	2.2563e-05	0.00011283	2.8207e-05	1.1283e-05	5.6414e-05	8.4621e-06	5.6414e-05	1.1283e-05	2.8207e-05	5.6414e-06	2.5385e-05	5.6414e-06	2.2563e-05	2.5385e-06	2.8207e-05	5.6414e-06	8.4621e-05	8.4621e-05	0.0001692	2.8207e-05	2.8207e-05	2.5385e-05	0.00028207	1.692e-05	5.6414e-06
15.6245	1.0825e+06	13179	153.69	39.391	326.65	0.014899	69.616	5.6992	67.369	5.9674	117.38	0.074466	31.875	0.054894	0.57868	0.11906	15.764	0.03269	0.4885	0.045625	1.8415	0.62779	111.61	1.4542	3.5402	0.034018	0.083225	0.0054442	0.013616	0.00081663	0.0081663	0.0010888	0.0054442	0.00081663	0.0027221	0.00054442	0.0013616	0.00010888	0.00054442	0.00024498	5.4442e-05	0.00016328	5.4442e-05	0.00019051	2.4498e-05	0.00054442	3.8114e-05	0.00081663	0.00016328	0.00073493	5.4442e-05	0.00054442	5.4442e-05	0.00013616	2.1774e-05	0.00010888	2.7221e-05	1.0888e-05	5.4442e-05	8.1663e-06	5.4442e-05	1.0888e-05	2.7221e-05	5.4442e-06	2.4498e-05	5.4442e-06	2.1774e-05	2.4498e-06	2.7221e-05	5.4442e-06	8.1663e-05	8.1663e-05	0.00016328	2.7221e-05	2.7221e-05	2.4498e-05	0.00027221	1.6328e-05	5.4442e-06
15.8416	1.054e+06	12511	145.9	37.395	310.1	0.014143	66.088	5.4103	63.954	5.6649	111.43	0.070692	30.259	0.052111	0.54935	0.11302	14.965	0.031543	0.47136	0.044024	1.7769	0.60576	107.69	1.4032	3.4159	0.032824	0.080305	0.0052531	0.013138	0.00078797	0.0078797	0.0010506	0.0052531	0.00078797	0.0026266	0.00052531	0.0013138	0.00010506	0.00052531	0.00023638	5.2531e-05	0.00015755	5.2531e-05	0.00018383	2.3638e-05	0.00052531	3.6776e-05	0.00078797	0.00015755	0.00070914	5.2531e-05	0.00052531	5.2531e-05	0.00013138	2.101e-05	0.00010506	2.6266e-05	1.0506e-05	5.2531e-05	7.8797e-06	5.2531e-05	1.0506e-05	2.6266e-05	5.2531e-06	2.3638e-05	5.2531e-06	2.101e-05	2.3638e-06	2.6266e-05	5.2531e-06	7.8797e-05	7.8797e-05	0.00015755	2.6266e-05	2.6266e-05	2.3638e-05	0.00026266	1.5755e-05	5.2531e-06
16.0618	1.0261e+06	11877	138.5	35.499	294.38	0.013427	62.738	5.1361	60.713	5.3778	105.79	0.067109	28.726	0.04947	0.52151	0.10729	14.207	0.030432	0.45476	0.042473	1.7143	0.58442	103.9	1.3538	3.2956	0.031668	0.077476	0.0050681	0.012676	0.00076022	0.0076022	0.0010136	0.0050681	0.00076022	0.0025341	0.00050681	0.0012676	0.00010136	0.00050681	0.00022806	5.0681e-05	0.000152	5.0681e-05	0.00017735	2.2806e-05	0.00050681	3.5481e-05	0.00076022	0.000152	0.00068417	5.0681e-05	0.00050681	5.0681e-05	0.00012676	2.027e-05	0.00010136	2.5341e-05	1.0136e-05	5.0681e-05	7.6022e-06	5.0681e-05	1.0136e-05	2.5341e-05	5.0681e-06	2.2806e-05	5.0681e-06	2.027e-05	2.2806e-06	2.5341e-05	5.0681e-06	7.6022e-05	7.6022e-05	0.000152	2.5341e-05	2.5341e-05	2.2806e-05	0.00025341	1.52e-05	5.0681e-06
16.285	998840	11275	131.48	33.7	279.46	0.012746	59.559	4.8758	57.636	5.1053	100.42	0.063708	27.27	0.046963	0.49508	0.10186	13.487	0.029356	0.43868	0.040972	1.6537	0.56376	100.22	1.3059	3.1791	0.030549	0.074738	0.004889	0.012227	0.00073335	0.0073335	0.00097779	0.004889	0.00073335	0.0024445	0.0004889	0.0012227	9.7779e-05	0.0004889	0.00021999	4.889e-05	0.00014663	4.889e-05	0.00017108	2.1999e-05	0.0004889	3.4227e-05	0.00073335	0.00014663	0.00065998	4.889e-05	0.0004889	4.889e-05	0.00012227	1.9554e-05	9.7779e-05	2.4445e-05	9.7779e-06	4.889e-05	7.3335e-06	4.889e-05	9.7779e-06	2.4445e-05	4.889e-06	2.1999e-05	4.889e-06	1.9554e-05	2.1999e-06	2.4445e-05	4.889e-06	7.3335e-05	7.3335e-05	0.00014663	2.4445e-05	2.4445e-05	2.1999e-05	0.00024445	1.4663e-05	4.889e-06
16.5113	972230	10703	124.82	31.992	265.3	0.0121	56.54	4.6287	54.715	4.8465	95.334	0.060479	25.888	0.044583	0.46999	0.096693	12.803	0.028314	0.42312	0.039518	1.595	0.54376	96.669	1.2596	3.0663	0.029465	0.072086	0.0047155	0.011794	0.00070732	0.0070732	0.0009431	0.0047155	0.00070732	0.0023577	0.00047155	0.0011794	9.431e-05	0.00047155	0.00021219	4.7155e-05	0.00014143	4.7155e-05	0.00016501	2.1219e-05	0.00047155	3.3012e-05	0.00070732	0.00014143	0.00063656	4.7155e-05	0.00047155	4.7155e-05	0.00011794	1.886e-05	9.431e-05	2.3577e-05	9.431e-06	4.7155e-05	7.0732e-06	4.7155e-05	9.431e-06	2.3577e-05	4.7155e-06	2.1219e-05	4.7155e-06	1.886e-05	2.1219e-06	2.3577e-05	4.7155e-06	7.0732e-05	7.0732e-05	0.00014143	2.3577e-05	2.3577e-05	2.1219e-05	0.00023577	1.4143e-05	4.7155e-06
16.7408	946230	10161	118.49	30.371	251.85	0.011487	53.674	4.3941	51.942	4.6009	90.503	0.057414	24.576	0.042323	0.44617	0.091793	12.154	0.027306	0.40805	0.038111	1.5382	0.5244	93.226	1.2147	2.9571	0.028415	0.069519	0.0045476	0.011374	0.00068213	0.0068213	0.00090951	0.0045476	0.00068213	0.0022738	0.00045476	0.0011374	9.0951e-05	0.00045476	0.00020463	4.5476e-05	0.00013639	4.5476e-05	0.00015914	2.0463e-05	0.00045476	3.1837e-05	0.00068213	0.00013639	0.00061389	4.5476e-05	0.00045476	4.5476e-05	0.00011374	1.8188e-05	9.0951e-05	2.2738e-05	9.0951e-06	4.5476e-05	6.8213e-06	4.5476e-05	9.0951e-06	2.2738e-05	4.5476e-06	2.0463e-05	4.5476e-06	1.8188e-05	2.0463e-06	2.2738e-05	4.5476e-06	6.8213e-05	6.8213e-05	0.00013639	2.2738e-05	2.2738e-05	2.0463e-05	0.00022738	1.3639e-05	4.5476e-06
16.9735	920830	9645.8	112.49	28.831	239.09	0.010905	50.954	4.1714	49.309	4.3677	85.916	0.054504	23.33	0.040178	0.42355	0.08714	11.538	0.02633	0.39346	0.036748	1.4832	0.50565	89.893	1.1713	2.8514	0.0274	0.067034	0.004385	0.010967	0.00065775	0.0065775	0.000877	0.004385	0.00065775	0.0021925	0.0004385	0.0010967	8.77e-05	0.0004385	0.00019732	4.385e-05	0.00013151	4.385e-05	0.00015345	1.9732e-05	0.0004385	3.0699e-05	0.00065775	0.00013151	0.00059195	4.385e-05	0.0004385	4.385e-05	0.00010967	1.7538e-05	8.77e-05	2.1925e-05	8.77e-06	4.385e-05	6.5775e-06	4.385e-05	8.77e-06	2.1925e-05	4.385e-06	1.9732e-05	4.385e-06	1.7538e-05	1.9732e-06	2.1925e-05	4.385e-06	6.5775e-05	6.5775e-05	0.00013151	2.1925e-05	2.1925e-05	1.9732e-05	0.00021925	1.3151e-05	4.385e-06
17.2093	896020	9157	106.79	27.37	226.97	0.010352	48.372	3.96	46.81	4.1463	81.561	0.051742	22.148	0.038142	0.40209	0.082724	10.954	0.025385	0.37935	0.03543	1.43	0.48751	86.668	1.1293	2.7491	0.026416	0.064628	0.0042277	0.010574	0.00063415	0.0063415	0.00084553	0.0042277	0.00063415	0.0021138	0.00042277	0.0010574	8.4553e-05	0.00042277	0.00019024	4.2277e-05	0.0001268	4.2277e-05	0.00014794	1.9024e-05	0.00042277	2.9597e-05	0.00063415	0.0001268	0.00057071	4.2277e-05	0.00042277	4.2277e-05	0.00010574	1.6909e-05	8.4553e-05	2.1138e-05	8.4553e-06	4.2277e-05	6.3415e-06	4.2277e-05	8.4553e-06	2.1138e-05	4.2277e-06	1.9024e-05	4.2277e-06	1.6909e-05	1.9024e-06	2.1138e-05	4.2277e-06	6.3415e-05	6.3415e-05	0.0001268	2.1138e-05	2.1138e-05	1.9024e-05	0.00021138	1.268e-05	4.2277e-06
17.4485	871800	8692.9	101.37	25.983	215.47	0.0098273	45.92	3.7593	44.438	3.9362	77.428	0.049119	21.025	0.036209	0.38171	0.078531	10.398	0.024117	0.3604	0.03366	1.3586	0.46316	82.34	1.0729	2.6118	0.025097	0.061401	0.0040165	0.010045	0.00060248	0.0060248	0.0008033	0.0040165	0.00060248	0.0020083	0.00040165	0.0010045	8.033e-05	0.00040165	0.00018074	4.0165e-05	0.00012046	4.0165e-05	0.00014055	1.8074e-05	0.00040165	2.8119e-05	0.00060248	0.00012046	0.00054221	4.0165e-05	0.00040165	4.0165e-05	0.00010045	1.6064e-05	8.033e-05	2.0083e-05	8.033e-06	4.0165e-05	6.0248e-06	4.0165e-05	8.033e-06	2.0083e-05	4.0165e-06	1.8074e-05	4.0165e-06	1.6064e-05	1.8074e-06	2.0083e-05	4.0165e-06	6.0248e-05	6.0248e-05	0.00012046	2.0083e-05	2.0083e-05	1.8074e-05	0.00020083	1.2046e-05	4.0165e-06
17.691	848150	8252.3	96.237	24.666	204.55	0.0093293	43.593	3.5687	42.185	3.7367	73.503	0.04663	19.96	0.034374	0.36236	0.074551	9.8714	0.022897	0.34217	0.031958	1.2899	0.43973	78.175	1.0186	2.4797	0.023828	0.058295	0.0038134	0.0095373	0.000572	0.00572	0.00076267	0.0038134	0.000572	0.0019067	0.00038134	0.00095373	7.6267e-05	0.00038134	0.00017159	3.8134e-05	0.00011437	3.8134e-05	0.00013344	1.7159e-05	0.00038134	2.6697e-05	0.000572	0.00011437	0.00051478	3.8134e-05	0.00038134	3.8134e-05	9.5373e-05	1.5252e-05	7.6267e-05	1.9067e-05	7.6267e-06	3.8134e-05	5.72e-06	3.8134e-05	7.6267e-06	1.9067e-05	3.8134e-06	1.7159e-05	3.8134e-06	1.5252e-05	1.7159e-06	1.9067e-05	3.8134e-06	5.72e-05	5.72e-05	0.00011437	1.9067e-05	1.9067e-05	1.7159e-05	0.00019067	1.1437e-05	3.8134e-06
17.9369	825050	7834	91.359	23.416	194.18	0.0088564	41.383	3.3879	40.047	3.5473	69.778	0.044266	18.948	0.032631	0.344	0.070773	9.3711	0.021739	0.32486	0.030341	1.2246	0.41749	74.22	0.96709	2.3543	0.022622	0.055346	0.0036205	0.0090549	0.00054307	0.0054307	0.00072409	0.0036205	0.00054307	0.0018102	0.00036205	0.00090549	7.2409e-05	0.00036205	0.00016291	3.6205e-05	0.00010858	3.6205e-05	0.00012669	1.6291e-05	0.00036205	2.5346e-05	0.00054307	0.00010858	0.00048874	3.6205e-05	0.00036205	3.6205e-05	9.0549e-05	1.448e-05	7.2409e-05	1.8102e-05	7.2409e-06	3.6205e-05	5.4307e-06	3.6205e-05	7.2409e-06	1.8102e-05	3.6205e-06	1.6291e-05	3.6205e-06	1.448e-05	1.6291e-06	1.8102e-05	3.6205e-06	5.4307e-05	5.4307e-05	0.00010858	1.8102e-05	1.8102e-05	1.6291e-05	0.00018102	1.0858e-05	3.6205e-06
18.1861	802500	7437	86.729	22.229	184.34	0.0084076	39.286	3.2162	38.018	3.3675	66.242	0.042023	17.988	0.030978	0.32656	0.067186	8.8961	0.020639	0.30843	0.028806	1.1627	0.39637	70.466	0.91817	2.2352	0.021478	0.052546	0.0034373	0.0085968	0.0005156	0.005156	0.00068746	0.0034373	0.0005156	0.0017187	0.00034373	0.00085968	6.8746e-05	0.00034373	0.00015467	3.4373e-05	0.00010309	3.4373e-05	0.00012029	1.5467e-05	0.00034373	2.4064e-05	0.0005156	0.00010309	0.00046402	3.4373e-05	0.00034373	3.4373e-05	8.5968e-05	1.3748e-05	6.8746e-05	1.7187e-05	6.8746e-06	3.4373e-05	5.156e-06	3.4373e-05	6.8746e-06	1.7187e-05	3.4373e-06	1.5467e-05	3.4373e-06	1.3748e-05	1.5467e-06	1.7187e-05	3.4373e-06	5.156e-05	5.156e-05	0.00010309	1.7187e-05	1.7187e-05	1.5467e-05	0.00017187	1.0309e-05	3.4373e-06
18.4389	780490	7060.1	82.333	21.103	174.99	0.0079815	37.295	3.0532	36.091	3.1969	62.884	0.039893	17.076	0.029408	0.31001	0.063781	8.4452	0.019595	0.29283	0.027349	1.1039	0.37632	66.901	0.87172	2.1221	0.020392	0.049888	0.0032634	0.008162	0.00048952	0.0048952	0.00065269	0.0032634	0.00048952	0.0016317	0.00032634	0.0008162	6.5269e-05	0.00032634	0.00014685	3.2634e-05	9.7877e-05	3.2634e-05	0.0001142	1.4685e-05	0.00032634	2.2847e-05	0.00048952	9.7877e-05	0.00044055	3.2634e-05	0.00032634	3.2634e-05	8.162e-05	1.3052e-05	6.5269e-05	1.6317e-05	6.5269e-06	3.2634e-05	4.8952e-06	3.2634e-05	6.5269e-06	1.6317e-05	3.2634e-06	1.4685e-05	3.2634e-06	1.3052e-05	1.4685e-06	1.6317e-05	3.2634e-06	4.8952e-05	4.8952e-05	9.7877e-05	1.6317e-05	1.6317e-05	1.4685e-05	0.00016317	9.7877e-06	3.2634e-06
18.6951	759010	6702.2	78.16	20.033	166.13	0.0075769	35.405	2.8984	34.262	3.0348	59.697	0.037871	16.211	0.027917	0.2943	0.060548	8.0172	0.018604	0.27801	0.025966	1.048	0.35728	63.517	0.82763	2.0148	0.01936	0.047365	0.0030984	0.0077491	0.00046476	0.0046476	0.00061967	0.0030984	0.00046476	0.0015492	0.00030984	0.00077491	6.1967e-05	0.00030984	0.00013942	3.0984e-05	9.2926e-05	3.0984e-05	0.00010842	1.3942e-05	0.00030984	2.1691e-05	0.00046476	9.2926e-05	0.00041826	3.0984e-05	0.00030984	3.0984e-05	7.7491e-05	1.2392e-05	6.1967e-05	1.5492e-05	6.1967e-06	3.0984e-05	4.6476e-06	3.0984e-05	6.1967e-06	1.5492e-05	3.0984e-06	1.3942e-05	3.0984e-06	1.2392e-05	1.3942e-06	1.5492e-05	3.0984e-06	4.6476e-05	4.6476e-05	9.2926e-05	1.5492e-05	1.5492e-05	1.3942e-05	0.00015492	9.2926e-06	3.0984e-06
18.9549	738040	6362.6	74.199	19.018	157.71	0.0071929	33.61	2.7515	32.525	2.881	56.672	0.035952	15.389	0.026502	0.27938	0.057479	7.6109	0.017663	0.26395	0.024652	0.99502	0.33921	60.304	0.78576	1.9128	0.018381	0.044969	0.0029416	0.0073571	0.00044125	0.0044125	0.00058833	0.0029416	0.00044125	0.0014708	0.00029416	0.00073571	5.8833e-05	0.00029416	0.00013237	2.9416e-05	8.8225e-05	2.9416e-05	0.00010294	1.3237e-05	0.00029416	2.0594e-05	0.00044125	8.8225e-05	0.0003971	2.9416e-05	0.00029416	2.9416e-05	7.3571e-05	1.1765e-05	5.8833e-05	1.4708e-05	5.8833e-06	2.9416e-05	4.4125e-06	2.9416e-05	5.8833e-06	1.4708e-05	2.9416e-06	1.3237e-05	2.9416e-06	1.1765e-05	1.3237e-06	1.4708e-05	2.9416e-06	4.4125e-05	4.4125e-05	8.8225e-05	1.4708e-05	1.4708e-05	1.3237e-05	0.00014708	8.8225e-06	2.9416e-06
19.2184	717580	6040.1	70.438	18.054	149.71	0.0068284	31.907	2.6121	30.877	2.735	53.799	0.03413	14.609	0.025159	0.26522	0.054566	7.2251	0.01677	0.2506	0.023405	0.94469	0.32205	57.254	0.74602	1.8161	0.017451	0.042694	0.0027928	0.006985	0.00041893	0.0041893	0.00055857	0.0027928	0.00041893	0.0013964	0.00027928	0.0006985	5.5857e-05	0.00027928	0.00012567	2.7928e-05	8.3762e-05	2.7928e-05	9.7732e-05	1.2567e-05	0.00027928	1.9552e-05	0.00041893	8.3762e-05	0.00037702	2.7928e-05	0.00027928	2.7928e-05	6.985e-05	1.117e-05	5.5857e-05	1.3964e-05	5.5857e-06	2.7928e-05	4.1893e-06	2.7928e-05	5.5857e-06	1.3964e-05	2.7928e-06	1.2567e-05	2.7928e-06	1.117e-05	1.2567e-06	1.3964e-05	2.7928e-06	4.1893e-05	4.1893e-05	8.3762e-05	1.3964e-05	1.3964e-05	1.2567e-05	0.00013964	8.3762e-06	2.7928e-06
