"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90
1.15064	4.0567e+07	1.9904e+06	23211	5949.2	49334	2.2501	10514	860.74	10175	901.25	17728	11.247	4814	8.2905	87.398	17.981	2380.9	3.8814	58.003	5.4173	218.65	74.541	13252	172.67	420.35	4.0391	9.8818	0.64642	1.6167	0.096963	0.96963	0.12928	0.64642	0.096963	0.32321	0.064642	0.16167	0.012928	0.064642	0.029088	0.0064642	0.019387	0.0064642	0.022621	0.0029088	0.064642	0.0045255	0.096963	0.019387	0.087263	0.0064642	0.064642	0.0064642	0.016167	0.0025854	0.012928	0.0032321	0.0012928	0.0064642	0.00096963	0.0064642	0.0012928	0.0032321	0.00064642	0.0029088	0.00064642	0.0025854	0.00029088	0.0032321	0.00064642	0.0096963	0.0096963	0.019387	0.0032321	0.0032321	0.0029088	0.032321	0.0019387	0.00064642
1.16663	4.0022e+07	1.9569e+06	22821	5849.2	48505	2.2123	10337	846.27	10004	886.1	17430	11.058	4733.1	8.1512	85.928	17.679	2340.8	3.8162	57.028	5.3262	214.98	73.288	13029	169.77	413.28	3.9712	9.7157	0.63555	1.5895	0.095333	0.95333	0.12711	0.63555	0.095333	0.31778	0.063555	0.15895	0.012711	0.063555	0.028599	0.0063555	0.019061	0.0063555	0.02224	0.0028599	0.063555	0.0044494	0.095333	0.019061	0.085796	0.0063555	0.063555	0.0063555	0.015895	0.002542	0.012711	0.0031778	0.0012711	0.0063555	0.00095333	0.0063555	0.0012711	0.0031778	0.00063555	0.0028599	0.00063555	0.002542	0.00028599	0.0031778	0.00063555	0.0095333	0.0095333	0.019061	0.0031778	0.0031778	0.0028599	0.031778	0.0019061	0.00063555
1.18284	3.9482e+07	1.9239e+06	22436	5750.4	47686	2.1749	10163	831.98	9834.7	871.14	17136	10.871	4653.2	8.0136	84.478	17.38	2301.3	3.7518	56.065	5.2363	211.35	72.051	12809	166.9	406.3	3.9042	9.5517	0.62482	1.5627	0.093724	0.93724	0.12496	0.62482	0.093724	0.31241	0.062482	0.15627	0.012496	0.062482	0.028116	0.0062482	0.01874	0.0062482	0.021865	0.0028116	0.062482	0.0043743	0.093724	0.01874	0.084347	0.0062482	0.062482	0.0062482	0.015627	0.002499	0.012496	0.0031241	0.0012496	0.0062482	0.00093724	0.0062482	0.0012496	0.0031241	0.00062482	0.0028116	0.00062482	0.002499	0.00028116	0.0031241	0.00062482	0.0093724	0.0093724	0.01874	0.0031241	0.0031241	0.0028116	0.031241	0.001874	0.00062482
1.19928	3.8948e+07	1.8913e+06	22055	5653	46878	2.1381	9990.6	817.88	9668	856.37	16845	10.687	4574.3	7.8777	83.046	17.086	2262.3	3.6882	55.115	5.1476	207.77	70.829	12592	164.07	399.42	3.838	9.3898	0.61423	1.5362	0.092135	0.92135	0.12285	0.61423	0.092135	0.30712	0.061423	0.15362	0.012285	0.061423	0.027639	0.0061423	0.018422	0.0061423	0.021494	0.0027639	0.061423	0.0043001	0.092135	0.018422	0.082918	0.0061423	0.061423	0.0061423	0.015362	0.0024567	0.012285	0.0030712	0.0012285	0.0061423	0.00092135	0.0061423	0.0012285	0.0030712	0.00061423	0.0027639	0.00061423	0.0024567	0.00027639	0.0030712	0.00061423	0.0092135	0.0092135	0.018422	0.0030712	0.0030712	0.0027639	0.030712	0.0018422	0.00061423
1.21595	3.8419e+07	1.8591e+06	21680	5556.8	46080	2.1017	9820.5	803.96	9503.5	841.8	16559	10.505	4496.5	7.7436	81.632	16.795	2223.8	3.6254	54.177	5.06	204.23	69.624	12378	161.28	392.62	3.7727	9.23	0.60378	1.5101	0.090567	0.90567	0.12076	0.60378	0.090567	0.30189	0.060378	0.15101	0.012076	0.060378	0.027169	0.0060378	0.018108	0.0060378	0.021129	0.0027169	0.060378	0.0042269	0.090567	0.018108	0.081506	0.0060378	0.060378	0.0060378	0.015101	0.0024149	0.012076	0.0030189	0.0012076	0.0060378	0.00090567	0.0060378	0.0012076	0.0030189	0.00060378	0.0027169	0.00060378	0.0024149	0.00027169	0.0030189	0.00060378	0.0090567	0.0090567	0.018108	0.0030189	0.0030189	0.0027169	0.030189	0.0018108	0.00060378
1.23285	3.7896e+07	1.8273e+06	21310	5461.8	45292	2.0658	9652.7	790.22	9341.1	827.41	16276	10.325	4419.6	7.6113	80.237	16.508	2185.8	3.5634	53.251	4.9735	200.74	68.434	12166	158.52	385.91	3.7082	9.0722	0.59346	1.4843	0.089019	0.89019	0.11869	0.59346	0.089019	0.29673	0.059346	0.14843	0.011869	0.059346	0.026704	0.0059346	0.017799	0.0059346	0.020767	0.0026704	0.059346	0.0041547	0.089019	0.017799	0.080113	0.0059346	0.059346	0.0059346	0.014843	0.0023736	0.011869	0.0029673	0.0011869	0.0059346	0.00089019	0.0059346	0.0011869	0.0029673	0.00059346	0.0026704	0.00059346	0.0023736	0.00026704	0.0029673	0.00059346	0.0089019	0.0089019	0.017799	0.0029673	0.0029673	0.0026704	0.029673	0.0017799	0.00059346
1.24998	3.7378e+07	1.7959e+06	20944	5368.1	44515	2.0303	9487	776.66	9180.8	813.21	15996	10.148	4343.8	7.4807	78.86	16.224	2148.3	3.5023	52.337	4.8881	197.3	67.26	11957	155.8	379.28	3.6446	8.9165	0.58328	1.4588	0.087491	0.87491	0.11666	0.58328	0.087491	0.29164	0.058328	0.14588	0.011666	0.058328	0.026246	0.0058328	0.017494	0.0058328	0.020411	0.0026246	0.058328	0.0040834	0.087491	0.017494	0.078739	0.0058328	0.058328	0.0058328	0.014588	0.0023329	0.011666	0.0029164	0.0011666	0.0058328	0.00087491	0.0058328	0.0011666	0.0029164	0.00058328	0.0026246	0.00058328	0.0023329	0.00026246	0.0029164	0.00058328	0.0087491	0.0087491	0.017494	0.0029164	0.0029164	0.0026246	0.029164	0.0017493	0.00058328
1.26735	3.6866e+07	1.765e+06	20583	5275.6	43748	1.9953	9323.6	763.28	9022.6	799.2	15721	9.9731	4268.9	7.3518	77.501	15.945	2111.3	3.4419	51.435	4.8039	193.9	66.101	11751	153.12	372.75	3.5818	8.7629	0.57323	1.4337	0.085984	0.85984	0.11465	0.57323	0.085984	0.28661	0.057323	0.14337	0.011465	0.057323	0.025794	0.0057323	0.017192	0.0057323	0.020059	0.0025794	0.057323	0.0040131	0.085984	0.017192	0.077382	0.0057323	0.057323	0.0057323	0.014337	0.0022927	0.011465	0.0028661	0.0011465	0.0057323	0.00085984	0.0057323	0.0011465	0.0028661	0.00057323	0.0025794	0.00057323	0.0022927	0.00025794	0.0028661	0.00057323	0.0085984	0.0085984	0.017192	0.0028661	0.0028661	0.0025794	0.028661	0.0017192	0.00057323
1.28496	3.636e+07	1.7345e+06	20227	5184.3	42991	1.9608	9162.3	750.07	8866.5	785.37	15449	9.8006	4195.1	7.2246	76.161	15.669	2074.7	3.3824	50.545	4.7208	190.54	64.957	11548	150.47	366.3	3.5198	8.6113	0.56331	1.4088	0.084496	0.84496	0.11266	0.56331	0.084496	0.28165	0.056331	0.14088	0.011266	0.056331	0.025348	0.0056331	0.016895	0.0056331	0.019712	0.0025348	0.056331	0.0039436	0.084496	0.016895	0.076043	0.0056331	0.056331	0.0056331	0.014088	0.002253	0.011266	0.0028165	0.0011266	0.0056331	0.00084496	0.0056331	0.0011266	0.0028165	0.00056331	0.0025348	0.00056331	0.002253	0.00025348	0.0028165	0.00056331	0.0084496	0.0084496	0.016895	0.0028165	0.0028165	0.0025348	0.028165	0.0016895	0.00056331
1.30282	3.5858e+07	1.7043e+06	19875	5094.2	42244	1.9267	9003.1	737.04	8712.4	771.73	15180	9.6303	4122.2	7.0991	74.837	15.397	2038.7	3.3236	49.667	4.6388	187.23	63.829	11347	147.86	359.94	3.4587	8.4617	0.55352	1.3844	0.083028	0.83028	0.1107	0.55352	0.083028	0.27676	0.055352	0.13844	0.01107	0.055352	0.024907	0.0055352	0.016601	0.0055352	0.01937	0.0024907	0.055352	0.0038751	0.083028	0.016601	0.074722	0.0055352	0.055352	0.0055352	0.013844	0.0022139	0.01107	0.0027676	0.001107	0.0055352	0.00083028	0.0055352	0.001107	0.0027676	0.00055352	0.0024907	0.00055352	0.0022139	0.00024907	0.0027676	0.00055352	0.0083028	0.0083028	0.016601	0.0027676	0.0027676	0.0024907	0.027676	0.0016601	0.00055352
