"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=3	Z=4	Z=5	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=43	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=61	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90	Z=92
1.0023	16.27	1.1405	0.0012063	6.3278e-05	0.0017113	0.022966	0.0028239	0.026221	0.00017004	0.004908	0.00054078	0.005096	0.00073634	0.0030562	2.3398e-05	0.00022743	6.7119e-06	0.00015015	2.6017e-05	0.00045748	4.6388e-05	0.00018491	0.00018239	0.00031027	0.00026628	0.0014054	1.1717e-06	5.1913e-05	9.6303e-07	1.2437e-06	9.2998e-08	2.01e-07	1.2781e-08	7.5321e-08	1.396e-08	3.9136e-08	1.2725e-08	4.1903e-08	9.3495e-09	2.3018e-08	4.1614e-09	1.166e-08	1.3663e-09	4.4725e-09	2.3043e-09	6.6556e-09	2.1634e-09	5.8082e-09	1.278e-09	6.8524e-09	1.4457e-09	8.3932e-09	1.6078e-09	3.9646e-09	9.5269e-10	9.8638e-09	8.8164e-10	2.638e-09	6.2802e-10	2.3414e-09	2.7711e-10	2.6411e-09	4.5411e-10	2.0623e-09	5.1481e-10	2.0636e-09	7.8118e-10	1.2967e-09	2.6487e-10	1.3135e-09	1.9167e-10	1.1964e-09	1.0782e-10	1.1972e-09	4.1378e-10	1.7777e-09	1.1694e-09	2.2217e-09	4.1431e-10	7.2631e-10	2.2277e-10	2.0801e-09	1.0834e-10	1.2111e-10	7.3346e-11
1.01623	16.716	1.1633	0.0012319	6.5077e-05	0.0017521	0.023442	0.0028875	0.026744	0.00017402	0.0050018	0.00055233	0.0051993	0.00075161	0.0031196	2.3991e-05	0.0002327	6.9026e-06	0.0001523	2.6706e-05	0.00046728	4.7433e-05	0.00018899	0.00018607	0.0003167	0.00027149	0.0014351	1.2024e-06	5.3058e-05	9.8343e-07	1.2701e-06	9.4972e-08	2.0527e-07	1.3052e-08	7.6866e-08	1.4257e-08	3.9939e-08	1.2988e-08	4.2778e-08	9.5481e-09	2.3507e-08	4.2498e-09	1.1908e-08	1.3954e-09	4.5676e-09	2.3533e-09	6.7921e-09	2.2094e-09	5.9274e-09	1.3043e-09	6.9932e-09	1.4754e-09	8.5661e-09	1.6409e-09	4.0462e-09	9.7228e-10	1.0067e-08	8.9979e-10	2.6922e-09	6.4093e-10	2.3896e-09	2.828e-10	2.6954e-09	4.6345e-10	2.1048e-09	5.2541e-10	2.1061e-09	7.9727e-10	1.3234e-09	2.7032e-10	1.3405e-09	1.9562e-10	1.2211e-09	1.1005e-10	1.2219e-09	4.223e-10	1.8143e-09	1.1935e-09	2.2675e-09	4.2285e-10	7.4129e-10	2.2737e-10	2.1231e-09	1.1058e-10	1.2361e-10	7.4862e-11
1.03036	17.179	1.1868	0.0012582	6.6942e-05	0.0017943	0.023932	0.0029532	0.027282	0.00017812	0.0050976	0.00056424	0.0053057	0.00076734	0.0031849	2.4603e-05	0.00023814	7.1001e-06	0.00015454	2.7417e-05	0.00047739	4.8512e-05	0.00019319	0.00018985	0.00032331	0.00027684	0.0014657	1.2343e-06	5.4239e-05	1.0044e-06	1.2972e-06	9.7005e-08	2.0967e-07	1.3332e-08	7.8457e-08	1.4562e-08	4.0765e-08	1.3256e-08	4.3663e-08	9.7528e-09	2.4011e-08	4.3408e-09	1.2162e-08	1.4253e-09	4.6622e-09	2.4031e-09	6.9326e-09	2.2553e-09	6.0502e-09	1.3313e-09	7.1381e-09	1.506e-09	8.744e-09	1.6749e-09	4.1302e-09	9.9246e-10	1.0276e-08	9.1848e-10	2.7481e-09	6.5422e-10	2.4392e-09	2.8867e-10	2.7514e-09	4.7307e-10	2.1485e-09	5.3632e-10	2.1499e-09	8.1384e-10	1.3509e-09	2.7594e-10	1.3684e-09	1.9969e-10	1.2465e-09	1.1233e-10	1.2473e-09	4.3109e-10	1.8521e-09	1.2183e-09	2.3147e-09	4.3165e-10	7.5672e-10	2.3211e-10	2.1673e-09	1.1288e-10	1.2619e-10	7.6424e-11
1.04467	17.662	1.2112	0.0012854	6.8883e-05	0.0018381	0.024441	0.0030212	0.02784	0.00018238	0.0051961	0.00057659	0.0054159	0.00078363	0.0032526	2.524e-05	0.00024379	7.3058e-06	0.00015678	2.8158e-05	0.00048786	4.9631e-05	0.00019755	0.00019377	0.00033017	0.00028238	0.0014974	1.2673e-06	5.5463e-05	1.0262e-06	1.3253e-06	9.9112e-08	2.142e-07	1.3619e-08	8.0105e-08	1.4867e-08	4.1622e-08	1.3535e-08	4.4579e-08	9.9584e-09	2.4516e-08	4.4352e-09	1.2417e-08	1.4554e-09	4.76e-09	2.4535e-09	7.0781e-09	2.3026e-09	6.1773e-09	1.3592e-09	7.2882e-09	1.5377e-09	8.9284e-09	1.7101e-09	4.2172e-09	1.0134e-09	1.0493e-08	9.3783e-10	2.806e-09	6.6799e-10	2.4905e-09	2.9474e-10	2.8093e-09	4.8303e-10	2.1938e-09	5.4762e-10	2.1952e-09	8.31e-10	1.3794e-09	2.8175e-10	1.3973e-09	2.039e-10	1.2728e-09	1.147e-10	1.2737e-09	4.4018e-10	1.8912e-09	1.2441e-09	2.3635e-09	4.4076e-10	7.727e-10	2.3701e-10	2.2131e-09	1.1527e-10	1.2886e-10	7.8041e-11
1.05919	18.159	1.236	0.0013132	7.0868e-05	0.0018829	0.024959	0.0030909	0.028409	0.00018673	0.0052964	0.00058919	0.0055283	0.00080026	0.0033216	2.5892e-05	0.00024956	7.5171e-06	0.00015894	2.8918e-05	0.00049856	5.0774e-05	0.00020201	0.00019777	0.00033716	0.00028803	0.0015298	1.3012e-06	5.6713e-05	1.0484e-06	1.354e-06	1.0126e-07	2.1868e-07	1.3904e-08	8.1785e-08	1.5179e-08	4.2495e-08	1.3818e-08	4.5514e-08	1.0167e-08	2.503e-08	4.5281e-09	1.2677e-08	1.4858e-09	4.8598e-09	2.505e-09	7.2266e-09	2.3509e-09	6.307e-09	1.3878e-09	7.4414e-09	1.57e-09	9.1164e-09	1.7461e-09	4.306e-09	1.0347e-09	1.0714e-08	9.5757e-10	2.865e-09	6.8203e-10	2.5429e-09	3.0093e-10	2.8684e-09	4.9319e-10	2.24e-09	5.5915e-10	2.2415e-09	8.485e-10	1.4085e-09	2.8769e-10	1.4267e-09	2.0819e-10	1.2996e-09	1.1712e-10	1.3005e-09	4.4946e-10	1.9311e-09	1.2703e-09	2.4134e-09	4.5005e-10	7.8899e-10	2.4201e-10	2.2598e-09	1.177e-10	1.3158e-10	7.9691e-11
1.07391	18.676	1.2616	0.0013419	7.2882e-05	0.0019293	0.025495	0.0031629	0.028996	0.00019124	0.0054004	0.0006022	0.0056443	0.00081742	0.0033929	2.6568e-05	0.00025554	7.7365e-06	0.00016113	2.9705e-05	0.00050961	5.1956e-05	0.0002066	0.00020189	0.00034437	0.00029385	0.0015632	1.3364e-06	5.8004e-05	1.0714e-06	1.3836e-06	1.0341e-07	2.2331e-07	1.4199e-08	8.3519e-08	1.55e-08	4.3396e-08	1.4111e-08	4.6478e-08	1.0382e-08	2.556e-08	4.6239e-09	1.2946e-08	1.5173e-09	4.9627e-09	2.558e-09	7.3797e-09	2.4007e-09	6.4407e-09	1.4172e-09	7.5994e-09	1.6034e-09	9.3104e-09	1.7832e-09	4.3976e-09	1.0567e-09	1.0942e-08	9.7794e-10	2.9259e-09	6.9652e-10	2.5969e-09	3.0732e-10	2.9294e-09	5.0367e-10	2.2877e-09	5.7105e-10	2.2892e-09	8.6656e-10	1.4385e-09	2.9381e-10	1.4571e-09	2.1263e-10	1.3273e-09	1.1962e-10	1.3282e-09	4.5903e-10	1.9722e-09	1.2974e-09	2.4648e-09	4.5964e-10	8.0581e-10	2.4717e-10	2.308e-09	1.2021e-10	1.344e-10	8.1393e-11
1.08884	19.206	1.2876	0.001371	7.4936e-05	0.0019764	0.026038	0.0032361	0.029591	0.00019581	0.0055068	0.0006154	0.0057619	0.00083482	0.0034652	2.7255e-05	0.00026161	7.9604e-06	0.00016334	3.0507e-05	0.00052082	5.3155e-05	0.00021127	0.00020607	0.00035169	0.00029975	0.0015971	1.3722e-06	5.9316e-05	1.0946e-06	1.4136e-06	1.0558e-07	2.28e-07	1.4497e-08	8.5276e-08	1.5826e-08	4.4309e-08	1.4408e-08	4.7456e-08	1.06e-08	2.6097e-08	4.721e-09	1.3218e-08	1.5492e-09	5.0671e-09	2.6118e-09	7.535e-09	2.4512e-09	6.5764e-09	1.4471e-09	7.7595e-09	1.6372e-09	9.5071e-09	1.8208e-09	4.4904e-09	1.079e-09	1.1173e-08	9.9859e-10	2.9877e-09	7.112e-10	2.6517e-09	3.138e-10	2.9913e-09	5.143e-10	2.336e-09	5.8311e-10	2.3375e-09	8.8488e-10	1.4689e-09	3.0001e-10	1.4879e-09	2.1712e-10	1.3554e-09	1.2214e-10	1.3563e-09	4.6874e-10	2.014e-09	1.3248e-09	2.5169e-09	4.6936e-10	8.2286e-10	2.524e-10	2.3568e-09	1.2275e-10	1.3724e-10	8.3119e-11
1.10397	19.007	1.2776	0.0013643	7.5027e-05	0.0019704	0.025852	0.0032257	0.029422	0.00019507	0.0055019	0.00061176	0.0057191	0.00082928	0.0034404	2.7195e-05	0.00026037	7.968e-06	0.0001654	3.0471e-05	0.00051746	5.2919e-05	0.00021027	0.00020465	0.00034954	0.00029763	0.0015879	1.3714e-06	5.9006e-05	1.0883e-06	1.4055e-06	1.049e-07	2.2653e-07	1.4403e-08	8.4728e-08	1.5724e-08	4.4024e-08	1.4315e-08	4.715e-08	1.0532e-08	2.5928e-08	4.6905e-09	1.3132e-08	1.5392e-09	5.0344e-09	2.5949e-09	7.4865e-09	2.4354e-09	6.5341e-09	1.4378e-09	7.7099e-09	1.6267e-09	9.4467e-09	1.8092e-09	4.4618e-09	1.0721e-09	1.1102e-08	9.9224e-10	2.9686e-09	7.0666e-10	2.6348e-09	3.1179e-10	2.9722e-09	5.1102e-10	2.3212e-09	5.794e-10	2.3227e-09	8.7926e-10	1.4595e-09	2.9811e-10	1.4784e-09	2.1574e-10	1.3468e-09	1.2137e-10	1.3477e-09	4.6577e-10	2.0012e-09	1.3164e-09	2.501e-09	4.6639e-10	8.1766e-10	2.5081e-10	2.342e-09	1.2198e-10	1.3638e-10	8.2598e-11
1.11931	18.362	1.2455	0.0013354	7.3879e-05	0.0019313	0.025218	0.0031636	0.028784	0.00019101	0.0054283	0.00059771	0.0055777	0.00080961	0.0033561	2.6668e-05	0.0002546	7.839e-06	0.00016728	2.9909e-05	0.00050512	5.1792e-05	0.00020577	0.00019981	0.00034155	0.00029046	0.0015519	1.3476e-06	5.7693e-05	1.0636e-06	1.3737e-06	1.0246e-07	2.2125e-07	1.4068e-08	8.2758e-08	1.5358e-08	4.3001e-08	1.3982e-08	4.6053e-08	1.0287e-08	2.5325e-08	4.5813e-09	1.2827e-08	1.5034e-09	4.9173e-09	2.5345e-09	7.3124e-09	2.3787e-09	6.3823e-09	1.4044e-09	7.5309e-09	1.589e-09	9.2279e-09	1.7672e-09	4.3584e-09	1.0472e-09	1.0845e-08	9.6924e-10	2.8998e-09	6.9026e-10	2.5736e-09	3.0455e-10	2.9033e-09	4.9917e-10	2.2674e-09	5.6598e-10	2.2689e-09	8.5889e-10	1.4257e-09	2.912e-10	1.4442e-09	2.1074e-10	1.3156e-09	1.1856e-10	1.3165e-09	4.5499e-10	1.9549e-09	1.286e-09	2.4431e-09	4.556e-10	7.9874e-10	2.4501e-10	2.2878e-09	1.1916e-10	1.3323e-10	8.0691e-11
1.13487	17.738	1.2141	0.001307	7.2733e-05	0.0018926	0.024596	0.0031025	0.028158	0.000187	0.0053559	0.0005839	0.0054391	0.00079028	0.0032732	2.6147e-05	0.00024891	7.7104e-06	0.00016912	2.9351e-05	0.00049299	5.0681e-05	0.0002013	0.00019506	0.0003337	0.00028333	0.0015166	1.3234e-06	5.6401e-05	1.0387e-06	1.3421e-06	1.0005e-07	2.1607e-07	1.3738e-08	8.0822e-08	1.4998e-08	4.1995e-08	1.3655e-08	4.4976e-08	1.0046e-08	2.4732e-08	4.474e-09	1.2527e-08	1.4681e-09	4.8022e-09	2.4752e-09	7.1413e-09	2.323e-09	6.2331e-09	1.3715e-09	7.355e-09	1.5519e-09	9.0127e-09	1.7259e-09	4.2567e-09	1.0228e-09	1.0592e-08	9.4663e-10	2.8321e-09	6.7414e-10	2.5136e-09	2.9744e-10	2.8356e-09	4.8752e-10	2.2146e-09	5.5278e-10	2.216e-09	8.3887e-10	1.3925e-09	2.8441e-10	1.4106e-09	2.0583e-10	1.2849e-09	1.158e-10	1.2858e-09	4.4439e-10	1.9094e-09	1.256e-09	2.3863e-09	4.4499e-10	7.8015e-10	2.3931e-10	2.2346e-09	1.1638e-10	1.3014e-10	7.8816e-11
