"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90	Z=92
1.0023	3.0728e+06	192370	2288.7	599.82	5003.2	0.22815	1046.4	86.477	1025	94.068	1891	1.2367	535.77	0.95661	10.391	2.0962	277.07	0.46586	7.0197	0.6601	26.423	9.1198	1630.9	21.682	52.941	0.52976	1.3282	0.089187	0.22671	0.013759	0.14033	0.018791	0.095582	0.014436	0.048537	0.0097573	0.024617	0.0019806	0.010011	0.0045805	0.0010237	0.0031023	0.0010389	0.003681	0.00047633	0.010699	0.00075474	0.016404	0.0032745	0.01489	0.0011069	0.011177	0.0011215	0.002812	0.00045043	0.0022679	0.000574	0.00023034	0.0011638	0.00017512	0.0011753	0.00023616	0.00059304	0.00011898	0.00053937	0.00012027	0.00048411	5.471e-05	0.00061101	0.00012271	0.0018532	0.0018594	0.0037359	0.00062484	0.00062876	0.00056953	0.0063565	0.00038237	0.00013247	8.0245e-05
1.01623	3.0383e+06	189710	2256.9	591.47	4934.4	0.22499	1031.9	85.287	1010.8	92.771	1864.8	1.2196	528.42	0.94358	10.251	2.0678	273.33	0.45948	6.9246	0.65118	26.06	8.9968	1608.8	21.392	52.236	0.52276	1.3106	0.087995	0.22363	0.013573	0.13841	0.018533	0.09427	0.014237	0.04787	0.0096226	0.024276	0.0019531	0.0098719	0.0045165	0.0010094	0.003059	0.0010243	0.0036288	0.0004697	0.01055	0.00074402	0.016174	0.0032285	0.014679	0.0010913	0.011019	0.0011056	0.0027722	0.00044406	0.0022358	0.00056592	0.0002271	0.0011474	0.00017265	0.0011588	0.00023286	0.00058476	0.00011731	0.00053179	0.00011859	0.00047739	5.3945e-05	0.00060251	0.000121	0.0018273	0.0018335	0.0036842	0.00061621	0.00062009	0.00056161	0.0062683	0.00037706	0.00013069	7.9147e-05
1.03036	3.0042e+06	187070	2225.5	583.2	4866.1	0.22186	1017.7	84.099	996.79	91.487	1838.9	1.2027	521.14	0.93071	10.112	2.0396	269.61	0.45317	6.8292	0.64234	25.702	8.8742	1586.8	21.104	51.535	0.51583	1.2931	0.086815	0.22058	0.013388	0.13651	0.018279	0.092962	0.01404	0.04721	0.0094894	0.023937	0.001926	0.0097336	0.004453	0.00099513	0.0030162	0.0010099	0.0035772	0.00046315	0.010401	0.00073346	0.015947	0.003183	0.01447	0.0010758	0.010863	0.0010899	0.0027329	0.00043776	0.0022041	0.00055793	0.00022389	0.0011311	0.00017021	0.0011426	0.00022959	0.00057651	0.00011566	0.00052429	0.00011692	0.00047071	5.3189e-05	0.0005941	0.00011931	0.0018016	0.001808	0.003633	0.00060766	0.0006115	0.00055374	0.0061809	0.00037189	0.00012892	7.8065e-05
1.04467	2.9704e+06	184450	2194.3	575.02	4797.9	0.21877	1003.5	82.922	982.89	90.215	1813.3	1.186	513.95	0.91795	9.9736	2.0118	265.9	0.44693	6.7348	0.63353	25.347	8.752	1565.1	20.819	50.841	0.50895	1.2757	0.085645	0.21756	0.013206	0.13462	0.018026	0.091668	0.013845	0.046552	0.0093566	0.023602	0.0018991	0.0095964	0.0043901	0.00098097	0.0029735	0.00099556	0.0035266	0.00045661	0.010252	0.0007231	0.015719	0.003138	0.014264	0.0010605	0.010708	0.0010744	0.0026939	0.00043151	0.0021727	0.00055	0.00022072	0.001115	0.00016778	0.0011264	0.00022636	0.00056834	0.00011402	0.00051689	0.00011528	0.00046407	5.2442e-05	0.00058574	0.00011762	0.0017764	0.0017827	0.0035823	0.00059921	0.00060298	0.00054598	0.0060952	0.00036677	0.00012713	7.7e-05
1.05919	2.9369e+06	181870	2163.5	566.91	4730.4	0.2157	989.49	81.757	969.12	88.955	1787.9	1.1695	506.83	0.90531	9.8346	1.9842	262.2	0.44079	6.6414	0.62475	24.995	8.6309	1543.6	20.535	50.151	0.50209	1.2583	0.084478	0.21457	0.013024	0.13275	0.017776	0.090387	0.013652	0.045901	0.0092249	0.023271	0.0018724	0.0094604	0.0043277	0.00096699	0.0029311	0.00098138	0.0034769	0.00045013	0.010104	0.00071283	0.015492	0.0030928	0.014059	0.0010453	0.010554	0.001059	0.0026552	0.00042532	0.0021416	0.00054216	0.00021758	0.0010991	0.0001654	0.0011105	0.00022313	0.00056025	0.00011239	0.00050958	0.00011366	0.0004575	5.1702e-05	0.00057745	0.00011595	0.0017514	0.0017577	0.0035323	0.00059083	0.00059446	0.00053829	0.006011	0.00036172	0.00012535	7.5947e-05
1.07391	2.9036e+06	179300	2133	558.89	4663.6	0.21266	975.56	80.604	955.49	87.694	1762.8	1.1531	499.78	0.8928	9.697	1.9568	258.54	0.4347	6.5488	0.61606	24.647	8.511	1522.2	20.254	49.466	0.4953	1.2411	0.083322	0.21161	0.012845	0.1309	0.017529	0.089118	0.01346	0.045253	0.0090945	0.022943	0.0018461	0.0093259	0.0042655	0.00095324	0.0028892	0.00096723	0.0034276	0.00044371	0.009958	0.00070265	0.015269	0.0030481	0.013857	0.0010303	0.010402	0.0010437	0.002617	0.0004192	0.0021108	0.0005344	0.00021446	0.0010833	0.00016304	0.0010947	0.00021994	0.00055224	0.00011078	0.00050236	0.00011204	0.00045101	5.0968e-05	0.00056921	0.0001143	0.0017267	0.0017329	0.0034826	0.00058253	0.00058602	0.00053076	0.0059277	0.00035671	0.00012361	7.4903e-05
1.08884	2.8707e+06	176770	2102.8	550.95	4597.4	0.20964	961.7	79.463	942	86.444	1737.9	1.1369	492.78	0.8804	9.5607	1.9297	254.92	0.42867	6.4572	0.60745	24.303	8.3923	1501.1	19.976	48.788	0.48856	1.224	0.082162	0.20867	0.012666	0.12907	0.017283	0.087862	0.013271	0.04461	0.0089653	0.022617	0.0018197	0.0091927	0.0042039	0.00093962	0.0028477	0.00095318	0.0033786	0.00043735	0.0098148	0.00069256	0.015047	0.0030039	0.013657	0.0010154	0.010252	0.0010286	0.0025791	0.00041313	0.0020803	0.00052674	0.00021136	0.0010678	0.00016071	0.0010789	0.00021678	0.00054429	0.0001092	0.00049522	0.00011044	0.00044458	5.0241e-05	0.00056105	0.00011267	0.0017023	0.0017085	0.0034334	0.00057427	0.00057769	0.00052335	0.0058452	0.00035172	0.00012189	7.3876e-05
1.10397	2.838e+06	174260	2072.9	543.09	4531.6	0.20666	947.99	78.333	928.61	85.206	1713.3	1.1208	485.81	0.868	9.4268	1.9025	251.34	0.4227	6.3673	0.59893	23.965	8.2748	1480.3	19.7	48.115	0.48185	1.2072	0.081013	0.20577	0.012487	0.12725	0.017039	0.086618	0.013082	0.043973	0.0088374	0.022296	0.0017936	0.0090603	0.0041434	0.00092614	0.0028062	0.00093929	0.0033299	0.00043104	0.0096734	0.00068256	0.014829	0.0029602	0.013459	0.0010006	0.010102	0.0010136	0.0025416	0.00040713	0.0020502	0.00051909	0.00020829	0.0010524	0.0001584	0.0010634	0.00021365	0.00053643	0.00010763	0.00048809	0.00010886	0.00043821	4.9517e-05	0.00055299	0.00011107	0.0016781	0.0016842	0.0033847	0.00056602	0.00056944	0.00051603	0.0057631	0.00034677	0.00012019	7.2859e-05
1.11931	2.8056e+06	171770	2043.3	535.31	4466.5	0.20371	934.41	77.215	915.28	83.981	1688.9	1.105	478.91	0.85567	9.2942	1.8755	247.81	0.41679	6.2785	0.5905	23.631	8.1584	1459.8	19.426	47.448	0.47519	1.1905	0.079876	0.20289	0.01231	0.12545	0.016797	0.085388	0.012896	0.043342	0.0087109	0.021977	0.0017677	0.0089293	0.0040836	0.00091272	0.002765	0.00092554	0.0032817	0.00042471	0.0095334	0.00067267	0.014612	0.0029169	0.013263	0.00098598	0.0099549	0.00099885	0.0025046	0.00040119	0.0020204	0.00051152	0.00020526	0.0010373	0.00015611	0.0010479	0.00021055	0.00052868	0.00010608	0.00048104	0.00010729	0.0004319	4.88e-05	0.00054505	0.00010948	0.0016542	0.0016602	0.0033359	0.00055789	0.0005614	0.00050878	0.0056816	0.00034186	0.00011852	7.1838e-05
1.13487	2.7735e+06	169310	2014	527.61	4402.1	0.20079	920.98	76.108	902.1	82.769	1664.6	1.0893	472.09	0.84353	9.163	1.8488	244.31	0.41094	6.1906	0.58217	23.3	8.0439	1439.4	19.157	46.788	0.46859	1.1739	0.078749	0.20003	0.012134	0.12366	0.016556	0.084166	0.01271	0.042718	0.0085856	0.021658	0.0017421	0.0087996	0.0040245	0.00089939	0.0027244	0.00091207	0.0032341	0.00041844	0.0093947	0.00066288	0.014398	0.0028742	0.013068	0.0009715	0.0098088	0.0009842	0.0024678	0.00039532	0.0019909	0.00050403	0.00020225	0.0010222	0.00015384	0.0010327	0.00020748	0.00052102	0.00010455	0.00047408	0.00010574	0.00042562	4.8091e-05	0.00053721	0.00010791	0.0016305	0.0016364	0.0032876	0.00054984	0.00055345	0.00050157	0.005601	0.00033698	0.00011686	7.0817e-05
