"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=3	Z=4	Z=5	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=43	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=61	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90	Z=92
1.0023	14.667	1.024	0.0010875	5.7024e-05	0.0015415	0.020661	0.0023421	0.021745	0.00015313	0.0031896	0.00048693	0.0045871	0.00066297	0.0027508	2.1065e-05	0.0002047	6.0434e-06	8.8869e-06	2.3424e-05	0.00041175	4.1779e-05	0.00016657	0.00016433	0.00027949	0.0002399	0.0012658	1.0555e-06	4.6746e-05	8.6777e-07	1.1206e-06	8.3844e-08	1.8125e-07	1.1525e-08	6.795e-08	1.259e-08	3.5306e-08	1.1479e-08	3.7799e-08	8.4317e-09	2.0759e-08	3.7524e-09	1.0516e-08	1.2322e-09	4.0341e-09	2.0782e-09	6.0041e-09	1.9513e-09	5.24e-09	1.153e-09	6.1825e-09	1.3044e-09	7.574e-09	1.4507e-09	3.5775e-09	8.5963e-10	8.9011e-09	7.9557e-10	2.3803e-09	5.6665e-10	2.1127e-09	2.5002e-10	2.3831e-09	4.0975e-10	1.861e-09	4.6455e-10	1.8622e-09	7.0495e-10	1.1702e-09	2.3901e-10	1.1853e-09	1.7297e-10	1.0797e-09	9.7306e-11	1.0805e-09	3.7342e-10	1.6044e-09	1.0554e-09	2.005e-09	3.7391e-10	6.555e-10	2.0106e-10	1.8774e-09	9.7784e-11	1.0932e-10	6.6206e-11
1.01623	15.182	1.0527	0.0011189	5.9098e-05	0.0015905	0.021255	0.0024151	0.022362	0.00015793	0.0032809	0.00050121	0.0047168	0.000682	0.0028299	2.1768e-05	0.00021109	6.2635e-06	9.1995e-06	2.4231e-05	0.00042388	4.3053e-05	0.00017156	0.00016894	0.00028749	0.00024648	0.0013026	1.0916e-06	4.8149e-05	8.9303e-07	1.1532e-06	8.6289e-08	1.8654e-07	1.1861e-08	6.9875e-08	1.2958e-08	3.6307e-08	1.1806e-08	3.8885e-08	8.6777e-09	2.1364e-08	3.8619e-09	1.0823e-08	1.2682e-09	4.1519e-09	2.1389e-09	6.1742e-09	2.0083e-09	5.3885e-09	1.1857e-09	6.3578e-09	1.3414e-09	7.7892e-09	1.4919e-09	3.6791e-09	8.8403e-10	9.1539e-09	8.1816e-10	2.4479e-09	5.8272e-10	2.1726e-09	2.5711e-10	2.4508e-09	4.2138e-10	1.9139e-09	4.7775e-10	1.9151e-09	7.2498e-10	1.2034e-09	2.458e-10	1.219e-09	1.7788e-10	1.1104e-09	1.0007e-10	1.1112e-09	3.8403e-10	1.65e-09	1.0854e-09	2.0621e-09	3.8454e-10	6.7414e-10	2.0678e-10	1.9308e-09	1.0057e-10	1.1243e-10	6.8093e-11
1.03036	15.72	1.0825	0.0011515	6.1264e-05	0.0016416	0.021871	0.0024912	0.023003	0.00016292	0.0033757	0.00051606	0.0048514	0.00070176	0.0029121	2.25e-05	0.00021774	6.4935e-06	9.5261e-06	2.5074e-05	0.00043648	4.4378e-05	0.00017675	0.00017372	0.00029579	0.00025331	0.0013409	1.1293e-06	4.9608e-05	9.1927e-07	1.1871e-06	8.8829e-08	1.9203e-07	1.2211e-08	7.1873e-08	1.3339e-08	3.7345e-08	1.2144e-08	3.9997e-08	8.9333e-09	2.1994e-08	3.9756e-09	1.114e-08	1.3055e-09	4.2707e-09	2.2013e-09	6.3507e-09	2.0659e-09	5.5427e-09	1.2196e-09	6.5398e-09	1.3799e-09	8.0126e-09	1.5346e-09	3.7845e-09	9.0936e-10	9.4164e-09	8.4161e-10	2.518e-09	5.9941e-10	2.2349e-09	2.6447e-10	2.521e-09	4.3346e-10	1.9688e-09	4.9145e-10	1.9701e-09	7.4577e-10	1.238e-09	2.5285e-10	1.254e-09	1.8299e-10	1.1423e-09	1.0294e-10	1.1431e-09	3.9505e-10	1.6973e-09	1.1165e-09	2.1212e-09	3.9558e-10	6.935e-10	2.1272e-10	1.9863e-09	1.0345e-10	1.1567e-10	7.0051e-11
1.04467	16.285	1.1136	0.0011856	6.3538e-05	0.001695	0.022515	0.0025707	0.023672	0.00016815	0.0034746	0.00053155	0.0049919	0.00072239	0.0029978	2.3267e-05	0.00022469	6.735e-06	9.8686e-06	2.5957e-05	0.00044964	4.5762e-05	0.00018218	0.00017871	0.00030446	0.00026042	0.0013808	1.1687e-06	5.1132e-05	9.4666e-07	1.2224e-06	9.1479e-08	1.9773e-07	1.2572e-08	7.3957e-08	1.3725e-08	3.8428e-08	1.2496e-08	4.1156e-08	9.1932e-09	2.2632e-08	4.0943e-09	1.1463e-08	1.3435e-09	4.3944e-09	2.2651e-09	6.5348e-09	2.1258e-09	5.7035e-09	1.255e-09	6.7297e-09	1.4199e-09	8.2456e-09	1.5792e-09	3.8945e-09	9.3579e-10	9.6902e-09	8.6608e-10	2.5912e-09	6.1681e-10	2.2998e-09	2.7215e-10	2.5943e-09	4.4605e-10	2.0261e-09	5.0574e-10	2.0274e-09	7.6746e-10	1.274e-09	2.602e-10	1.2905e-09	1.8831e-10	1.1755e-09	1.0594e-10	1.1763e-09	4.0655e-10	1.7468e-09	1.149e-09	2.183e-09	4.0709e-10	7.1369e-10	2.1892e-10	2.0442e-09	1.0647e-10	1.1904e-10	7.2094e-11
1.05919	16.872	1.1456	0.0012206	6.5887e-05	0.0017502	0.023179	0.0026529	0.024362	0.00017354	0.0035766	0.00054753	0.0051366	0.00074365	0.0030862	2.406e-05	0.00023188	6.9855e-06	1.0223e-05	2.6872e-05	0.00046322	4.719e-05	0.00018777	0.00018385	0.00031339	0.00026775	0.0014219	1.2096e-06	5.2704e-05	9.7489e-07	1.2589e-06	9.4212e-08	2.0347e-07	1.2937e-08	7.6104e-08	1.4123e-08	3.9544e-08	1.2858e-08	4.2351e-08	9.4599e-09	2.3289e-08	4.213e-09	1.1796e-08	1.3825e-09	4.522e-09	2.3308e-09	6.7245e-09	2.1875e-09	5.8691e-09	1.2914e-09	6.9253e-09	1.4612e-09	8.4857e-09	1.6251e-09	4.0079e-09	9.6301e-10	9.9724e-09	8.9129e-10	2.6666e-09	6.3475e-10	2.3667e-09	2.8006e-10	2.6698e-09	4.5903e-10	2.0851e-09	5.2046e-10	2.0864e-09	7.8981e-10	1.3111e-09	2.6778e-10	1.328e-09	1.9379e-10	1.2098e-09	1.0902e-10	1.2106e-09	4.1839e-10	1.7977e-09	1.1825e-09	2.2466e-09	4.1895e-10	7.3449e-10	2.253e-10	2.1038e-09	1.0957e-10	1.2251e-10	7.4199e-11
1.07391	17.488	1.179	0.0012571	6.8295e-05	0.0018077	0.02387	0.0027386	0.025079	0.00017917	0.0036827	0.00056417	0.0052872	0.00076577	0.0031782	2.4888e-05	0.00023937	7.2478e-06	1.0595e-05	2.7828e-05	0.00047736	4.8679e-05	0.00019359	0.0001892	0.00032268	0.00027536	0.0014647	1.2522e-06	5.4342e-05	1.0043e-06	1.2968e-06	9.6979e-08	2.0943e-07	1.3316e-08	7.8337e-08	1.4537e-08	4.0704e-08	1.3235e-08	4.3593e-08	9.7372e-09	2.3972e-08	4.3365e-09	1.2142e-08	1.423e-09	4.6546e-09	2.3991e-09	6.9218e-09	2.2516e-09	6.0414e-09	1.3294e-09	7.1287e-09	1.5041e-09	8.7354e-09	1.6728e-09	4.1258e-09	9.9133e-10	1.0266e-08	9.1751e-10	2.745e-09	6.534e-10	2.4362e-09	2.8829e-10	2.7483e-09	4.7252e-10	2.1464e-09	5.3577e-10	2.1478e-09	8.1306e-10	1.3496e-09	2.7566e-10	1.3671e-09	1.995e-10	1.2454e-09	1.1223e-10	1.2463e-09	4.3071e-10	1.8506e-09	1.2173e-09	2.3128e-09	4.3129e-10	7.5613e-10	2.3194e-10	2.1658e-09	1.128e-10	1.2613e-10	7.6388e-11
1.08884	18.126	1.2131	0.0012946	7.0778e-05	0.0018669	0.024579	0.0028267	0.025815	0.00018495	0.0037916	0.00058125	0.0054416	0.00078846	0.0032727	2.5742e-05	0.00024707	7.5185e-06	1.0978e-05	2.8814e-05	0.00049188	5.0208e-05	0.00019957	0.00019467	0.0003322	0.00028316	0.0015086	1.2962e-06	5.6024e-05	1.0344e-06	1.3357e-06	9.981e-08	2.1555e-07	1.3705e-08	8.0627e-08	1.4962e-08	4.1894e-08	1.3622e-08	4.4867e-08	1.0022e-08	2.4672e-08	4.4631e-09	1.2496e-08	1.4646e-09	4.7906e-09	2.4692e-09	7.1241e-09	2.3174e-09	6.2181e-09	1.3682e-09	7.3374e-09	1.5482e-09	8.9915e-09	1.7218e-09	4.2467e-09	1.0204e-09	1.0567e-08	9.444e-10	2.8254e-09	6.7253e-10	2.5076e-09	2.9673e-10	2.8288e-09	4.8636e-10	2.2093e-09	5.5148e-10	2.2108e-09	8.369e-10	1.3892e-09	2.8374e-10	1.4072e-09	2.0535e-10	1.2819e-09	1.1553e-10	1.2828e-09	4.4334e-10	1.9049e-09	1.2531e-09	2.3807e-09	4.4395e-10	7.7832e-10	2.3875e-10	2.2294e-09	1.1611e-10	1.2984e-10	7.8634e-11
1.10397	17.897	1.2009	0.0012852	7.0698e-05	0.0018571	0.024349	0.0028069	0.025564	0.00018383	0.0037564	0.00057651	0.0053891	0.00078148	0.003242	2.5627e-05	0.00024535	7.5087e-06	1.0973e-05	2.8715e-05	0.0004876	4.9873e-05	0.00019818	0.00019289	0.00032944	0.00028053	0.0014965	1.2926e-06	5.5607e-05	1.0262e-06	1.325e-06	9.893e-08	2.1365e-07	1.3584e-08	7.9921e-08	1.483e-08	4.1527e-08	1.3503e-08	4.4473e-08	9.9335e-09	2.4455e-08	4.4238e-09	1.2386e-08	1.4517e-09	4.7485e-09	2.4475e-09	7.0616e-09	2.2971e-09	6.1637e-09	1.3563e-09	7.2733e-09	1.5347e-09	8.9134e-09	1.7068e-09	4.2097e-09	1.0115e-09	1.0475e-08	9.3619e-10	2.8008e-09	6.6666e-10	2.4857e-09	2.9414e-10	2.8042e-09	4.8213e-10	2.1902e-09	5.4668e-10	2.1916e-09	8.2963e-10	1.3772e-09	2.8127e-10	1.395e-09	2.0357e-10	1.2708e-09	1.1452e-10	1.2717e-09	4.395e-10	1.8884e-09	1.2422e-09	2.3601e-09	4.401e-10	7.7159e-10	2.3669e-10	2.2101e-09	1.1511e-10	1.2872e-10	7.7957e-11
1.11931	17.137	1.1604	0.0012471	6.9007e-05	0.0018044	0.023543	0.0027207	0.02471	0.00017844	0.0036328	0.00055836	0.0052098	0.00075627	0.0031347	2.4911e-05	0.0002378	7.3226e-06	1.073e-05	2.7939e-05	0.00047179	4.8386e-05	0.00019225	0.00018667	0.00031911	0.00027138	0.0014499	1.2591e-06	5.3895e-05	9.9414e-07	1.2838e-06	9.5775e-08	2.0684e-07	1.3151e-08	7.7375e-08	1.4358e-08	4.0205e-08	1.3073e-08	4.3056e-08	9.6168e-09	2.3675e-08	4.2827e-09	1.1991e-08	1.4054e-09	4.5972e-09	2.3695e-09	6.8366e-09	2.2239e-09	5.9674e-09	1.3131e-09	7.0419e-09	1.4859e-09	8.6302e-09	1.6525e-09	4.0759e-09	9.7933e-10	1.0142e-08	9.0643e-10	2.7117e-09	6.4546e-10	2.4067e-09	2.8478e-10	2.7151e-09	4.668e-10	2.1206e-09	5.2931e-10	2.122e-09	8.0328e-10	1.3334e-09	2.7234e-10	1.3507e-09	1.971e-10	1.2304e-09	1.1089e-10	1.2313e-09	4.2555e-10	1.8285e-09	1.2028e-09	2.2851e-09	4.2613e-10	7.471e-10	2.2918e-10	2.14e-09	1.1145e-10	1.2464e-10	7.5487e-11
1.13487	16.405	1.121	0.0012098	6.7337e-05	0.0017528	0.022759	0.0026364	0.02388	0.00017316	0.0035126	0.00054066	0.0050355	0.00073173	0.0030303	2.4209e-05	0.00023044	7.1392e-06	1.0489e-05	2.7177e-05	0.00045639	4.6933e-05	0.00018643	0.00018062	0.00030905	0.00026238	0.0014045	1.2257e-06	5.2225e-05	9.622e-07	1.2432e-06	9.2701e-08	2.002e-07	1.2729e-08	7.4895e-08	1.3897e-08	3.8916e-08	1.2653e-08	4.1676e-08	9.3083e-09	2.2916e-08	4.1453e-09	1.1607e-08	1.3603e-09	4.4498e-09	2.2935e-09	6.6175e-09	2.1525e-09	5.7763e-09	1.271e-09	6.8164e-09	1.4383e-09	8.3543e-09	1.5996e-09	3.9455e-09	9.4799e-10	9.8179e-09	8.7744e-10	2.625e-09	6.2479e-10	2.3297e-09	2.7566e-10	2.6282e-09	4.5186e-10	2.0528e-09	5.1239e-10	2.0542e-09	7.776e-10	1.2908e-09	2.6363e-10	1.3076e-09	1.908e-10	1.1911e-09	1.0734e-10	1.192e-09	4.1195e-10	1.7701e-09	1.1644e-09	2.2122e-09	4.1251e-10	7.2324e-10	2.2186e-10	2.0716e-09	1.0789e-10	1.2066e-10	7.3079e-11
