"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=3	Z=4	Z=5	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=43	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=61	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90
1.15064	208.66	11.293	0.011612	0.00065532	0.01718	0.22897	0.028057	0.25332	0.0017121	0.043176	0.0053551	0.050405	0.007262	0.030451	0.00024181	0.0023221	7.1264e-05	0.00070962	0.00027207	0.0045914	0.00046119	0.0018197	0.0017515	0.0030174	0.0025481	0.013764	1.2003e-05	0.00051705	9.3593e-06	1.2112e-05	8.9464e-07	1.9269e-06	1.225e-07	7.1571e-07	1.3351e-07	3.7162e-07	1.2112e-07	3.9915e-07	8.9464e-08	2.2022e-07	3.9915e-08	1.1149e-07	1.3076e-08	4.2668e-08	2.2022e-08	6.3313e-08	2.0646e-08	5.5055e-08	1.2112e-08	6.469e-08	1.3626e-08	7.8453e-08	1.514e-08	3.7162e-08	8.9464e-09	9.2217e-08	8.2582e-09	2.4775e-08	5.9184e-09	2.2022e-08	2.6151e-09	2.4775e-08	4.2668e-09	1.9269e-08	4.8173e-09	1.9269e-08	7.2948e-09	1.2112e-08	2.4775e-09	1.225e-08	1.7893e-09	1.1149e-08	1.0048e-09	1.1149e-08	3.8538e-09	1.6516e-08	1.0873e-08	2.0646e-08	3.8538e-09	6.7442e-09	2.0646e-09	1.9269e-08	1.0048e-09	1.1149e-09
1.16663	201.06	10.976	0.011339	0.00064372	0.016787	0.22269	0.02741	0.24683	0.0016713	0.042315	0.0052162	0.049013	0.0070683	0.029616	0.0002364	0.0022639	6.9894e-05	0.00071408	0.00026624	0.0044686	0.00044998	0.0017752	0.0017061	0.0029393	0.00248	0.013411	1.1758e-05	0.00050401	9.1195e-06	1.1802e-05	8.7172e-07	1.8775e-06	1.1936e-07	6.9737e-07	1.3009e-07	3.621e-07	1.1802e-07	3.8892e-07	8.7172e-08	2.1458e-07	3.8892e-08	1.0863e-07	1.274e-08	4.1574e-08	2.1458e-08	6.1691e-08	2.0117e-08	5.3644e-08	1.1802e-08	6.3032e-08	1.3277e-08	7.6443e-08	1.4752e-08	3.621e-08	8.7172e-09	8.9854e-08	8.0466e-09	2.414e-08	5.7667e-09	2.1458e-08	2.5481e-09	2.414e-08	4.1574e-09	1.8775e-08	4.6939e-09	1.8775e-08	7.1078e-09	1.1802e-08	2.414e-09	1.1936e-08	1.7434e-09	1.0863e-08	9.79e-10	1.0863e-08	3.7551e-09	1.6093e-08	1.0595e-08	2.0117e-08	3.7551e-09	6.5714e-09	2.0117e-09	1.8775e-08	9.79e-10	1.0863e-09
1.18284	193.7	10.668	0.011072	0.00063231	0.016402	0.21657	0.026778	0.24051	0.0016314	0.041479	0.0050807	0.047656	0.0068794	0.028802	0.0002311	0.0022069	6.8548e-05	0.00071858	0.00026052	0.0043487	0.00043902	0.0017317	0.0016617	0.0028632	0.0024136	0.013067	1.1518e-05	0.00049127	8.8852e-06	1.1499e-05	8.4932e-07	1.8293e-06	1.1629e-07	6.7946e-07	1.2675e-07	3.528e-07	1.1499e-07	3.7893e-07	8.4932e-08	2.0906e-07	3.7893e-08	1.0584e-07	1.2413e-08	4.0506e-08	2.0906e-08	6.0106e-08	1.96e-08	5.2266e-08	1.1499e-08	6.1413e-08	1.2936e-08	7.4479e-08	1.4373e-08	3.528e-08	8.4932e-09	8.7546e-08	7.8399e-09	2.352e-08	5.6186e-09	2.0906e-08	2.4826e-09	2.352e-08	4.0506e-09	1.8293e-08	4.5733e-09	1.8293e-08	6.9253e-09	1.1499e-08	2.352e-09	1.1629e-08	1.6986e-09	1.0584e-08	9.5386e-10	1.0584e-08	3.6586e-09	1.568e-08	1.0323e-08	1.96e-08	3.6586e-09	6.4026e-09	1.96e-09	1.8293e-08	9.5386e-10	1.0584e-09
1.19928	186.58	10.367	0.01081	0.000621	0.016024	0.21059	0.02616	0.23434	0.0015923	0.040665	0.004948	0.04633	0.0066946	0.028006	0.00022589	0.0021511	6.7216e-05	0.00072309	0.00025488	0.0042314	0.00042826	0.001689	0.0016182	0.0027886	0.0023487	0.012729	1.1281e-05	0.00047878	8.6559e-06	1.1202e-05	8.274e-07	1.7821e-06	1.1329e-07	6.6192e-07	1.2347e-07	3.4369e-07	1.1202e-07	3.6915e-07	8.274e-08	2.0367e-07	3.6915e-08	1.0311e-07	1.2093e-08	3.9461e-08	2.0367e-08	5.8555e-08	1.9094e-08	5.0917e-08	1.1202e-08	5.9828e-08	1.2602e-08	7.2557e-08	1.4002e-08	3.4369e-08	8.274e-09	8.5286e-08	7.6376e-09	2.2913e-08	5.4736e-09	2.0367e-08	2.4186e-09	2.2913e-08	3.9461e-09	1.7821e-08	4.4552e-09	1.7821e-08	6.7465e-09	1.1202e-08	2.2913e-09	1.1329e-08	1.6548e-09	1.0311e-08	9.2924e-10	1.0311e-08	3.5642e-09	1.5275e-08	1.0056e-08	1.9094e-08	3.5642e-09	6.2373e-09	1.9094e-09	1.7821e-08	9.2924e-10	1.0311e-09
1.21595	179.69	10.074	0.010553	0.00060983	0.015652	0.20475	0.025555	0.22833	0.0015539	0.039874	0.0048183	0.045036	0.0065141	0.027229	0.00022077	0.0020965	6.5904e-05	0.00072763	0.00024934	0.0041169	0.00041773	0.0016472	0.0015758	0.0027157	0.0022853	0.012399	1.1047e-05	0.00046657	8.4317e-06	1.0912e-05	8.0597e-07	1.7359e-06	1.1036e-07	6.4477e-07	1.2028e-07	3.3479e-07	1.0912e-07	3.5959e-07	8.0597e-08	1.9839e-07	3.5959e-08	1.0044e-07	1.178e-08	3.8438e-08	1.9839e-08	5.7038e-08	1.8599e-08	4.9598e-08	1.0912e-08	5.8278e-08	1.2276e-08	7.0677e-08	1.3639e-08	3.3479e-08	8.0597e-09	8.3077e-08	7.4397e-09	2.2319e-08	5.3318e-09	1.9839e-08	2.3559e-09	2.2319e-08	3.8438e-09	1.7359e-08	4.3398e-09	1.7359e-08	6.5717e-09	1.0912e-08	2.2319e-09	1.1036e-08	1.6119e-09	1.0044e-08	9.0516e-10	1.0044e-08	3.4719e-09	1.4879e-08	9.7956e-09	1.8599e-08	3.4719e-09	6.0758e-09	1.8599e-09	1.7359e-08	9.0516e-10	1.0044e-09
1.23285	173.02	9.7884	0.010301	0.00059885	0.015289	0.19906	0.024965	0.22248	0.0015164	0.039107	0.0046916	0.043776	0.006338	0.026472	0.00021575	0.0020432	6.4615e-05	0.0007322	0.00024391	0.0040052	0.00040743	0.0016063	0.0015344	0.0026446	0.0022235	0.012077	1.0818e-05	0.00045464	8.2127e-06	1.0628e-05	7.8504e-07	1.6908e-06	1.0749e-07	6.2803e-07	1.1715e-07	3.2609e-07	1.0628e-07	3.5025e-07	7.8504e-08	1.9324e-07	3.5025e-08	9.7828e-08	1.1474e-08	3.744e-08	1.9324e-08	5.5556e-08	1.8116e-08	4.831e-08	1.0628e-08	5.6764e-08	1.1957e-08	6.8842e-08	1.3285e-08	3.2609e-08	7.8504e-09	8.0919e-08	7.2465e-09	2.1739e-08	5.1933e-09	1.9324e-08	2.2947e-09	2.1739e-08	3.744e-09	1.6908e-08	4.2271e-09	1.6908e-08	6.4011e-09	1.0628e-08	2.1739e-09	1.0749e-08	1.5701e-09	9.7828e-09	8.8166e-10	9.7828e-09	3.3817e-09	1.4493e-08	9.5412e-09	1.8116e-08	3.3817e-09	5.918e-09	1.8116e-09	1.6908e-08	8.8166e-10	9.7828e-10
1.24998	166.57	9.51	0.010055	0.00058802	0.014933	0.19351	0.024389	0.21678	0.0014796	0.038362	0.004568	0.042546	0.0061662	0.025734	0.00021083	0.001991	6.3346e-05	0.00073678	0.00023858	0.0038962	0.00039736	0.0015664	0.0014939	0.0025751	0.0021632	0.011763	1.0593e-05	0.00044297	7.9987e-06	1.0351e-05	7.6458e-07	1.6468e-06	1.0469e-07	6.1167e-07	1.141e-07	3.176e-07	1.0351e-07	3.4112e-07	7.6458e-08	1.882e-07	3.4112e-08	9.5279e-08	1.1175e-08	3.6465e-08	1.882e-08	5.4109e-08	1.7644e-08	4.7051e-08	1.0351e-08	5.5285e-08	1.1645e-08	6.7048e-08	1.2939e-08	3.176e-08	7.6458e-09	7.8811e-08	7.0577e-09	2.1173e-08	5.058e-09	1.882e-08	2.2349e-09	2.1173e-08	3.6465e-09	1.6468e-08	4.117e-09	1.6468e-08	6.2343e-09	1.0351e-08	2.1173e-09	1.0469e-08	1.5292e-09	9.5279e-09	8.5869e-10	9.5279e-09	3.2936e-09	1.4115e-08	9.2926e-09	1.7644e-08	3.2936e-09	5.7638e-09	1.7644e-09	1.6468e-08	8.5869e-10	9.5279e-10
1.26735	160.33	9.2384	0.0098138	0.00057731	0.014583	0.1881	0.023825	0.21123	0.0014436	0.037638	0.004447	0.041347	0.0059983	0.025013	0.000206	0.0019399	6.2094e-05	0.00074138	0.00023333	0.0037896	0.00038748	0.0015272	0.0014543	0.0025071	0.0021043	0.011455	1.0371e-05	0.00043156	7.7894e-06	1.008e-05	7.4458e-07	1.6037e-06	1.0195e-07	5.9566e-07	1.1111e-07	3.0929e-07	1.008e-07	3.322e-07	7.4458e-08	1.8328e-07	3.322e-08	9.2786e-08	1.0882e-08	3.5511e-08	1.8328e-08	5.2693e-08	1.7183e-08	4.582e-08	1.008e-08	5.3839e-08	1.134e-08	6.5294e-08	1.2601e-08	3.0929e-08	7.4458e-09	7.6749e-08	6.873e-09	2.0619e-08	4.9257e-09	1.8328e-08	2.1765e-09	2.0619e-08	3.5511e-09	1.6037e-08	4.0093e-09	1.6037e-08	6.0712e-09	1.008e-08	2.0619e-09	1.0195e-08	1.4892e-09	9.2786e-09	8.3622e-10	9.2786e-09	3.2074e-09	1.3746e-08	9.0495e-09	1.7183e-08	3.2074e-09	5.613e-09	1.7183e-09	1.6037e-08	8.3622e-10	9.2786e-10
1.28496	154.29	8.9737	0.0095773	0.00056675	0.014241	0.18281	0.023275	0.20583	0.0014083	0.036936	0.0043288	0.040177	0.0058344	0.02431	0.00020126	0.0018899	6.0861e-05	0.00074599	0.00022817	0.0036857	0.00037782	0.0014889	0.0014157	0.0024407	0.0020468	0.011154	1.0153e-05	0.0004204	7.5849e-06	9.8158e-06	7.2503e-07	1.5616e-06	9.9273e-08	5.8002e-07	1.082e-07	3.0117e-07	9.8158e-08	3.2347e-07	7.2503e-08	1.7847e-07	3.2347e-08	9.035e-08	1.0597e-08	3.4578e-08	1.7847e-08	5.131e-08	1.6731e-08	4.4617e-08	9.8158e-09	5.2425e-08	1.1043e-08	6.358e-08	1.227e-08	3.0117e-08	7.2503e-09	7.4734e-08	6.6926e-09	2.0078e-08	4.7964e-09	1.7847e-08	2.1193e-09	2.0078e-08	3.4578e-09	1.5616e-08	3.904e-09	1.5616e-08	5.9118e-09	9.8158e-09	2.0078e-09	9.9273e-09	1.4501e-09	9.035e-09	8.1426e-10	9.035e-09	3.1232e-09	1.3385e-08	8.8119e-09	1.6731e-08	3.1232e-09	5.4656e-09	1.6731e-09	1.5616e-08	8.1426e-10	9.035e-10
1.30282	148.46	8.7159	0.0093458	0.00055634	0.013905	0.17766	0.022737	0.20057	0.0013737	0.036254	0.0042134	0.039037	0.0056745	0.023625	0.00019661	0.001841	5.9647e-05	0.00075062	0.00022311	0.0035842	0.00036837	0.0014514	0.001378	0.0023759	0.0019907	0.010861	9.9391e-06	0.00040949	7.3852e-06	9.5573e-06	7.0593e-07	1.5205e-06	9.6659e-08	5.6475e-07	1.0535e-07	2.9323e-07	9.5573e-08	3.1496e-07	7.0593e-08	1.7377e-07	3.1496e-08	8.797e-08	1.0317e-08	3.3668e-08	1.7377e-08	4.9958e-08	1.6291e-08	4.3442e-08	9.5573e-09	5.1044e-08	1.0752e-08	6.1905e-08	1.1947e-08	2.9323e-08	7.0593e-09	7.2766e-08	6.5163e-09	1.9549e-08	4.67e-09	1.7377e-08	2.0635e-09	1.9549e-08	3.3668e-09	1.5205e-08	3.8012e-09	1.5205e-08	5.7561e-09	9.5573e-09	1.9549e-09	9.6659e-09	1.4119e-09	8.797e-09	7.9282e-10	8.797e-09	3.0409e-09	1.3033e-08	8.5798e-09	1.6291e-08	3.0409e-09	5.3217e-09	1.6291e-09	1.5205e-08	7.9282e-10	8.797e-10
