"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=3	Z=4	Z=5	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=43	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=61	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90	Z=92
1.0023	24.112	1.6156	0.0016725	8.8088e-05	0.0023971	0.032535	0.0039524	0.036675	0.00023904	0.0065891	0.00076134	0.0072077	0.0010377	0.0043287	3.3e-05	0.00032216	9.4525e-06	0.00016405	3.6713e-05	0.00064805	6.5075e-05	0.00025876	0.00025456	0.00043449	0.0003721	0.0019705	1.6389e-06	7.3055e-05	1.3463e-06	1.7401e-06	1.295e-07	2.7951e-07	1.7771e-08	1.044e-07	1.9395e-08	5.4231e-08	1.7646e-08	5.8127e-08	1.2992e-08	3.1984e-08	5.788e-09	1.6198e-08	1.8987e-09	6.2078e-09	3.2005e-09	9.2278e-09	3.0031e-09	8.0443e-09	1.7699e-09	9.4788e-09	1.9989e-09	1.1576e-08	2.2224e-09	5.4725e-09	1.3158e-09	1.3605e-08	1.2167e-09	3.6434e-09	8.6828e-10	3.2353e-09	3.8328e-10	3.6464e-09	6.2728e-10	2.844e-09	7.1025e-10	2.8452e-09	1.0771e-09	1.7881e-09	3.6538e-10	1.8103e-09	2.6425e-10	1.6486e-09	1.4857e-10	1.6494e-09	5.7007e-10	2.4474e-09	1.6103e-09	3.0588e-09	5.7059e-10	9.9976e-10	3.0647e-10	2.8613e-09	1.4908e-10	1.6628e-10	1.0067e-10
1.01623	24.776	1.6463	0.0017069	9.0498e-05	0.0024518	0.033177	0.004038	0.037374	0.00024438	0.0067108	0.00077682	0.0073463	0.0010582	0.004414	3.3801e-05	0.0003293	9.7111e-06	0.00016628	3.7646e-05	0.00066127	6.6474e-05	0.0002642	0.00025942	0.00044303	0.00037897	0.0020101	1.6802e-06	7.4591e-05	1.3734e-06	1.7751e-06	1.3211e-07	2.8515e-07	1.813e-08	1.0647e-07	1.9786e-08	5.531e-08	1.7999e-08	5.9292e-08	1.3254e-08	3.2629e-08	5.9047e-09	1.6525e-08	1.937e-09	6.3331e-09	3.2651e-09	9.4113e-09	3.0637e-09	8.2043e-09	1.8052e-09	9.6676e-09	2.0387e-09	1.1807e-08	2.2667e-09	5.5817e-09	1.342e-09	1.3876e-08	1.241e-09	3.7161e-09	8.8558e-10	3.2997e-09	3.9092e-10	3.7191e-09	6.3978e-10	2.9007e-09	7.2442e-10	2.902e-09	1.0986e-09	1.8237e-09	3.7267e-10	1.8465e-09	2.6953e-10	1.6815e-09	1.5154e-10	1.6823e-09	5.8145e-10	2.4963e-09	1.6425e-09	3.1199e-09	5.8199e-10	1.0197e-09	3.1259e-10	2.9185e-09	1.5206e-10	1.6961e-10	1.0268e-10
1.03036	25.465	1.6779	0.0017423	9.2993e-05	0.0025082	0.033837	0.0041263	0.038094	0.00024989	0.0068356	0.00079275	0.0074891	0.0010792	0.0045018	3.4629e-05	0.00033666	9.9787e-06	0.00016865	3.861e-05	0.00067489	6.7915e-05	0.00026979	0.00026442	0.00045181	0.00038604	0.0020509	1.7229e-06	7.6172e-05	1.4013e-06	1.8111e-06	1.3479e-07	2.9095e-07	1.8499e-08	1.0861e-07	2.0189e-08	5.642e-08	1.836e-08	6.0481e-08	1.3524e-08	3.3293e-08	6.0248e-09	1.6861e-08	1.9765e-09	6.4602e-09	3.3312e-09	9.6001e-09	3.1253e-09	8.3691e-09	1.8414e-09	9.8619e-09	2.0797e-09	1.2045e-08	2.3122e-09	5.694e-09	1.369e-09	1.4156e-08	1.266e-09	3.7908e-09	9.0338e-10	3.3661e-09	3.9877e-10	3.7939e-09	6.5265e-10	2.9591e-09	7.39e-10	2.9605e-09	1.1207e-09	1.8605e-09	3.8017e-10	1.8836e-09	2.7495e-10	1.7154e-09	1.5459e-10	1.7162e-09	5.9317e-10	2.5466e-09	1.6756e-09	3.1828e-09	5.9371e-10	1.0403e-09	3.189e-10	2.9773e-09	1.5512e-10	1.7303e-10	1.0476e-10
1.04467	26.183	1.7106	0.0017789	9.5589e-05	0.0025668	0.03452	0.0042177	0.038838	0.0002556	0.0069642	0.00080927	0.0076368	0.001101	0.0045928	3.5489e-05	0.0003443	1.0257e-05	0.00017104	3.9612e-05	0.00068901	6.941e-05	0.00027559	0.0002696	0.00046091	0.00039336	0.0020931	1.7672e-06	7.7811e-05	1.4301e-06	1.8484e-06	1.3757e-07	2.9694e-07	1.8879e-08	1.1082e-07	2.06e-08	5.757e-08	1.8734e-08	6.1713e-08	1.38e-08	3.3972e-08	6.1493e-09	1.7204e-08	2.0168e-09	6.5917e-09	3.399e-09	9.7957e-09	3.189e-09	8.5397e-09	1.879e-09	1.0063e-08	2.1221e-09	1.2291e-08	2.3594e-09	5.8103e-09	1.3969e-09	1.4445e-08	1.2918e-09	3.8682e-09	9.2182e-10	3.4348e-09	4.0691e-10	3.8714e-09	6.6598e-10	3.0196e-09	7.541e-10	3.021e-09	1.1436e-09	1.8985e-09	3.8794e-10	1.9222e-09	2.8058e-10	1.7505e-09	1.5775e-10	1.7513e-09	6.053e-10	2.5987e-09	1.7099e-09	3.2479e-09	6.0586e-10	1.0616e-09	3.2543e-10	3.0383e-09	1.583e-10	1.7658e-10	1.069e-10
1.05919	26.924	1.7439	0.0018163	9.8247e-05	0.0026266	0.035217	0.0043111	0.039595	0.00026143	0.0070952	0.0008261	0.0077874	0.0011232	0.0046856	3.6369e-05	0.0003521	1.0543e-05	0.00017335	4.0639e-05	0.0007034	7.0934e-05	0.00028151	0.00027487	0.00047018	0.0004008	0.0021361	1.8126e-06	7.9482e-05	1.4596e-06	1.8864e-06	1.4041e-07	3.0298e-07	1.9263e-08	1.1308e-07	2.1018e-08	5.8741e-08	1.9115e-08	6.2968e-08	1.408e-08	3.4662e-08	6.2742e-09	1.7553e-08	2.0578e-09	6.7257e-09	3.4681e-09	9.9949e-09	3.2538e-09	8.7135e-09	1.9172e-09	1.0268e-08	2.1654e-09	1.2542e-08	2.4075e-09	5.9289e-09	1.4254e-09	1.474e-08	1.3182e-09	3.9471e-09	9.406e-10	3.5048e-09	4.152e-10	3.9504e-09	6.7956e-10	3.0813e-09	7.6949e-10	3.0827e-09	1.167e-09	1.9373e-09	3.9586e-10	1.9614e-09	2.863e-10	1.7862e-09	1.6098e-10	1.7871e-09	6.1766e-10	2.6518e-09	1.7448e-09	3.3143e-09	6.1824e-10	1.0833e-09	3.3208e-10	3.1004e-09	1.6154e-10	1.8019e-10	1.0909e-10
1.07391	27.693	1.7782	0.0018548	0.00010098	0.0026884	0.035936	0.0044075	0.040376	0.00026746	0.0072296	0.00084348	0.0079427	0.0011461	0.0047812	3.7279e-05	0.00036015	1.084e-05	0.00017572	4.1702e-05	0.00071826	7.2509e-05	0.00028762	0.00028031	0.00047974	0.00040848	0.0021805	1.8596e-06	8.1208e-05	1.4899e-06	1.9257e-06	1.433e-07	3.092e-07	1.9659e-08	1.154e-07	2.145e-08	5.995e-08	1.9508e-08	6.4263e-08	1.437e-08	3.5374e-08	6.4031e-09	1.7914e-08	2.1001e-09	6.864e-09	3.5394e-09	1.02e-08	3.3207e-09	8.8928e-09	1.9567e-09	1.048e-08	2.21e-09	1.28e-08	2.4571e-09	6.0511e-09	1.4548e-09	1.5044e-08	1.3454e-09	4.0285e-09	9.5998e-10	3.5771e-09	4.2375e-10	4.0319e-09	6.9357e-10	3.1449e-09	7.8537e-10	3.1463e-09	1.191e-09	1.9772e-09	4.0402e-10	2.0019e-09	2.9221e-10	1.8231e-09	1.643e-10	1.824e-09	6.3042e-10	2.7066e-09	1.7808e-09	3.3827e-09	6.3101e-10	1.1057e-09	3.3894e-10	3.1645e-09	1.6487e-10	1.8392e-10	1.1135e-10
1.08884	28.482	1.813	0.0018938	0.00010376	0.0027512	0.036664	0.0045052	0.041167	0.00027357	0.0073656	0.00086107	0.0080999	0.0011693	0.0048782	3.8205e-05	0.00036834	1.1142e-05	0.00017815	4.2785e-05	0.00073331	7.4106e-05	0.0002938	0.0002858	0.00048941	0.00041624	0.0022255	1.9074e-06	8.2958e-05	1.5207e-06	1.9654e-06	1.4622e-07	3.155e-07	2.0059e-08	1.1776e-07	2.1888e-08	6.1174e-08	1.9906e-08	6.5574e-08	1.4663e-08	3.6096e-08	6.5336e-09	1.828e-08	2.1429e-09	7.004e-09	3.6116e-09	1.0409e-08	3.3884e-09	9.0744e-09	1.9966e-09	1.0694e-08	2.2552e-09	1.3063e-08	2.5074e-09	6.175e-09	1.4846e-09	1.5352e-08	1.3729e-09	4.1109e-09	9.7961e-10	3.6502e-09	4.3241e-10	4.1144e-09	7.0775e-10	3.2093e-09	8.0145e-10	3.2107e-09	1.2154e-09	2.0177e-09	4.123e-10	2.0429e-09	2.982e-10	1.8605e-09	1.6767e-10	1.8614e-09	6.4334e-10	2.7621e-09	1.8173e-09	3.4521e-09	6.4394e-10	1.1283e-09	3.459e-10	3.2294e-09	1.6825e-10	1.877e-10	1.1364e-10
1.10397	28.19	1.7971	0.0018834	0.00010382	0.0027399	0.036365	0.0044853	0.040879	0.00027224	0.0073446	0.00085508	0.0080314	0.0011603	0.0048384	3.8081e-05	0.00036622	1.1141e-05	0.00018011	4.269e-05	0.00072784	7.3699e-05	0.00029211	0.00028363	0.00048591	0.00041285	0.0022103	1.9043e-06	8.2439e-05	1.5103e-06	1.952e-06	1.4518e-07	3.1327e-07	1.9917e-08	1.1693e-07	2.1733e-08	6.0742e-08	1.9765e-08	6.5111e-08	1.4559e-08	3.584e-08	6.4873e-09	1.815e-08	2.1277e-09	6.9545e-09	3.5861e-09	1.0335e-08	3.3645e-09	9.0105e-09	1.9826e-09	1.0619e-08	2.2393e-09	1.2971e-08	2.4898e-09	6.1317e-09	1.4742e-09	1.5245e-08	1.3633e-09	4.0821e-09	9.7273e-10	3.6246e-09	4.2937e-10	4.0856e-09	7.0279e-10	3.1868e-09	7.9584e-10	3.1883e-09	1.2069e-09	2.0036e-09	4.0941e-10	2.0287e-09	2.9611e-10	1.8475e-09	1.665e-10	1.8484e-09	6.3885e-10	2.7428e-09	1.8047e-09	3.428e-09	6.3945e-10	1.1205e-09	3.4349e-10	3.2069e-09	1.6708e-10	1.864e-10	1.1285e-10
1.11931	27.238	1.7502	0.0018424	0.00010217	0.0026828	0.035438	0.0043926	0.039932	0.0002663	0.0072277	0.00083459	0.0078249	0.0011316	0.0047149	3.7305e-05	0.00035773	1.0949e-05	0.00018191	4.1859e-05	0.00070975	7.2054e-05	0.00028555	0.00027675	0.00047431	0.00040258	0.002158	1.8693e-06	8.0521e-05	1.4746e-06	1.9059e-06	1.4171e-07	3.0579e-07	1.9442e-08	1.1414e-07	2.1214e-08	5.9293e-08	1.9294e-08	6.3557e-08	1.4211e-08	3.4984e-08	6.3324e-09	1.7717e-08	2.0769e-09	6.7885e-09	3.5004e-09	1.0089e-08	3.2842e-09	8.7956e-09	1.9353e-09	1.0366e-08	2.186e-09	1.2663e-08	2.4305e-09	5.9858e-09	1.4391e-09	1.4882e-08	1.3309e-09	3.9849e-09	9.4956e-10	3.5383e-09	4.1914e-10	3.9883e-09	6.8606e-10	3.111e-09	7.769e-10	3.1125e-09	1.1782e-09	1.956e-09	3.9967e-10	1.9804e-09	2.8907e-10	1.8035e-09	1.6254e-10	1.8044e-09	6.2366e-10	2.6776e-09	1.7618e-09	3.3466e-09	6.2425e-10	1.0938e-09	3.3533e-10	3.1307e-09	1.6311e-10	1.8198e-10	1.1017e-10
1.13487	26.314	1.7042	0.0018021	0.00010052	0.0026263	0.034528	0.0043015	0.039005	0.00026044	0.0071143	0.00081444	0.0076225	0.0011035	0.0045938	3.6537e-05	0.00034938	1.0758e-05	0.00018385	4.1036e-05	0.000692	7.0434e-05	0.00027907	0.00027	0.00046291	0.00039245	0.0021066	1.8343e-06	7.8635e-05	1.4391e-06	1.8603e-06	1.383e-07	2.9844e-07	1.8974e-08	1.114e-07	2.0704e-08	5.787e-08	1.883e-08	6.2031e-08	1.387e-08	3.4144e-08	6.1802e-09	1.7291e-08	2.027e-09	6.6255e-09	3.4164e-09	9.8463e-09	3.2053e-09	8.5846e-09	1.8888e-09	1.0117e-08	2.1336e-09	1.2359e-08	2.3722e-09	5.8424e-09	1.4046e-09	1.4526e-08	1.299e-09	3.8894e-09	9.2679e-10	3.4535e-09	4.0909e-10	3.8927e-09	6.6962e-10	3.0365e-09	7.583e-10	3.0379e-09	1.15e-09	1.9091e-09	3.901e-10	1.933e-09	2.8215e-10	1.7604e-09	1.5865e-10	1.7613e-09	6.0873e-10	2.6136e-09	1.7196e-09	3.2665e-09	6.0932e-10	1.0677e-09	3.2731e-10	3.0559e-09	1.5921e-10	1.7763e-10	1.0754e-10
