"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=3	Z=4	Z=5	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=43	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=61	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90	Z=92
1.0023	24.681	1.6066	0.0016658	8.7709e-05	0.0023857	0.032355	0.0039298	0.036468	0.00023785	0.0065507	0.00075746	0.0071686	0.0010324	0.0043048	3.2827e-05	0.00032038	9.4041e-06	0.00016345	3.652e-05	0.00064446	6.4759e-05	0.00025756	0.00025342	0.00043244	0.00037039	0.0019611	1.6313e-06	7.2685e-05	1.3401e-06	1.732e-06	1.2894e-07	2.7833e-07	1.7696e-08	1.0397e-07	1.9314e-08	5.4011e-08	1.7575e-08	5.7892e-08	1.2938e-08	3.185e-08	5.7635e-09	1.6131e-08	1.8908e-09	6.1824e-09	3.1873e-09	9.1908e-09	2.9908e-09	8.0111e-09	1.7626e-09	9.4385e-09	1.9903e-09	1.1523e-08	2.2128e-09	5.4481e-09	1.3099e-09	1.3543e-08	1.2112e-09	3.6273e-09	8.6454e-10	3.2211e-09	3.8165e-10	3.6302e-09	6.2452e-10	2.831e-09	7.0704e-10	2.8322e-09	1.0721e-09	1.7799e-09	3.6372e-10	1.8019e-09	2.6304e-10	1.6409e-09	1.4788e-10	1.6417e-09	5.6741e-10	2.4357e-09	1.6027e-09	3.0443e-09	5.679e-10	9.9499e-10	3.0499e-10	2.8474e-09	1.4836e-10	1.6544e-10	1.0016e-10
1.01623	25.349	1.6372	0.0016999	9.0116e-05	0.0024403	0.032995	0.0040151	0.037166	0.00024318	0.0066719	0.00077291	0.007307	0.0010528	0.0043899	3.3627e-05	0.0003275	9.662e-06	0.00016574	3.745e-05	0.00065766	6.6156e-05	0.00026298	0.00025828	0.00044097	0.00037727	0.0020006	1.6725e-06	7.4218e-05	1.3672e-06	1.7669e-06	1.3154e-07	2.8397e-07	1.8055e-08	1.0603e-07	1.9706e-08	5.5082e-08	1.7925e-08	5.9052e-08	1.32e-08	3.2495e-08	5.8801e-09	1.6458e-08	1.9291e-09	6.3077e-09	3.2518e-09	9.3729e-09	3.0514e-09	8.17e-09	1.7976e-09	9.6259e-09	2.0298e-09	1.1752e-08	2.2567e-09	5.5563e-09	1.336e-09	1.3812e-08	1.2353e-09	3.6994e-09	8.8171e-10	3.2851e-09	3.8922e-10	3.7023e-09	6.3693e-10	2.8873e-09	7.2109e-10	2.8885e-09	1.0935e-09	1.8153e-09	3.7095e-10	1.8378e-09	2.6827e-10	1.6736e-09	1.5082e-10	1.6743e-09	5.787e-10	2.4842e-09	1.6346e-09	3.1049e-09	5.792e-10	1.0148e-09	3.1106e-10	2.9041e-09	1.5132e-10	1.6874e-10	1.0215e-10
1.03036	26.042	1.6688	0.0017351	9.2607e-05	0.0024967	0.033654	0.004103	0.037883	0.00024867	0.0067961	0.00078882	0.0074495	0.0010738	0.0044776	3.4453e-05	0.00033485	9.929e-06	0.00016805	3.8412e-05	0.00067125	6.7596e-05	0.00026857	0.00026328	0.00044974	0.00038433	0.0020413	1.7151e-06	7.5797e-05	1.395e-06	1.8029e-06	1.3423e-07	2.8977e-07	1.8424e-08	1.0816e-07	2.0108e-08	5.6184e-08	1.8284e-08	6.0233e-08	1.347e-08	3.3159e-08	6.0002e-09	1.6793e-08	1.9685e-09	6.4339e-09	3.3178e-09	9.5604e-09	3.1126e-09	8.3335e-09	1.8336e-09	9.8187e-09	2.0705e-09	1.1988e-08	2.3019e-09	5.6678e-09	1.3628e-09	1.4089e-08	1.2601e-09	3.7736e-09	8.9937e-10	3.351e-09	3.9702e-10	3.7766e-09	6.497e-10	2.9452e-09	7.3556e-10	2.9465e-09	1.1154e-09	1.8517e-09	3.7839e-10	1.8747e-09	2.7365e-10	1.7072e-09	1.5385e-10	1.7079e-09	5.9032e-10	2.5341e-09	1.6674e-09	3.1673e-09	5.9084e-10	1.0352e-09	3.1732e-10	2.9625e-09	1.5436e-10	1.7214e-10	1.0421e-10
1.04467	26.764	1.7014	0.0017714	9.52e-05	0.0025552	0.034336	0.0041941	0.038625	0.00025438	0.0069242	0.00080532	0.007597	0.0010955	0.0045684	3.5311e-05	0.00034247	1.0207e-05	0.00017041	3.9413e-05	0.00068534	6.9088e-05	0.00027437	0.00026845	0.00045884	0.00039165	0.0020835	1.7594e-06	7.7433e-05	1.4239e-06	1.8402e-06	1.3701e-07	2.9575e-07	1.8803e-08	1.1035e-07	2.0516e-08	5.7325e-08	1.8655e-08	6.1455e-08	1.3744e-08	3.3833e-08	6.1246e-09	1.7134e-08	2.0086e-09	6.5644e-09	3.3851e-09	9.7545e-09	3.1758e-09	8.5028e-09	1.8708e-09	1.0018e-08	2.1126e-09	1.2232e-08	2.3487e-09	5.7832e-09	1.3905e-09	1.4376e-08	1.2858e-09	3.8504e-09	9.1767e-10	3.4191e-09	4.0509e-10	3.8534e-09	6.6292e-10	3.0052e-09	7.5054e-10	3.0065e-09	1.1381e-09	1.8894e-09	3.861e-10	1.9129e-09	2.7923e-10	1.742e-09	1.5699e-10	1.7428e-09	6.0235e-10	2.5858e-09	1.7014e-09	3.2318e-09	6.0288e-10	1.0563e-09	3.2379e-10	3.0229e-09	1.5751e-10	1.7565e-10	1.0634e-10
1.05919	27.508	1.7347	0.0018085	9.7852e-05	0.0026149	0.035032	0.0042872	0.039381	0.0002602	0.0070546	0.00082213	0.0077474	0.0011177	0.004661	3.6189e-05	0.00035025	1.0492e-05	0.00017285	4.0437e-05	0.00069971	7.0611e-05	0.00028028	0.00027372	0.0004681	0.00039909	0.0021265	1.8047e-06	7.9102e-05	1.4533e-06	1.8782e-06	1.3985e-07	3.0174e-07	1.9184e-08	1.1259e-07	2.0931e-08	5.8487e-08	1.9033e-08	6.2701e-08	1.4022e-08	3.4519e-08	6.2487e-09	1.7481e-08	2.0493e-09	6.6975e-09	3.4537e-09	9.9523e-09	3.2402e-09	8.6753e-09	1.9088e-09	1.0222e-08	2.1555e-09	1.2481e-08	2.3965e-09	5.9008e-09	1.4188e-09	1.4669e-08	1.3119e-09	3.9286e-09	9.3631e-10	3.4886e-09	4.1332e-10	3.9318e-09	6.7639e-10	3.0664e-09	7.6581e-10	3.0677e-09	1.1613e-09	1.9279e-09	3.9395e-10	1.9518e-09	2.8491e-10	1.7774e-09	1.6018e-10	1.7782e-09	6.1461e-10	2.6385e-09	1.7361e-09	3.2977e-09	6.1516e-10	1.0778e-09	3.3039e-10	3.0845e-09	1.6071e-10	1.7924e-10	1.0851e-10
1.07391	28.281	1.769	0.0018468	0.00010057	0.0026767	0.035749	0.0043834	0.040159	0.00026622	0.007189	0.00083948	0.0079024	0.0011406	0.0047565	3.7098e-05	0.00035829	1.0788e-05	0.00017523	4.1498e-05	0.00071454	7.2184e-05	0.00028638	0.00027916	0.00047765	0.00040676	0.0021708	1.8516e-06	8.0826e-05	1.4836e-06	1.9174e-06	1.4271e-07	3.0792e-07	1.9577e-08	1.149e-07	2.136e-08	5.9687e-08	1.9423e-08	6.3986e-08	1.4309e-08	3.5226e-08	6.3766e-09	1.7839e-08	2.0913e-09	6.8347e-09	3.5245e-09	1.0156e-08	3.3066e-09	8.8533e-09	1.9479e-09	1.0432e-08	2.1998e-09	1.2738e-08	2.4457e-09	6.022e-09	1.4479e-09	1.497e-08	1.3389e-09	4.0094e-09	9.5553e-10	3.5603e-09	4.2181e-10	4.0126e-09	6.9029e-10	3.1294e-09	7.8155e-10	3.1308e-09	1.1852e-09	1.9675e-09	4.0205e-10	1.992e-09	2.9077e-10	1.814e-09	1.6348e-10	1.8148e-09	6.2726e-10	2.6928e-09	1.7718e-09	3.3656e-09	6.2782e-10	1.1e-09	3.3719e-10	3.1481e-09	1.6402e-10	1.8293e-10	1.1075e-10
1.08884	29.074	1.8037	0.0018855	0.00010333	0.0027393	0.036476	0.0044811	0.040948	0.00027232	0.0073255	0.00085705	0.0080594	0.0011638	0.0048533	3.8022e-05	0.00036646	1.109e-05	0.00017758	4.2578e-05	0.00072957	7.3779e-05	0.00029256	0.00028465	0.00048732	0.00041452	0.0022158	1.8994e-06	8.2574e-05	1.5144e-06	1.9571e-06	1.4561e-07	3.1417e-07	1.9975e-08	1.1724e-07	2.1794e-08	6.0901e-08	1.9819e-08	6.5287e-08	1.46e-08	3.5942e-08	6.5061e-09	1.8201e-08	2.1338e-09	6.9737e-09	3.5961e-09	1.0363e-08	3.3738e-09	9.0335e-09	1.9876e-09	1.0644e-08	2.2446e-09	1.2998e-08	2.4955e-09	6.1449e-09	1.4774e-09	1.5276e-08	1.3662e-09	4.0911e-09	9.75e-10	3.6329e-09	4.304e-10	4.0944e-09	7.0436e-10	3.1933e-09	7.975e-10	3.1947e-09	1.2094e-09	2.0077e-09	4.1026e-10	2.0326e-09	2.9671e-10	1.851e-09	1.6682e-10	1.8519e-09	6.4007e-10	2.7478e-09	1.808e-09	3.4343e-09	6.4064e-10	1.1225e-09	3.4408e-10	3.2124e-09	1.6738e-10	1.8668e-10	1.1302e-10
1.10397	28.762	1.788	0.001875	0.00010338	0.0027284	0.036182	0.0044616	0.040666	0.00027102	0.007306	0.00085116	0.0079919	0.0011549	0.0048141	3.7902e-05	0.00036437	1.109e-05	0.00017954	4.2487e-05	0.00072417	7.338e-05	0.0002909	0.00028248	0.00048387	0.00041118	0.0022008	1.8964e-06	8.2063e-05	1.5042e-06	1.9439e-06	1.4457e-07	3.1193e-07	1.9832e-08	1.164e-07	2.1639e-08	6.0468e-08	1.9677e-08	6.4822e-08	1.4496e-08	3.5685e-08	6.4596e-09	1.8071e-08	2.1185e-09	6.924e-09	3.5704e-09	1.0289e-08	3.3497e-09	8.9692e-09	1.9735e-09	1.0569e-08	2.2287e-09	1.2906e-08	2.4778e-09	6.1014e-09	1.467e-09	1.5168e-08	1.3565e-09	4.0622e-09	9.6809e-10	3.6071e-09	4.2735e-10	4.0655e-09	6.9938e-10	3.1708e-09	7.9187e-10	3.1722e-09	1.2008e-09	1.9935e-09	4.0736e-10	2.0183e-09	2.9461e-10	1.838e-09	1.6564e-10	1.8389e-09	6.3556e-10	2.7285e-09	1.7953e-09	3.4102e-09	6.3614e-10	1.1146e-09	3.4167e-10	3.1899e-09	1.662e-10	1.8537e-10	1.1222e-10
1.11931	27.777	1.7414	0.0018341	0.00010173	0.0026716	0.035261	0.0043697	0.039727	0.00026513	0.0071906	0.00083082	0.007787	0.0011264	0.0046915	3.7131e-05	0.00035596	1.0899e-05	0.00018128	4.1663e-05	0.00070623	7.1748e-05	0.00028438	0.00027561	0.00047235	0.00040095	0.0021489	1.8617e-06	8.016e-05	1.4686e-06	1.8981e-06	1.4111e-07	3.0446e-07	1.9357e-08	1.1362e-07	2.1121e-08	5.9022e-08	1.9207e-08	6.3271e-08	1.4149e-08	3.4831e-08	6.305e-09	1.7639e-08	2.0678e-09	6.7583e-09	3.485e-09	1.0043e-08	3.2696e-09	8.7548e-09	1.9263e-09	1.0316e-08	2.1754e-09	1.2598e-08	2.4187e-09	5.9558e-09	1.432e-09	1.4806e-08	1.3242e-09	3.9652e-09	9.4497e-10	3.521e-09	4.1713e-10	3.9684e-09	6.8268e-10	3.0951e-09	7.7297e-10	3.0965e-09	1.1722e-09	1.946e-09	3.9764e-10	1.9702e-09	2.8759e-10	1.7942e-09	1.6169e-10	1.795e-09	6.2041e-10	2.6635e-09	1.7525e-09	3.3289e-09	6.2097e-10	1.088e-09	3.3353e-10	3.1139e-09	1.6224e-10	1.8096e-10	1.0955e-10
1.13487	26.823	1.6958	0.0017938	0.00010009	0.0026156	0.034359	0.0042794	0.038808	0.00025931	0.0070779	0.00081083	0.0075861	0.0010985	0.0045714	3.637e-05	0.00034768	1.071e-05	0.00018308	4.0847e-05	0.00068861	7.0139e-05	0.00027795	0.00026887	0.00046104	0.00039084	0.0020979	1.8268e-06	7.8288e-05	1.4332e-06	1.8528e-06	1.3771e-07	2.9712e-07	1.8891e-08	1.1088e-07	2.0612e-08	5.7601e-08	1.8744e-08	6.1748e-08	1.3808e-08	3.3992e-08	6.153e-09	1.7214e-08	2.018e-09	6.5955e-09	3.401e-09	9.8011e-09	3.1908e-09	8.5441e-09	1.8799e-09	1.0068e-08	2.1231e-09	1.2296e-08	2.3605e-09	5.8128e-09	1.3976e-09	1.4451e-08	1.2924e-09	3.8699e-09	9.2225e-10	3.4364e-09	4.071e-10	3.8731e-09	6.6627e-10	3.0208e-09	7.5441e-10	3.0222e-09	1.1441e-09	1.8992e-09	3.8809e-10	1.9229e-09	2.8068e-10	1.7511e-09	1.5781e-10	1.7519e-09	6.0552e-10	2.5996e-09	1.7105e-09	3.249e-09	6.0607e-10	1.0619e-09	3.2553e-10	3.0392e-09	1.5835e-10	1.7662e-10	1.0693e-10
