21.4699993, -21.2800007, 2011-01-01 00:00:00, 467.03253377243215, -0.99999999999999996E+31
-138.809998, -68.2200012, 2011-01-01 00:25:00, 122.52717008272640, -0.99999999999999996E+31
-170.539993, 18.4099998, 2011-01-01 00:50:00, -0.99999999999999996E+31, -0.99999999999999996E+31
31.8199997, 70.5299988, 2011-01-01 01:15:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-2.64000010, -16.0599995, 2011-01-01 01:40:00, 802.35921220977957, -0.99999999999999996E+31
-156.490005, -72.9000015, 2011-01-01 02:05:00, -0.99999999999999996E+31, -0.99999999999999996E+31
165.330002, 13.1999998, 2011-01-01 02:30:00, -0.99999999999999996E+31, -0.99999999999999996E+31
16.1800003, 75.0599976, 2011-01-01 02:55:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-26.7999992, -10.8500004, 2011-01-01 03:20:00, 112.58740936985134, -0.99999999999999996E+31
-169.220001, -77.1399994, 2011-01-01 03:45:00, -0.99999999999999996E+31, -0.99999999999999996E+31
141.160004, 7.96999979, 2011-01-01 04:10:00, -0.99999999999999996E+31, -0.99999999999999996E+31
7.55999994, 78.9100037, 2011-01-01 04:35:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-50.9799995, -5.63000011, 2011-01-01 05:00:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-172.380005, -80.3199997, 2011-01-01 05:25:00, -0.99999999999999996E+31, -0.99999999999999996E+31
116.970001, 2.74000001, 2011-01-01 05:50:00, -0.99999999999999996E+31, -0.99999999999999996E+31
10.7399998, 81.1500015, 2011-01-01 06:15:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-75.1699982, -0.400000006, 2011-01-01 06:40:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-164.490005, -81.2300034, 2011-01-01 07:05:00, -0.99999999999999996E+31, -0.99999999999999996E+31
92.7699966, -2.48000002, 2011-01-01 07:30:00, -0.99999999999999996E+31, -0.99999999999999996E+31
19.2999992, 80.5400009, 2011-01-01 07:55:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-99.3700027, 4.82000017, 2011-01-01 08:20:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-160.190002, -79.2500000, 2011-01-01 08:45:00, -0.99999999999999996E+31, -0.99999999999999996E+31
68.5800018, -7.71000004, 2011-01-01 09:10:00, -0.99999999999999996E+31, -0.99999999999999996E+31
17.4300003, 77.5000000, 2011-01-01 09:35:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-123.559998, 10.0500002, 2011-01-01 10:00:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-167.800003, -75.5400009, 2011-01-01 10:25:00, -0.99999999999999996E+31, -0.99999999999999996E+31
44.4000015, -12.9300003, 2011-01-01 10:50:00, -0.99999999999999996E+31, -0.99999999999999996E+31
5.42000008, 73.3000031, 2011-01-01 11:15:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-147.710007, 15.2799997, 2011-01-01 11:40:00, -0.99999999999999996E+31, -0.99999999999999996E+31
177.089996, -71.0800018, 2011-01-01 12:05:00, -0.99999999999999996E+31, -0.99999999999999996E+31
20.2700005, -18.1499996, 2011-01-01 12:30:00, 663.18691623568782, -0.99999999999999996E+31
-11.8999996, 68.6200027, 2011-01-01 12:55:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-171.830002, 20.5000000, 2011-01-01 13:20:00, -0.99999999999999996E+31, -0.99999999999999996E+31
158.220001, -66.2900009, 2011-01-01 13:45:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-3.81999993, -23.3600006, 2011-01-01 14:10:00, 671.01825212685640, -0.99999999999999996E+31
-31.9400005, 63.7099991, 2011-01-01 14:35:00, -0.99999999999999996E+31, -0.99999999999999996E+31
164.119995, 25.7199993, 2011-01-01 15:00:00, -0.99999999999999996E+31, -0.99999999999999996E+31
137.360001, -61.3400002, 2011-01-01 15:25:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-27.8299999, -28.5699997, 2011-01-01 15:50:00, 1908.5528277493609, -0.99999999999999996E+31
-53.4500008, 58.6899986, 2011-01-01 16:15:00, -0.99999999999999996E+31, -0.99999999999999996E+31
140.160004, 30.9400005, 2011-01-01 16:40:00, -0.99999999999999996E+31, -0.99999999999999996E+31
115.349998, -56.2999992, 2011-01-01 17:05:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-51.7299995, -33.7599983, 2011-01-01 17:30:00, 6072.2878632051334, -0.99999999999999996E+31
-75.8499985, 53.5900002, 2011-01-01 17:55:00, 221.72892205483663, -0.99999999999999996E+31
116.309998, 36.1399994, 2011-01-01 18:20:00, -0.99999999999999996E+31, -0.99999999999999996E+31
92.6500015, -51.2000008, 2011-01-01 18:45:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-75.5000000, -38.9399986, 2011-01-01 19:10:00, 1649.5666903289248, -0.99999999999999996E+31
-98.8199997, 48.4500008, 2011-01-01 19:35:00, 728.58272339749419, -0.99999999999999996E+31
92.6299973, 41.3300018, 2011-01-01 20:00:00, -0.99999999999999996E+31, -0.99999999999999996E+31
69.4899979, -46.0600014, 2011-01-01 20:25:00, 739.20527162374583, -0.99999999999999996E+31
-99.0699997, -44.1100006, 2011-01-01 20:50:00, -0.99999999999999996E+31, -0.99999999999999996E+31
-122.160004, 43.2799988, 2011-01-01 21:15:00, -0.99999999999999996E+31, -0.99999999999999996E+31
69.1800003, 46.5099983, 2011-01-01 21:40:00, -0.99999999999999996E+31, -0.99999999999999996E+31
